creator_metric_id,metric_date,creator_id,play_count,interaction_count,published_count,interaction_rate
CRM0000043,2026-08-28,C000043,11,1,3,0.0909
CRM0000044,2026-08-28,C000044,27,3,6,0.1111
CRM0000045,2026-08-28,C000045,27,1,8,0.037
CRM0000046,2026-08-28,C000046,6,0,3,0.0
CRM0000047,2026-08-28,C000047,45,3,11,0.0667
CRM0000048,2026-08-28,C000048,15,0,6,0.0
CRM0000049,2026-08-28,C000049,13,2,5,0.1538
CRM0000050,2026-08-28,C000050,29,3,10,0.1034
CRM0000051,2026-08-28,C000051,43,3,10,0.0698
CRM0000052,2026-08-28,C000052,18,2,5,0.1111
CRM0000053,2026-08-28,C000053,20,3,5,0.15
CRM0000054,2026-08-28,C000054,55,15,16,0.2727
CRM0000055,2026-08-28,C000055,14,2,5,0.1429
CRM0000056,2026-08-28,C000056,27,1,7,0.037
CRM0000057,2026-08-28,C000057,47,7,9,0.1489
CRM0000058,2026-08-28,C000058,18,0,5,0.0
CRM0000059,2026-08-28,C000059,33,6,9,0.1818
CRM0000060,2026-08-28,C000060,22,5,9,0.2273
CRM0000061,2026-08-28,C000061,36,4,11,0.1111
CRM0000062,2026-08-28,C000062,8,0,3,0.0
CRM0000063,2026-08-28,C000063,10,1,5,0.1
CRM0000064,2026-08-28,C000064,14,2,6,0.1429
CRM0000065,2026-08-28,C000065,7,0,2,0.0
CRM0000066,2026-08-28,C000066,31,7,8,0.2258
CRM0000067,2026-08-28,C000067,10,1,2,0.1
CRM0000068,2026-08-28,C000068,41,5,12,0.122
CRM0000069,2026-08-28,C000069,12,2,4,0.1667
CRM0000070,2026-08-28,C000070,23,2,9,0.087
CRM0000071,2026-08-28,C000071,11,3,3,0.2727
CRM0000072,2026-08-28,C000072,28,6,9,0.2143
CRM0000073,2026-08-28,C000073,14,2,5,0.1429
CRM0000074,2026-08-28,C000074,15,1,5,0.0667
CRM0000075,2026-08-28,C000075,15,3,6,0.2
CRM0000076,2026-08-28,C000076,40,2,12,0.05
CRM0000077,2026-08-28,C000077,50,5,15,0.1
CRM0000078,2026-08-28,C000078,27,4,11,0.1481
CRM0000079,2026-08-28,C000079,17,1,6,0.0588
CRM0000080,2026-08-28,C000080,37,3,14,0.0811
CRM0000081,2026-08-28,C000081,26,3,10,0.1154
CRM0000082,2026-08-28,C000082,33,4,9,0.1212
CRM0000083,2026-08-28,C000083,19,5,6,0.2632
CRM0000084,2026-08-28,C000084,15,1,4,0.0667
CRM0000085,2026-08-28,C000085,27,7,8,0.2593
CRM0000086,2026-08-28,C000086,20,2,6,0.1
CRM0000087,2026-08-28,C000087,23,2,10,0.087
CRM0000088,2026-08-28,C000088,32,4,9,0.125
CRM0000089,2026-08-28,C000089,25,6,6,0.24
CRM0000090,2026-08-28,C000090,30,6,10,0.2
CRM0000091,2026-08-28,C000091,28,3,10,0.1071
CRM0000092,2026-08-28,C000092,14,0,7,0.0
CRM0000093,2026-08-28,C000093,19,1,9,0.0526
CRM0000094,2026-08-28,C000094,28,2,10,0.0714
CRM0000095,2026-08-28,C000095,27,6,9,0.2222
CRM0000096,2026-08-28,C000096,12,0,4,0.0
CRM0000097,2026-08-28,C000097,29,3,6,0.1034
CRM0000098,2026-08-28,C000098,43,5,12,0.1163
CRM0000099,2026-08-28,C000099,22,2,7,0.0909
CRM0000100,2026-08-28,C000100,14,0,4,0.0
CRM0000101,2026-08-28,C000101,25,0,8,0.0
CRM0000102,2026-08-28,C000102,37,1,11,0.027
CRM0000103,2026-08-28,C000103,37,6,10,0.1622
CRM0000104,2026-08-28,C000104,21,3,8,0.1429
CRM0000105,2026-08-28,C000105,29,6,8,0.2069
CRM0000106,2026-08-28,C000106,39,5,11,0.1282
CRM0000107,2026-08-28,C000107,33,5,9,0.1515
CRM0000108,2026-08-28,C000108,12,0,6,0.0
CRM0000109,2026-08-28,C000109,23,2,7,0.087
CRM0000110,2026-08-28,C000110,28,2,7,0.0714
CRM0000111,2026-08-28,C000111,54,7,12,0.1296
CRM0000112,2026-08-28,C000112,31,8,8,0.2581
CRM0000113,2026-08-28,C000113,25,1,9,0.04
CRM0000114,2026-08-28,C000114,33,7,12,0.2121
CRM0000115,2026-08-28,C000115,23,3,7,0.1304
CRM0000116,2026-08-28,C000116,30,3,10,0.1
CRM0000117,2026-08-28,C000117,16,1,5,0.0625
CRM0000118,2026-08-28,C000118,43,3,16,0.0698
CRM0000119,2026-08-28,C000119,16,1,6,0.0625
CRM0000120,2026-08-28,C000120,20,2,5,0.1
CRM0000121,2026-08-28,C000121,24,1,6,0.0417
CRM0000122,2026-08-28,C000122,10,2,4,0.2
CRM0000123,2026-08-28,C000123,15,2,4,0.1333
CRM0000124,2026-08-28,C000124,7,3,3,0.4286
CRM0000125,2026-08-28,C000125,26,3,7,0.1154
CRM0000126,2026-08-28,C000126,34,5,9,0.1471
CRM0000127,2026-08-28,C000127,36,4,9,0.1111
CRM0000128,2026-08-28,C000128,46,7,9,0.1522
CRM0000129,2026-08-28,C000129,42,5,12,0.119
CRM0000130,2026-08-28,C000130,33,3,11,0.0909
CRM0000131,2026-08-28,C000131,33,7,10,0.2121
CRM0000132,2026-08-28,C000132,49,6,11,0.1224
CRM0000133,2026-08-28,C000133,9,1,2,0.1111
CRM0000134,2026-08-28,C000134,41,6,13,0.1463
CRM0000135,2026-08-28,C000135,29,3,6,0.1034
CRM0000136,2026-08-28,C000136,28,4,7,0.1429
CRM0000137,2026-08-28,C000137,20,2,6,0.1
CRM0000138,2026-08-28,C000138,15,1,8,0.0667
CRM0000139,2026-08-28,C000139,29,3,12,0.1034
CRM0000140,2026-08-28,C000140,30,4,9,0.1333
CRM0000141,2026-08-28,C000141,27,5,11,0.1852
CRM0000142,2026-08-28,C000142,35,0,10,0.0
CRM0000143,2026-08-28,C000143,42,2,12,0.0476
CRM0000144,2026-08-28,C000144,29,6,11,0.2069
CRM0000145,2026-08-28,C000145,17,4,7,0.2353
CRM0000146,2026-08-28,C000146,26,9,6,0.3462
CRM0000147,2026-08-28,C000147,21,3,6,0.1429
CRM0000148,2026-08-28,C000148,55,5,15,0.0909
CRM0000149,2026-08-28,C000149,27,5,8,0.1852
CRM0000150,2026-08-28,C000150,22,4,6,0.1818
CRM0000151,2026-08-28,C000151,7,1,3,0.1429
CRM0000152,2026-08-28,C000152,33,2,10,0.0606
CRM0000153,2026-08-28,C000153,46,3,13,0.0652
CRM0000154,2026-08-28,C000154,19,2,8,0.1053
CRM0000155,2026-08-28,C000155,17,2,10,0.1176
CRM0000156,2026-08-28,C000156,30,3,10,0.1
CRM0000157,2026-08-28,C000157,20,3,5,0.15
CRM0000158,2026-08-28,C000158,34,4,10,0.1176
CRM0000159,2026-08-28,C000159,24,3,7,0.125
CRM0000160,2026-08-28,C000160,26,2,8,0.0769
CRM0000161,2026-08-28,C000161,28,5,7,0.1786
CRM0000162,2026-08-28,C000162,26,2,5,0.0769
CRM0000163,2026-08-28,C000163,15,2,8,0.1333
CRM0000164,2026-08-28,C000164,22,1,6,0.0455
CRM0000165,2026-08-28,C000165,38,3,11,0.0789
CRM0000166,2026-08-28,C000166,35,5,10,0.1429
CRM0000167,2026-08-28,C000167,27,3,10,0.1111
CRM0000168,2026-08-28,C000168,31,4,8,0.129
CRM0000169,2026-08-28,C000169,12,2,4,0.1667
CRM0000170,2026-08-28,C000170,29,4,8,0.1379
CRM0000171,2026-08-28,C000171,12,1,4,0.0833
CRM0000172,2026-08-28,C000172,19,0,6,0.0
CRM0000173,2026-08-28,C000173,30,3,8,0.1
CRM0000174,2026-08-28,C000174,29,5,9,0.1724
CRM0000175,2026-08-28,C000175,23,2,8,0.087
CRM0000176,2026-08-28,C000176,12,3,5,0.25
CRM0000177,2026-08-28,C000177,26,3,9,0.1154
CRM0000178,2026-08-28,C000178,19,0,7,0.0
CRM0000179,2026-08-28,C000179,11,2,3,0.1818
CRM0000180,2026-08-28,C000180,49,10,12,0.2041
CRM0000181,2026-08-28,C000181,20,1,7,0.05
CRM0000182,2026-08-28,C000182,12,1,7,0.0833
CRM0000183,2026-08-28,C000183,19,3,6,0.1579
CRM0000184,2026-08-28,C000184,38,2,11,0.0526
CRM0000185,2026-08-28,C000185,19,2,7,0.1053
CRM0000186,2026-08-28,C000186,41,6,12,0.1463
CRM0000187,2026-08-28,C000187,36,4,8,0.1111
CRM0000188,2026-08-28,C000188,31,4,8,0.129
CRM0000189,2026-08-28,C000189,15,2,6,0.1333
CRM0000190,2026-08-28,C000190,32,4,7,0.125
CRM0000191,2026-08-28,C000191,25,6,6,0.24
CRM0000192,2026-08-28,C000192,38,4,14,0.1053
CRM0000193,2026-08-28,C000193,45,12,11,0.2667
CRM0000194,2026-08-28,C000194,43,6,10,0.1395
CRM0000195,2026-08-28,C000195,16,1,6,0.0625
CRM0000196,2026-08-28,C000196,13,2,6,0.1538
CRM0000197,2026-08-28,C000197,16,3,8,0.1875
CRM0000198,2026-08-28,C000198,38,7,10,0.1842
CRM0000199,2026-08-28,C000199,17,3,6,0.1765
CRM0000200,2026-08-28,C000200,10,1,5,0.1
CRM0000201,2026-08-28,C000201,31,1,10,0.0323
CRM0000202,2026-08-28,C000202,30,8,7,0.2667
CRM0000203,2026-08-28,C000203,18,4,5,0.2222
CRM0000204,2026-08-28,C000204,26,3,8,0.1154
CRM0000205,2026-08-28,C000205,45,4,12,0.0889
CRM0000206,2026-08-28,C000206,6,1,4,0.1667
CRM0000207,2026-08-28,C000207,24,2,7,0.0833
CRM0000208,2026-08-28,C000208,32,1,12,0.0312
CRM0000209,2026-08-28,C000209,25,4,10,0.16
CRM0000210,2026-08-28,C000210,36,7,11,0.1944
CRM0000211,2026-08-28,C000211,30,4,7,0.1333
CRM0000212,2026-08-28,C000212,21,1,7,0.0476
CRM0000213,2026-08-28,C000213,36,3,10,0.0833
CRM0000214,2026-08-28,C000214,33,9,9,0.2727
CRM0000215,2026-08-28,C000215,23,6,8,0.2609
CRM0000216,2026-08-28,C000216,32,3,10,0.0938
CRM0000217,2026-08-28,C000217,35,2,10,0.0571
CRM0000218,2026-08-28,C000218,16,1,4,0.0625
CRM0000219,2026-08-28,C000219,24,3,7,0.125
CRM0000220,2026-08-28,C000220,28,6,9,0.2143
CRM0000221,2026-08-28,C000221,30,5,9,0.1667
CRM0000222,2026-08-28,C000222,40,7,12,0.175
CRM0000223,2026-08-28,C000223,27,3,8,0.1111
CRM0000224,2026-08-28,C000224,45,10,12,0.2222
CRM0000225,2026-08-28,C000225,20,2,6,0.1
CRM0000226,2026-08-28,C000226,21,5,5,0.2381
CRM0000227,2026-08-28,C000227,37,3,15,0.0811
CRM0000228,2026-08-28,C000228,23,7,6,0.3043
CRM0000229,2026-08-28,C000229,31,8,8,0.2581
CRM0000230,2026-08-28,C000230,16,1,4,0.0625
CRM0000231,2026-08-28,C000231,32,3,9,0.0938
CRM0000232,2026-08-28,C000232,49,4,15,0.0816
CRM0000233,2026-08-28,C000233,25,3,7,0.12
CRM0000234,2026-08-28,C000234,35,3,12,0.0857
CRM0000235,2026-08-28,C000235,40,5,10,0.125
CRM0000236,2026-08-28,C000236,42,8,12,0.1905
CRM0000237,2026-08-28,C000237,48,4,15,0.0833
CRM0000238,2026-08-28,C000238,18,2,4,0.1111
CRM0000239,2026-08-28,C000239,31,3,8,0.0968
CRM0000240,2026-08-28,C000240,16,1,4,0.0625
CRM0000241,2026-08-28,C000241,12,2,6,0.1667
CRM0000242,2026-08-28,C000242,21,2,8,0.0952
CRM0000243,2026-08-28,C000243,22,3,7,0.1364
CRM0000244,2026-08-28,C000244,33,7,9,0.2121
CRM0000245,2026-08-28,C000245,23,2,8,0.087
CRM0000246,2026-08-28,C000246,42,4,11,0.0952
CRM0000247,2026-08-28,C000247,42,5,13,0.119
CRM0000248,2026-08-28,C000248,21,2,7,0.0952
CRM0000249,2026-08-28,C000249,15,3,5,0.2
CRM0000250,2026-08-28,C000250,27,6,7,0.2222
CRM0000251,2026-08-28,C000251,20,6,6,0.3
CRM0000252,2026-08-28,C000252,43,5,10,0.1163
CRM0000253,2026-08-28,C000253,43,3,13,0.0698
CRM0000254,2026-08-28,C000254,37,12,8,0.3243
CRM0000255,2026-08-28,C000255,10,2,4,0.2
CRM0000256,2026-08-28,C000256,10,0,4,0.0
CRM0000257,2026-08-28,C000257,41,4,12,0.0976
CRM0000258,2026-08-28,C000258,33,4,9,0.1212
CRM0000259,2026-08-28,C000259,24,9,8,0.375
CRM0000260,2026-08-28,C000260,29,4,8,0.1379
CRM0000261,2026-08-28,C000261,37,4,11,0.1081
CRM0000262,2026-08-28,C000262,13,1,6,0.0769
CRM0000263,2026-08-28,C000263,17,1,7,0.0588
CRM0000264,2026-08-28,C000264,14,4,5,0.2857
CRM0000265,2026-08-28,C000265,21,3,7,0.1429
CRM0000266,2026-08-28,C000266,34,3,11,0.0882
CRM0000267,2026-08-28,C000267,36,5,14,0.1389
CRM0000268,2026-08-28,C000268,33,5,10,0.1515
CRM0000269,2026-08-28,C000269,41,7,11,0.1707
CRM0000270,2026-08-28,C000270,17,1,9,0.0588
CRM0000271,2026-08-28,C000271,38,4,12,0.1053
CRM0000272,2026-08-28,C000272,16,2,5,0.125
CRM0000273,2026-08-28,C000273,17,0,5,0.0
CRM0000274,2026-08-28,C000274,31,3,11,0.0968
CRM0000275,2026-08-28,C000275,27,2,9,0.0741
CRM0000276,2026-08-28,C000276,35,5,9,0.1429
CRM0000277,2026-08-28,C000277,27,8,7,0.2963
CRM0000278,2026-08-28,C000278,25,4,9,0.16
CRM0000279,2026-08-28,C000279,21,1,6,0.0476
CRM0000280,2026-08-28,C000280,26,8,8,0.3077
CRM0000281,2026-08-28,C000281,25,3,6,0.12
CRM0000282,2026-08-28,C000282,16,4,4,0.25
CRM0000283,2026-08-28,C000283,35,3,13,0.0857
CRM0000284,2026-08-28,C000284,20,1,9,0.05
CRM0000285,2026-08-28,C000285,21,3,8,0.1429
CRM0000286,2026-08-28,C000286,50,9,11,0.18
CRM0000287,2026-08-28,C000287,41,5,13,0.122
CRM0000288,2026-08-28,C000288,43,8,12,0.186
CRM0000289,2026-08-28,C000289,20,0,8,0.0
CRM0000290,2026-08-28,C000290,25,7,8,0.28
CRM0000291,2026-08-28,C000291,40,4,12,0.1
CRM0000292,2026-08-28,C000292,12,2,5,0.1667
CRM0000293,2026-08-28,C000293,26,4,7,0.1538
CRM0000294,2026-08-28,C000294,16,1,6,0.0625
CRM0000295,2026-08-28,C000295,25,3,7,0.12
CRM0000296,2026-08-28,C000296,29,1,10,0.0345
CRM0000297,2026-08-28,C000297,23,0,9,0.0
CRM0000298,2026-08-28,C000298,0,0,0,0.0
CRM0000299,2026-08-28,C000299,16,3,4,0.1875
CRM0000300,2026-08-28,C000300,26,3,7,0.1154
CRM0000301,2026-08-28,C000301,39,3,15,0.0769
CRM0000302,2026-08-28,C000302,40,6,13,0.15
CRM0000303,2026-08-28,C000303,24,2,9,0.0833
CRM0000304,2026-08-28,C000304,18,2,6,0.1111
CRM0000305,2026-08-28,C000305,23,8,9,0.3478
CRM0000306,2026-08-28,C000306,34,6,8,0.1765
CRM0000307,2026-08-28,C000307,8,0,4,0.0
CRM0000308,2026-08-28,C000308,19,3,7,0.1579
CRM0000309,2026-08-28,C000309,31,7,10,0.2258
CRM0000310,2026-08-28,C000310,28,1,10,0.0357
CRM0000311,2026-08-28,C000311,19,4,6,0.2105
CRM0000312,2026-08-28,C000312,25,7,7,0.28
CRM0000313,2026-08-28,C000313,29,3,11,0.1034
CRM0000314,2026-08-28,C000314,18,2,6,0.1111
CRM0000315,2026-08-28,C000315,16,2,5,0.125
CRM0000316,2026-08-28,C000316,25,2,6,0.08
CRM0000317,2026-08-28,C000317,29,3,8,0.1034
CRM0000318,2026-08-28,C000318,31,2,8,0.0645
CRM0000319,2026-08-28,C000319,28,5,11,0.1786
CRM0000320,2026-08-28,C000320,24,4,9,0.1667
CRM0000321,2026-08-28,C000321,31,3,10,0.0968
CRM0000322,2026-08-28,C000322,28,4,12,0.1429
CRM0000323,2026-08-28,C000323,26,3,7,0.1154
CRM0000324,2026-08-28,C000324,31,3,8,0.0968
CRM0000325,2026-08-28,C000325,28,5,7,0.1786
CRM0000326,2026-08-28,C000326,30,5,10,0.1667
CRM0000327,2026-08-28,C000327,38,5,10,0.1316
CRM0000328,2026-08-28,C000328,25,3,9,0.12
CRM0000329,2026-08-28,C000329,35,3,8,0.0857
CRM0000330,2026-08-28,C000330,13,1,4,0.0769
CRM0000331,2026-08-28,C000331,20,3,5,0.15
CRM0000332,2026-08-28,C000332,27,3,10,0.1111
CRM0000333,2026-08-28,C000333,41,7,10,0.1707
CRM0000334,2026-08-28,C000334,36,5,11,0.1389
CRM0000335,2026-08-28,C000335,59,12,14,0.2034
CRM0000336,2026-08-28,C000336,28,1,9,0.0357
CRM0000337,2026-08-28,C000337,18,3,5,0.1667
CRM0000338,2026-08-28,C000338,18,4,7,0.2222
CRM0000339,2026-08-28,C000339,17,1,4,0.0588
CRM0000340,2026-08-28,C000340,9,2,5,0.2222
CRM0000341,2026-08-28,C000341,28,3,9,0.1071
CRM0000342,2026-08-28,C000342,23,3,8,0.1304
CRM0000343,2026-08-28,C000343,22,4,8,0.1818
CRM0000344,2026-08-28,C000344,22,1,6,0.0455
CRM0000345,2026-08-28,C000345,56,8,12,0.1429
CRM0000346,2026-08-28,C000346,25,1,8,0.04
CRM0000347,2026-08-28,C000347,10,0,4,0.0
CRM0000348,2026-08-28,C000348,44,8,13,0.1818
CRM0000349,2026-08-28,C000349,29,8,5,0.2759
CRM0000350,2026-08-28,C000350,13,3,6,0.2308
CRM0000351,2026-08-28,C000351,18,3,7,0.1667
CRM0000352,2026-08-28,C000352,29,5,7,0.1724
CRM0000353,2026-08-28,C000353,8,1,4,0.125
CRM0000354,2026-08-28,C000354,32,6,9,0.1875
CRM0000355,2026-08-28,C000355,40,6,11,0.15
CRM0000356,2026-08-28,C000356,13,1,5,0.0769
CRM0000357,2026-08-28,C000357,30,7,10,0.2333
CRM0000358,2026-08-28,C000358,18,5,6,0.2778
CRM0000359,2026-08-28,C000359,36,1,10,0.0278
CRM0000360,2026-08-28,C000360,22,6,6,0.2727
CRM0000361,2026-08-28,C000361,18,2,5,0.1111
CRM0000362,2026-08-28,C000362,11,3,5,0.2727
CRM0000363,2026-08-28,C000363,22,2,9,0.0909
CRM0000364,2026-08-28,C000364,35,6,7,0.1714
CRM0000365,2026-08-28,C000365,25,4,9,0.16
CRM0000366,2026-08-28,C000366,32,4,9,0.125
CRM0000367,2026-08-28,C000367,17,2,6,0.1176
CRM0000368,2026-08-28,C000368,31,3,10,0.0968
CRM0000369,2026-08-28,C000369,48,3,14,0.0625
CRM0000370,2026-08-28,C000370,9,3,6,0.3333
CRM0000371,2026-08-28,C000371,28,7,6,0.25
CRM0000372,2026-08-28,C000372,34,4,13,0.1176
CRM0000373,2026-08-28,C000373,30,4,7,0.1333
CRM0000374,2026-08-28,C000374,19,2,7,0.1053
CRM0000375,2026-08-28,C000375,26,3,10,0.1154
CRM0000376,2026-08-28,C000376,30,4,10,0.1333
CRM0000377,2026-08-28,C000377,23,3,8,0.1304
CRM0000378,2026-08-28,C000378,26,5,11,0.1923
CRM0000379,2026-08-28,C000379,47,5,14,0.1064
CRM0000380,2026-08-28,C000380,28,1,7,0.0357
CRM0000381,2026-08-28,C000381,26,2,10,0.0769
CRM0000382,2026-08-28,C000382,10,0,7,0.0
CRM0000383,2026-08-28,C000383,28,4,6,0.1429
CRM0000384,2026-08-28,C000384,7,1,3,0.1429
CRM0000385,2026-08-28,C000385,23,5,8,0.2174
CRM0000386,2026-08-28,C000386,19,3,7,0.1579
CRM0000387,2026-08-28,C000387,13,1,4,0.0769
CRM0000388,2026-08-28,C000388,31,1,11,0.0323
CRM0000389,2026-08-28,C000389,13,2,7,0.1538
CRM0000390,2026-08-28,C000390,33,1,10,0.0303
CRM0000391,2026-08-28,C000391,16,3,6,0.1875
CRM0000392,2026-08-28,C000392,25,2,7,0.08
CRM0000393,2026-08-28,C000393,14,2,5,0.1429
CRM0000394,2026-08-28,C000394,32,1,9,0.0312
CRM0000395,2026-08-28,C000395,23,5,7,0.2174
CRM0000396,2026-08-28,C000396,45,3,11,0.0667
CRM0000397,2026-08-28,C000397,35,2,12,0.0571
CRM0000398,2026-08-28,C000398,30,5,10,0.1667
CRM0000399,2026-08-28,C000399,28,3,9,0.1071
CRM0000400,2026-08-28,C000400,46,2,15,0.0435
CRM0000401,2026-08-28,C000401,38,7,14,0.1842
CRM0000402,2026-08-28,C000402,40,6,12,0.15
CRM0000403,2026-08-28,C000403,31,4,10,0.129
CRM0000404,2026-08-28,C000404,26,3,8,0.1154
CRM0000405,2026-08-28,C000405,44,4,13,0.0909
CRM0000406,2026-08-28,C000406,22,3,8,0.1364
CRM0000407,2026-08-28,C000407,24,0,6,0.0
CRM0000408,2026-08-28,C000408,19,3,6,0.1579
CRM0000409,2026-08-28,C000409,30,6,5,0.2
CRM0000410,2026-08-28,C000410,19,1,5,0.0526
CRM0000411,2026-08-28,C000411,28,4,8,0.1429
CRM0000412,2026-08-28,C000412,32,7,9,0.2188
CRM0000413,2026-08-28,C000413,29,8,9,0.2759
CRM0000414,2026-08-28,C000414,21,5,5,0.2381
CRM0000415,2026-08-28,C000415,17,0,8,0.0
CRM0000416,2026-08-28,C000416,39,5,11,0.1282
CRM0000417,2026-08-28,C000417,15,0,9,0.0
CRM0000418,2026-08-28,C000418,33,6,10,0.1818
CRM0000419,2026-08-28,C000419,44,11,11,0.25
CRM0000420,2026-08-28,C000420,30,0,10,0.0
CRM0000421,2026-08-28,C000421,38,5,9,0.1316
CRM0000422,2026-08-28,C000422,39,7,9,0.1795
CRM0000423,2026-08-28,C000423,27,1,8,0.037
CRM0000424,2026-08-28,C000424,36,4,11,0.1111
CRM0000425,2026-08-28,C000425,16,4,5,0.25
CRM0000426,2026-08-28,C000426,28,6,7,0.2143
CRM0000427,2026-08-28,C000427,14,0,3,0.0
CRM0000428,2026-08-28,C000428,15,0,7,0.0
CRM0000429,2026-08-28,C000429,17,1,7,0.0588
CRM0000430,2026-08-28,C000430,33,6,10,0.1818
CRM0000431,2026-08-28,C000431,47,5,14,0.1064
CRM0000432,2026-08-28,C000432,22,6,9,0.2727
CRM0000433,2026-08-28,C000433,26,2,8,0.0769
CRM0000434,2026-08-28,C000434,17,2,4,0.1176
CRM0000435,2026-08-28,C000435,17,2,6,0.1176
CRM0000436,2026-08-28,C000436,30,1,8,0.0333
CRM0000437,2026-08-28,C000437,35,5,7,0.1429
CRM0000438,2026-08-28,C000438,22,2,7,0.0909
CRM0000439,2026-08-28,C000439,19,3,5,0.1579
CRM0000440,2026-08-28,C000440,24,4,5,0.1667
CRM0000441,2026-08-28,C000441,30,5,9,0.1667
CRM0000442,2026-08-28,C000442,37,7,10,0.1892
CRM0000443,2026-08-28,C000443,30,2,9,0.0667
CRM0000444,2026-08-28,C000444,14,0,6,0.0
CRM0000445,2026-08-28,C000445,41,4,9,0.0976
CRM0000446,2026-08-28,C000446,17,1,8,0.0588
CRM0000447,2026-08-28,C000447,20,3,7,0.15
CRM0000448,2026-08-28,C000448,28,3,7,0.1071
CRM0000449,2026-08-28,C000449,19,5,9,0.2632
CRM0000450,2026-08-28,C000450,21,1,7,0.0476
CRM0000451,2026-08-28,C000451,36,3,10,0.0833
CRM0000452,2026-08-28,C000452,31,6,8,0.1935
CRM0000453,2026-08-28,C000453,17,3,4,0.1765
CRM0000454,2026-08-28,C000454,15,4,7,0.2667
CRM0000455,2026-08-28,C000455,29,2,9,0.069
CRM0000456,2026-08-28,C000456,38,4,11,0.1053
CRM0000457,2026-08-28,C000457,24,3,8,0.125
CRM0000458,2026-08-28,C000458,41,7,11,0.1707
CRM0000459,2026-08-28,C000459,23,1,7,0.0435
CRM0000460,2026-08-28,C000460,13,2,6,0.1538
CRM0000461,2026-08-28,C000461,18,1,8,0.0556
CRM0000462,2026-08-28,C000462,9,1,2,0.1111
CRM0000463,2026-08-28,C000463,34,7,12,0.2059
CRM0000464,2026-08-28,C000464,23,1,7,0.0435
CRM0000465,2026-08-28,C000465,35,3,14,0.0857
CRM0000466,2026-08-28,C000466,25,3,7,0.12
CRM0000467,2026-08-28,C000467,24,0,8,0.0
CRM0000468,2026-08-28,C000468,18,1,8,0.0556
CRM0000469,2026-08-28,C000469,37,6,10,0.1622
CRM0000470,2026-08-28,C000470,35,7,9,0.2
CRM0000471,2026-08-28,C000471,5,0,3,0.0
CRM0000472,2026-08-28,C000472,16,1,9,0.0625
CRM0000473,2026-08-28,C000473,30,3,13,0.1
CRM0000474,2026-08-28,C000474,6,1,3,0.1667
CRM0000475,2026-08-28,C000475,35,3,15,0.0857
CRM0000476,2026-08-28,C000476,18,3,4,0.1667
CRM0000477,2026-08-28,C000477,24,5,6,0.2083
CRM0000478,2026-08-28,C000478,40,3,8,0.075
CRM0000479,2026-08-28,C000479,36,4,9,0.1111
CRM0000480,2026-08-28,C000480,25,1,8,0.04
CRM0000481,2026-08-28,C000481,36,7,7,0.1944
CRM0000482,2026-08-28,C000482,35,6,10,0.1714
CRM0000483,2026-08-28,C000483,17,2,6,0.1176
CRM0000484,2026-08-28,C000484,32,4,10,0.125
