activation_id,registration_id,user_id,is_activated,activated_at,activation_seconds,activation_rule
ACT00000066,REG00000066,U0000066,1,2026-07-15 15:44:26,9240,观看满5分钟
ACT00000067,REG00000067,U0000067,1,2026-01-23 06:19:45,4860,观看3条视频
ACT00000068,REG00000068,U0000068,1,2026-06-13 13:57:37,35580,观看满5分钟
ACT00000069,REG00000069,U0000069,0,,,未达到激活条件
ACT00000070,REG00000070,U0000070,0,,,未达到激活条件
ACT00000071,REG00000071,U0000071,1,2026-03-07 14:47:47,27360,观看满5分钟
ACT00000072,REG00000072,U0000072,1,2026-05-29 20:00:20,780,观看满5分钟
ACT00000073,REG00000073,U0000073,1,2026-05-06 18:10:13,39060,观看3条视频
ACT00000074,REG00000074,U0000074,0,,,未达到激活条件
ACT00000075,REG00000075,U0000075,1,2026-03-18 12:02:21,43140,完成首次互动
ACT00000076,REG00000076,U0000076,1,2026-02-23 06:55:00,7860,观看3条视频
ACT00000077,REG00000077,U0000077,1,2026-01-20 08:05:19,10620,完成首次互动
ACT00000078,REG00000078,U0000078,0,,,未达到激活条件
ACT00000079,REG00000079,U0000079,1,2026-03-14 11:36:24,8700,观看满5分钟
ACT00000080,REG00000080,U0000080,1,2026-03-02 16:44:13,22260,观看3条视频
ACT00000081,REG00000081,U0000081,1,2026-06-30 19:23:21,23460,观看满5分钟
ACT00000082,REG00000082,U0000082,1,2026-07-16 22:55:28,34800,观看3条视频
ACT00000083,REG00000083,U0000083,1,2026-03-09 11:01:11,28260,观看3条视频
ACT00000084,REG00000084,U0000084,1,2026-01-24 06:05:26,4740,完成首次互动
ACT00000085,REG00000085,U0000085,1,2026-01-02 16:38:15,3960,观看满5分钟
ACT00000086,REG00000086,U0000086,1,2026-04-27 16:55:25,13920,观看3条视频
ACT00000087,REG00000087,U0000087,1,2026-03-24 00:50:46,40860,观看满5分钟
ACT00000088,REG00000088,U0000088,1,2026-06-01 20:58:36,42780,观看满5分钟
ACT00000089,REG00000089,U0000089,1,2026-04-01 13:36:47,34500,完成首次互动
ACT00000090,REG00000090,U0000090,1,2026-03-21 01:37:19,23580,观看满5分钟
ACT00000091,REG00000091,U0000091,1,2026-03-21 14:13:23,27060,完成首次互动
ACT00000092,REG00000092,U0000092,0,,,未达到激活条件
ACT00000093,REG00000093,U0000093,1,2026-05-18 06:30:44,21600,观看3条视频
ACT00000094,REG00000094,U0000094,0,,,未达到激活条件
ACT00000095,REG00000095,U0000095,0,,,未达到激活条件
ACT00000096,REG00000096,U0000096,1,2026-03-17 13:11:43,2520,观看3条视频
ACT00000097,REG00000097,U0000097,1,2026-02-01 22:43:31,25260,完成首次互动
ACT00000098,REG00000098,U0000098,1,2026-06-16 23:19:51,7200,观看3条视频
ACT00000099,REG00000099,U0000099,0,,,未达到激活条件
ACT00000100,REG00000100,U0000100,0,,,未达到激活条件
ACT00000101,REG00000101,U0000101,1,2026-01-21 22:10:35,41280,观看满5分钟
ACT00000102,REG00000102,U0000102,1,2026-06-03 22:48:00,29460,观看满5分钟
ACT00000103,REG00000103,U0000103,0,,,未达到激活条件
ACT00000104,REG00000104,U0000104,1,2026-01-18 10:59:21,33000,观看3条视频
ACT00000105,REG00000105,U0000105,1,2026-02-07 08:11:32,7320,完成首次互动
ACT00000106,REG00000106,U0000106,0,,,未达到激活条件
ACT00000107,REG00000107,U0000107,1,2026-03-15 13:16:52,13860,观看3条视频
ACT00000108,REG00000108,U0000108,1,2026-08-07 11:20:22,29280,观看3条视频
ACT00000109,REG00000109,U0000109,1,2026-06-17 16:09:52,36840,完成首次互动
ACT00000110,REG00000110,U0000110,1,2026-08-28 03:59:49,37320,完成首次互动
ACT00000111,REG00000111,U0000111,1,2026-02-03 19:11:19,20460,观看满5分钟
ACT00000112,REG00000112,U0000112,1,2026-08-19 12:37:18,21660,观看满5分钟
ACT00000113,REG00000113,U0000113,1,2026-02-01 22:32:37,30780,完成首次互动
ACT00000114,REG00000114,U0000114,1,2026-04-01 04:31:37,35460,观看3条视频
ACT00000115,REG00000115,U0000115,1,2026-02-24 13:40:21,34920,观看满5分钟
ACT00000116,REG00000116,U0000116,1,2026-01-15 09:00:56,1620,观看满5分钟
ACT00000117,REG00000117,U0000117,1,2026-06-08 14:12:05,240,观看满5分钟
ACT00000118,REG00000118,U0000118,1,2026-04-05 04:21:38,18180,完成首次互动
ACT00000119,REG00000119,U0000119,0,,,未达到激活条件
ACT00000120,REG00000120,U0000120,1,2026-06-11 17:07:37,39240,观看3条视频
ACT00000121,REG00000121,U0000121,1,2026-04-11 11:41:43,7920,观看3条视频
ACT00000122,REG00000122,U0000122,1,2026-01-17 17:09:06,41220,完成首次互动
ACT00000123,REG00000123,U0000123,1,2026-08-27 18:56:59,22560,观看3条视频
ACT00000124,REG00000124,U0000124,1,2026-04-22 09:53:14,19740,完成首次互动
ACT00000125,REG00000125,U0000125,1,2026-03-28 09:44:54,30780,观看3条视频
ACT00000126,REG00000126,U0000126,1,2026-01-19 11:40:17,7620,观看满5分钟
ACT00000127,REG00000127,U0000127,0,,,未达到激活条件
ACT00000128,REG00000128,U0000128,1,2026-02-23 02:50:46,2280,观看满5分钟
ACT00000129,REG00000129,U0000129,0,,,未达到激活条件
ACT00000130,REG00000130,U0000130,1,2026-04-14 06:18:59,10440,完成首次互动
ACT00000131,REG00000131,U0000131,0,,,未达到激活条件
ACT00000132,REG00000132,U0000132,1,2026-08-02 03:29:13,18480,观看满5分钟
ACT00000133,REG00000133,U0000133,1,2026-08-13 05:35:27,4080,观看3条视频
ACT00000134,REG00000134,U0000134,0,,,未达到激活条件
ACT00000135,REG00000135,U0000135,0,,,未达到激活条件
ACT00000136,REG00000136,U0000136,1,2026-07-04 02:53:15,28800,完成首次互动
ACT00000137,REG00000137,U0000137,1,2026-03-16 05:04:10,5640,完成首次互动
ACT00000138,REG00000138,U0000138,1,2026-02-21 23:05:20,35340,观看满5分钟
ACT00000139,REG00000139,U0000139,0,,,未达到激活条件
ACT00000140,REG00000140,U0000140,1,2026-01-02 10:12:04,38640,观看3条视频
ACT00000141,REG00000141,U0000141,1,2026-01-03 19:36:22,42360,观看3条视频
ACT00000142,REG00000142,U0000142,0,,,未达到激活条件
ACT00000143,REG00000143,U0000143,1,2026-03-08 23:53:12,11280,完成首次互动
ACT00000144,REG00000144,U0000144,1,2026-05-10 01:11:03,42660,观看满5分钟
ACT00000145,REG00000145,U0000145,1,2026-04-25 01:20:01,300,完成首次互动
ACT00000146,REG00000146,U0000146,1,2026-05-28 09:24:39,13380,观看3条视频
ACT00000147,REG00000147,U0000147,1,2026-06-03 12:54:58,39420,观看3条视频
ACT00000148,REG00000148,U0000148,0,,,未达到激活条件
ACT00000149,REG00000149,U0000149,1,2026-05-04 08:02:14,7200,观看满5分钟
ACT00000150,REG00000150,U0000150,1,2026-04-03 17:33:00,30420,完成首次互动
ACT00000151,REG00000151,U0000151,0,,,未达到激活条件
ACT00000152,REG00000152,U0000152,1,2026-04-01 19:42:41,4020,完成首次互动
ACT00000153,REG00000153,U0000153,1,2026-06-21 01:45:33,20100,观看满5分钟
ACT00000154,REG00000154,U0000154,1,2026-05-27 14:18:42,36780,观看满5分钟
ACT00000155,REG00000155,U0000155,0,,,未达到激活条件
ACT00000156,REG00000156,U0000156,1,2026-04-07 04:29:30,8880,完成首次互动
ACT00000157,REG00000157,U0000157,0,,,未达到激活条件
ACT00000158,REG00000158,U0000158,1,2026-02-23 01:06:12,13680,观看3条视频
ACT00000159,REG00000159,U0000159,1,2026-01-14 22:04:39,32400,观看满5分钟
ACT00000160,REG00000160,U0000160,1,2026-04-13 19:58:18,31800,观看3条视频
ACT00000161,REG00000161,U0000161,0,,,未达到激活条件
ACT00000162,REG00000162,U0000162,1,2026-07-01 14:24:47,23160,观看3条视频
ACT00000163,REG00000163,U0000163,0,,,未达到激活条件
ACT00000164,REG00000164,U0000164,1,2026-08-17 10:45:55,25680,观看满5分钟
ACT00000165,REG00000165,U0000165,1,2026-03-26 21:06:32,15840,观看3条视频
ACT00000166,REG00000166,U0000166,0,,,未达到激活条件
ACT00000167,REG00000167,U0000167,1,2026-03-18 11:18:11,9480,观看3条视频
ACT00000168,REG00000168,U0000168,1,2026-01-22 23:37:41,660,观看3条视频
ACT00000169,REG00000169,U0000169,1,2026-01-21 11:29:20,13260,观看3条视频
ACT00000170,REG00000170,U0000170,0,,,未达到激活条件
ACT00000171,REG00000171,U0000171,1,2026-06-15 08:06:15,28980,观看3条视频
ACT00000172,REG00000172,U0000172,1,2026-03-05 14:02:33,43200,完成首次互动
ACT00000173,REG00000173,U0000173,0,,,未达到激活条件
ACT00000174,REG00000174,U0000174,1,2026-07-28 22:12:35,1320,观看3条视频
ACT00000175,REG00000175,U0000175,1,2026-05-31 09:28:08,38160,观看满5分钟
ACT00000176,REG00000176,U0000176,1,2026-02-09 05:21:54,42360,观看3条视频
ACT00000177,REG00000177,U0000177,0,,,未达到激活条件
ACT00000178,REG00000178,U0000178,0,,,未达到激活条件
ACT00000179,REG00000179,U0000179,1,2026-03-05 15:19:29,1260,观看满5分钟
ACT00000180,REG00000180,U0000180,1,2026-04-14 14:07:22,29460,完成首次互动
ACT00000181,REG00000181,U0000181,1,2026-06-02 22:48:33,23820,观看3条视频
ACT00000182,REG00000182,U0000182,1,2026-03-28 14:29:51,32520,观看满5分钟
ACT00000183,REG00000183,U0000183,0,,,未达到激活条件
ACT00000184,REG00000184,U0000184,1,2026-01-05 12:18:32,6240,完成首次互动
ACT00000185,REG00000185,U0000185,1,2026-07-30 19:59:50,32460,观看3条视频
ACT00000186,REG00000186,U0000186,1,2026-06-17 11:15:39,540,观看3条视频
ACT00000187,REG00000187,U0000187,1,2026-02-10 01:31:15,37860,观看3条视频
ACT00000188,REG00000188,U0000188,0,,,未达到激活条件
ACT00000189,REG00000189,U0000189,1,2026-04-25 20:09:15,2820,观看满5分钟
ACT00000190,REG00000190,U0000190,1,2026-08-18 07:00:08,33720,观看满5分钟
ACT00000191,REG00000191,U0000191,1,2026-02-17 15:52:41,39000,观看满5分钟
ACT00000192,REG00000192,U0000192,0,,,未达到激活条件
ACT00000193,REG00000193,U0000193,0,,,未达到激活条件
ACT00000194,REG00000194,U0000194,0,,,未达到激活条件
ACT00000195,REG00000195,U0000195,0,,,未达到激活条件
ACT00000196,REG00000196,U0000196,1,2026-06-15 11:05:27,720,观看3条视频
ACT00000197,REG00000197,U0000197,1,2026-02-11 03:44:05,31380,观看3条视频
ACT00000198,REG00000198,U0000198,1,2026-05-06 17:19:53,40200,观看满5分钟
ACT00000199,REG00000199,U0000199,1,2026-08-09 11:24:13,14460,观看3条视频
ACT00000200,REG00000200,U0000200,1,2026-04-24 21:03:42,12240,观看3条视频
ACT00000201,REG00000201,U0000201,1,2026-05-22 21:52:05,42240,观看满5分钟
ACT00000202,REG00000202,U0000202,1,2026-03-24 16:33:07,29520,观看3条视频
ACT00000203,REG00000203,U0000203,1,2026-01-19 17:30:45,780,完成首次互动
ACT00000204,REG00000204,U0000204,0,,,未达到激活条件
ACT00000205,REG00000205,U0000205,0,,,未达到激活条件
ACT00000206,REG00000206,U0000206,1,2026-04-02 05:26:15,13980,观看3条视频
ACT00000207,REG00000207,U0000207,1,2026-05-13 16:30:08,30600,观看满5分钟
ACT00000208,REG00000208,U0000208,1,2026-01-19 00:02:17,34560,观看满5分钟
ACT00000209,REG00000209,U0000209,1,2026-05-09 19:41:55,7800,完成首次互动
ACT00000210,REG00000210,U0000210,0,,,未达到激活条件
ACT00000211,REG00000211,U0000211,1,2026-02-22 20:15:43,13020,完成首次互动
ACT00000212,REG00000212,U0000212,1,2026-05-05 19:46:01,28740,观看满5分钟
ACT00000213,REG00000213,U0000213,1,2026-02-16 01:33:35,40560,观看3条视频
ACT00000214,REG00000214,U0000214,0,,,未达到激活条件
ACT00000215,REG00000215,U0000215,1,2026-06-06 05:50:42,16560,观看3条视频
ACT00000216,REG00000216,U0000216,1,2026-03-20 16:58:51,20580,观看3条视频
ACT00000217,REG00000217,U0000217,1,2026-06-07 02:05:54,4260,完成首次互动
ACT00000218,REG00000218,U0000218,1,2026-07-03 16:11:43,28500,观看满5分钟
ACT00000219,REG00000219,U0000219,1,2026-01-18 19:24:41,34260,观看满5分钟
ACT00000220,REG00000220,U0000220,1,2026-03-28 00:31:35,7740,观看3条视频
ACT00000221,REG00000221,U0000221,1,2026-08-21 08:57:24,2640,观看3条视频
ACT00000222,REG00000222,U0000222,1,2026-01-08 12:55:54,19260,观看满5分钟
ACT00000223,REG00000223,U0000223,1,2026-05-05 06:19:06,1380,完成首次互动
ACT00000224,REG00000224,U0000224,1,2026-07-02 12:39:33,25860,完成首次互动
ACT00000225,REG00000225,U0000225,1,2026-05-25 23:32:42,18780,观看满5分钟
ACT00000226,REG00000226,U0000226,1,2026-07-09 22:17:43,3840,观看满5分钟
ACT00000227,REG00000227,U0000227,1,2026-06-14 16:24:43,34140,观看3条视频
ACT00000228,REG00000228,U0000228,1,2026-05-17 18:08:59,3900,观看满5分钟
ACT00000229,REG00000229,U0000229,1,2026-03-03 20:15:34,6000,观看3条视频
ACT00000230,REG00000230,U0000230,1,2026-01-25 05:24:43,32520,观看3条视频
ACT00000231,REG00000231,U0000231,1,2026-04-15 10:39:15,29940,观看满5分钟
ACT00000232,REG00000232,U0000232,1,2026-03-15 20:03:30,24960,观看3条视频
ACT00000233,REG00000233,U0000233,1,2026-02-11 22:09:02,39780,观看满5分钟
ACT00000234,REG00000234,U0000234,1,2026-06-03 21:09:24,38760,完成首次互动
ACT00000235,REG00000235,U0000235,1,2026-07-31 23:17:49,39060,观看3条视频
ACT00000236,REG00000236,U0000236,1,2026-04-04 08:00:22,20640,完成首次互动
ACT00000237,REG00000237,U0000237,1,2026-08-01 10:07:54,35040,观看3条视频
ACT00000238,REG00000238,U0000238,1,2026-01-07 01:27:22,14700,完成首次互动
ACT00000239,REG00000239,U0000239,0,,,未达到激活条件
ACT00000240,REG00000240,U0000240,1,2026-06-28 02:55:49,41220,观看满5分钟
ACT00000241,REG00000241,U0000241,1,2026-06-27 07:19:03,7380,观看满5分钟
ACT00000242,REG00000242,U0000242,1,2026-05-07 17:26:21,4320,完成首次互动
ACT00000243,REG00000243,U0000243,1,2026-05-16 19:11:10,36240,观看满5分钟
ACT00000244,REG00000244,U0000244,1,2026-01-06 05:41:59,20760,观看满5分钟
ACT00000245,REG00000245,U0000245,1,2026-08-14 01:55:32,35520,观看满5分钟
ACT00000246,REG00000246,U0000246,1,2026-05-31 12:02:46,20460,观看3条视频
ACT00000247,REG00000247,U0000247,0,,,未达到激活条件
ACT00000248,REG00000248,U0000248,1,2026-01-18 13:58:35,29820,观看3条视频
ACT00000249,REG00000249,U0000249,1,2026-02-16 23:53:01,13260,观看满5分钟
ACT00000250,REG00000250,U0000250,1,2026-06-13 20:17:11,8280,完成首次互动
ACT00000251,REG00000251,U0000251,1,2026-04-23 15:08:24,34320,完成首次互动
ACT00000252,REG00000252,U0000252,1,2026-01-15 11:24:49,19200,观看3条视频
ACT00000253,REG00000253,U0000253,0,,,未达到激活条件
ACT00000254,REG00000254,U0000254,1,2026-05-12 00:56:20,12720,观看满5分钟
ACT00000255,REG00000255,U0000255,0,,,未达到激活条件
ACT00000256,REG00000256,U0000256,0,,,未达到激活条件
ACT00000257,REG00000257,U0000257,1,2026-04-29 13:01:46,7380,完成首次互动
ACT00000258,REG00000258,U0000258,1,2026-04-02 16:08:46,180,观看3条视频
ACT00000259,REG00000259,U0000259,0,,,未达到激活条件
ACT00000260,REG00000260,U0000260,0,,,未达到激活条件
ACT00000261,REG00000261,U0000261,1,2026-01-01 02:07:32,4560,观看满5分钟
ACT00000262,REG00000262,U0000262,1,2026-03-12 08:21:01,24900,观看3条视频
ACT00000263,REG00000263,U0000263,1,2026-02-02 14:04:01,19920,观看3条视频
ACT00000264,REG00000264,U0000264,0,,,未达到激活条件
ACT00000265,REG00000265,U0000265,1,2026-07-31 23:56:33,19320,观看3条视频
ACT00000266,REG00000266,U0000266,1,2026-08-24 08:57:05,28080,观看3条视频
ACT00000267,REG00000267,U0000267,1,2026-08-02 19:59:00,21300,观看3条视频
ACT00000268,REG00000268,U0000268,1,2026-06-01 16:50:46,37680,观看3条视频
ACT00000269,REG00000269,U0000269,0,,,未达到激活条件
ACT00000270,REG00000270,U0000270,1,2026-06-15 08:58:45,16860,完成首次互动
ACT00000271,REG00000271,U0000271,0,,,未达到激活条件
ACT00000272,REG00000272,U0000272,0,,,未达到激活条件
ACT00000273,REG00000273,U0000273,1,2026-05-26 19:35:14,42180,观看满5分钟
ACT00000274,REG00000274,U0000274,0,,,未达到激活条件
ACT00000275,REG00000275,U0000275,1,2026-01-09 01:33:31,13560,观看满5分钟
ACT00000276,REG00000276,U0000276,1,2026-03-30 18:27:51,38460,完成首次互动
ACT00000277,REG00000277,U0000277,1,2026-06-29 18:45:42,34560,完成首次互动
ACT00000278,REG00000278,U0000278,1,2026-06-11 12:20:50,39060,观看3条视频
ACT00000279,REG00000279,U0000279,0,,,未达到激活条件
ACT00000280,REG00000280,U0000280,1,2026-04-22 00:05:22,19740,观看3条视频
ACT00000281,REG00000281,U0000281,1,2026-03-15 18:50:56,34140,完成首次互动
ACT00000282,REG00000282,U0000282,1,2026-08-25 11:54:43,9540,观看3条视频
ACT00000283,REG00000283,U0000283,1,2026-08-16 16:52:33,22080,观看满5分钟
ACT00000284,REG00000284,U0000284,1,2026-08-02 02:12:58,40020,完成首次互动
ACT00000285,REG00000285,U0000285,1,2026-06-07 04:04:35,26160,完成首次互动
ACT00000286,REG00000286,U0000286,1,2026-07-30 06:24:30,18540,观看3条视频
ACT00000287,REG00000287,U0000287,1,2026-08-23 21:56:07,25380,完成首次互动
ACT00000288,REG00000288,U0000288,1,2026-07-12 21:27:00,30780,观看满5分钟
ACT00000289,REG00000289,U0000289,1,2026-01-26 23:21:51,11820,观看满5分钟
ACT00000290,REG00000290,U0000290,1,2026-07-25 09:57:18,8220,观看3条视频
ACT00000291,REG00000291,U0000291,1,2026-02-18 05:43:14,37560,观看3条视频
ACT00000292,REG00000292,U0000292,1,2026-05-13 15:06:38,32640,观看满5分钟
ACT00000293,REG00000293,U0000293,0,,,未达到激活条件
ACT00000294,REG00000294,U0000294,1,2026-08-26 04:11:58,12960,观看3条视频
ACT00000295,REG00000295,U0000295,1,2026-04-08 09:10:21,22740,观看3条视频
ACT00000296,REG00000296,U0000296,0,,,未达到激活条件
ACT00000297,REG00000297,U0000297,0,,,未达到激活条件
ACT00000298,REG00000298,U0000298,1,2026-03-23 09:52:46,4320,观看满5分钟
ACT00000299,REG00000299,U0000299,0,,,未达到激活条件
ACT00000300,REG00000300,U0000300,1,2026-03-22 16:30:21,20460,完成首次互动
ACT00000301,REG00000301,U0000301,0,,,未达到激活条件
ACT00000302,REG00000302,U0000302,1,2026-08-27 05:37:36,19440,观看满5分钟
ACT00000303,REG00000303,U0000303,1,2026-08-13 07:33:49,2640,观看3条视频
ACT00000304,REG00000304,U0000304,1,2026-01-11 20:17:39,42000,观看满5分钟
ACT00000305,REG00000305,U0000305,1,2026-03-12 04:42:13,1140,观看3条视频
ACT00000306,REG00000306,U0000306,1,2026-02-04 16:39:43,23460,完成首次互动
ACT00000307,REG00000307,U0000307,1,2026-04-21 06:52:08,7620,完成首次互动
ACT00000308,REG00000308,U0000308,1,2026-01-25 03:18:24,30360,观看3条视频
ACT00000309,REG00000309,U0000309,1,2026-02-06 15:39:16,24660,观看满5分钟
ACT00000310,REG00000310,U0000310,1,2026-01-16 16:31:11,33480,观看满5分钟
ACT00000311,REG00000311,U0000311,0,,,未达到激活条件
ACT00000312,REG00000312,U0000312,1,2026-01-29 21:14:53,30780,观看3条视频
ACT00000313,REG00000313,U0000313,1,2026-06-20 14:04:24,34920,观看满5分钟
ACT00000314,REG00000314,U0000314,1,2026-01-05 23:33:18,19980,观看3条视频
ACT00000315,REG00000315,U0000315,1,2026-06-16 17:33:30,15300,完成首次互动
ACT00000316,REG00000316,U0000316,0,,,未达到激活条件
ACT00000317,REG00000317,U0000317,1,2026-02-18 00:54:30,12660,观看3条视频
ACT00000318,REG00000318,U0000318,0,,,未达到激活条件
ACT00000319,REG00000319,U0000319,1,2026-08-07 03:55:37,7320,观看3条视频
ACT00000320,REG00000320,U0000320,1,2026-08-18 10:45:30,28980,观看满5分钟
ACT00000321,REG00000321,U0000321,1,2026-04-12 20:13:42,41160,完成首次互动
ACT00000322,REG00000322,U0000322,1,2026-04-23 12:48:18,7560,观看满5分钟
ACT00000323,REG00000323,U0000323,1,2026-07-01 18:38:21,21360,完成首次互动
ACT00000324,REG00000324,U0000324,1,2026-01-23 13:24:05,28620,完成首次互动
ACT00000325,REG00000325,U0000325,1,2026-03-08 17:17:57,900,观看3条视频
ACT00000326,REG00000326,U0000326,0,,,未达到激活条件
ACT00000327,REG00000327,U0000327,1,2026-02-26 00:29:40,21240,观看满5分钟
ACT00000328,REG00000328,U0000328,0,,,未达到激活条件
ACT00000329,REG00000329,U0000329,1,2026-07-21 17:38:19,24540,完成首次互动
ACT00000330,REG00000330,U0000330,1,2026-03-13 23:00:59,10500,观看3条视频
ACT00000331,REG00000331,U0000331,1,2026-04-23 06:04:20,13500,完成首次互动
ACT00000332,REG00000332,U0000332,1,2026-08-27 21:31:11,41580,观看满5分钟
ACT00000333,REG00000333,U0000333,1,2026-01-24 04:36:56,19020,观看3条视频
ACT00000334,REG00000334,U0000334,1,2026-06-06 01:53:42,7980,观看满5分钟
ACT00000335,REG00000335,U0000335,1,2026-07-23 15:58:59,33840,观看满5分钟
ACT00000336,REG00000336,U0000336,1,2026-05-18 04:27:00,6840,观看3条视频
ACT00000337,REG00000337,U0000337,1,2026-05-23 14:33:33,4140,完成首次互动
ACT00000338,REG00000338,U0000338,1,2026-08-26 03:50:10,12540,观看3条视频
ACT00000339,REG00000339,U0000339,1,2026-06-21 00:36:36,24600,观看3条视频
ACT00000340,REG00000340,U0000340,1,2026-06-20 16:44:32,31680,完成首次互动
ACT00000341,REG00000341,U0000341,1,2026-02-06 22:01:29,10980,完成首次互动
ACT00000342,REG00000342,U0000342,0,,,未达到激活条件
ACT00000343,REG00000343,U0000343,1,2026-07-13 16:29:05,10800,观看3条视频
ACT00000344,REG00000344,U0000344,1,2026-07-07 05:26:11,9660,观看3条视频
ACT00000345,REG00000345,U0000345,1,2026-01-04 07:43:35,16560,观看满5分钟
