metric_id,metric_date,channel_id,new_users,activated_users,day1_retained_users,day7_retained_users,daily_active_users
GM00000050,2026-01-05,CH10,1,1,0,0,1
GM00000051,2026-01-06,CH01,6,5,1,2,8
GM00000052,2026-01-06,CH02,3,2,0,2,7
GM00000053,2026-01-06,CH03,3,2,1,2,6
GM00000054,2026-01-06,CH04,1,0,1,0,4
GM00000055,2026-01-06,CH05,6,4,4,2,3
GM00000056,2026-01-06,CH06,4,3,0,0,2
GM00000057,2026-01-06,CH07,3,3,3,2,8
GM00000058,2026-01-06,CH08,3,3,2,3,0
GM00000059,2026-01-06,CH09,0,0,0,0,1
GM00000060,2026-01-06,CH10,0,0,0,0,1
GM00000061,2026-01-07,CH01,6,5,2,2,5
GM00000062,2026-01-07,CH02,8,7,3,3,4
GM00000063,2026-01-07,CH03,12,8,5,3,2
GM00000064,2026-01-07,CH04,10,5,2,3,1
GM00000065,2026-01-07,CH05,7,6,2,1,6
GM00000066,2026-01-07,CH06,5,5,1,3,4
GM00000067,2026-01-07,CH07,5,3,4,1,10
GM00000068,2026-01-07,CH08,4,3,2,1,6
GM00000069,2026-01-07,CH09,2,2,2,1,1
GM00000070,2026-01-07,CH10,1,0,0,0,0
GM00000071,2026-01-08,CH01,8,7,2,3,15
GM00000072,2026-01-08,CH02,5,3,0,1,6
GM00000073,2026-01-08,CH03,11,7,3,2,9
GM00000074,2026-01-08,CH04,5,4,2,1,9
GM00000075,2026-01-08,CH05,5,5,1,2,3
GM00000076,2026-01-08,CH06,1,0,1,0,2
GM00000077,2026-01-08,CH07,9,9,1,1,9
GM00000078,2026-01-08,CH08,2,1,1,0,6
GM00000079,2026-01-08,CH09,1,1,0,0,2
GM00000080,2026-01-08,CH10,3,1,0,2,0
GM00000081,2026-01-09,CH01,8,8,2,2,11
GM00000082,2026-01-09,CH02,8,6,4,2,5
GM00000083,2026-01-09,CH03,10,8,2,3,6
GM00000084,2026-01-09,CH04,7,4,3,2,6
GM00000085,2026-01-09,CH05,7,5,1,1,6
GM00000086,2026-01-09,CH06,2,1,2,0,4
GM00000087,2026-01-09,CH07,4,1,2,2,9
GM00000088,2026-01-09,CH08,2,2,1,1,3
GM00000089,2026-01-09,CH09,2,1,0,0,1
GM00000090,2026-01-09,CH10,2,2,0,1,1
GM00000091,2026-01-10,CH01,6,6,1,3,9
GM00000092,2026-01-10,CH02,3,3,1,0,5
GM00000093,2026-01-10,CH03,13,9,2,2,7
GM00000094,2026-01-10,CH04,4,3,1,2,8
GM00000095,2026-01-10,CH05,5,4,0,0,5
GM00000096,2026-01-10,CH06,1,0,0,1,3
GM00000097,2026-01-10,CH07,8,8,3,3,7
GM00000098,2026-01-10,CH08,2,2,0,2,1
GM00000099,2026-01-10,CH09,1,1,0,0,1
GM00000100,2026-01-10,CH10,1,0,0,0,0
GM00000101,2026-01-11,CH01,10,8,4,5,12
GM00000102,2026-01-11,CH02,5,5,1,2,6
GM00000103,2026-01-11,CH03,6,5,3,4,9
GM00000104,2026-01-11,CH04,4,2,1,1,9
GM00000105,2026-01-11,CH05,4,2,1,0,5
GM00000106,2026-01-11,CH06,3,2,0,0,1
GM00000107,2026-01-11,CH07,6,5,4,1,10
GM00000108,2026-01-11,CH08,2,2,2,0,6
GM00000109,2026-01-11,CH09,0,0,0,0,1
GM00000110,2026-01-11,CH10,1,1,0,1,2
GM00000111,2026-01-12,CH01,8,8,4,4,12
GM00000112,2026-01-12,CH02,3,3,1,1,8
GM00000113,2026-01-12,CH03,8,6,1,0,8
GM00000114,2026-01-12,CH04,3,1,2,2,7
GM00000115,2026-01-12,CH05,3,3,0,1,7
GM00000116,2026-01-12,CH06,3,2,1,1,2
GM00000117,2026-01-12,CH07,5,4,3,2,10
GM00000118,2026-01-12,CH08,4,4,1,0,3
GM00000119,2026-01-12,CH09,0,0,0,0,1
GM00000120,2026-01-12,CH10,2,0,0,0,0
GM00000121,2026-01-13,CH01,3,3,0,1,12
GM00000122,2026-01-13,CH02,1,1,0,0,6
GM00000123,2026-01-13,CH03,8,4,3,4,7
GM00000124,2026-01-13,CH04,2,2,1,1,5
GM00000125,2026-01-13,CH05,2,2,1,1,3
GM00000126,2026-01-13,CH06,2,1,0,0,4
GM00000127,2026-01-13,CH07,4,4,1,2,11
GM00000128,2026-01-13,CH08,4,2,3,1,7
GM00000129,2026-01-13,CH09,2,2,0,1,1
GM00000130,2026-01-13,CH10,0,0,0,0,3
GM00000131,2026-01-14,CH01,6,5,4,1,9
GM00000132,2026-01-14,CH02,6,6,2,2,9
GM00000133,2026-01-14,CH03,10,6,3,1,11
GM00000134,2026-01-14,CH04,4,3,2,0,6
GM00000135,2026-01-14,CH05,5,3,3,1,7
GM00000136,2026-01-14,CH06,3,2,1,1,6
GM00000137,2026-01-14,CH07,3,2,2,3,7
GM00000138,2026-01-14,CH08,4,3,3,3,6
GM00000139,2026-01-14,CH09,2,1,1,0,2
GM00000140,2026-01-14,CH10,1,1,0,0,0
GM00000141,2026-01-15,CH01,11,9,4,2,17
GM00000142,2026-01-15,CH02,3,3,1,1,8
GM00000143,2026-01-15,CH03,6,5,4,1,9
GM00000144,2026-01-15,CH04,4,2,0,1,5
GM00000145,2026-01-15,CH05,4,2,1,2,12
GM00000146,2026-01-15,CH06,3,1,0,1,2
GM00000147,2026-01-15,CH07,9,9,6,3,16
GM00000148,2026-01-15,CH08,4,4,1,1,6
GM00000149,2026-01-15,CH09,4,3,1,0,1
GM00000150,2026-01-15,CH10,1,1,0,0,2
GM00000151,2026-01-16,CH01,6,5,1,1,18
GM00000152,2026-01-16,CH02,10,5,1,2,6
GM00000153,2026-01-16,CH03,16,10,7,3,16
GM00000154,2026-01-16,CH04,5,4,0,2,8
GM00000155,2026-01-16,CH05,9,7,6,3,3
GM00000156,2026-01-16,CH06,3,3,2,1,3
GM00000157,2026-01-16,CH07,8,8,3,4,16
GM00000158,2026-01-16,CH08,3,3,1,0,7
GM00000159,2026-01-16,CH09,2,2,0,1,3
GM00000160,2026-01-16,CH10,3,1,0,0,3
GM00000161,2026-01-17,CH01,8,7,3,1,13
GM00000162,2026-01-17,CH02,8,6,2,1,5
GM00000163,2026-01-17,CH03,7,7,4,1,20
GM00000164,2026-01-17,CH04,1,1,0,0,4
GM00000165,2026-01-17,CH05,8,8,3,3,10
GM00000166,2026-01-17,CH06,2,2,1,0,4
GM00000167,2026-01-17,CH07,2,2,2,1,14
GM00000168,2026-01-17,CH08,2,2,0,0,5
GM00000169,2026-01-17,CH09,4,2,1,0,1
GM00000170,2026-01-17,CH10,1,0,1,0,0
GM00000171,2026-01-18,CH01,10,7,2,4,18
GM00000172,2026-01-18,CH02,4,2,1,1,9
GM00000173,2026-01-18,CH03,4,4,1,1,14
GM00000174,2026-01-18,CH04,5,3,4,0,4
GM00000175,2026-01-18,CH05,10,8,4,4,6
GM00000176,2026-01-18,CH06,6,4,2,0,4
GM00000177,2026-01-18,CH07,4,4,2,2,7
GM00000178,2026-01-18,CH08,5,4,1,2,5
GM00000179,2026-01-18,CH09,3,2,1,0,1
GM00000180,2026-01-18,CH10,0,0,0,0,3
GM00000181,2026-01-19,CH01,4,4,3,2,20
GM00000182,2026-01-19,CH02,11,10,2,3,8
GM00000183,2026-01-19,CH03,9,7,2,2,13
GM00000184,2026-01-19,CH04,3,2,1,0,11
GM00000185,2026-01-19,CH05,6,5,1,1,17
GM00000186,2026-01-19,CH06,2,1,2,0,3
GM00000187,2026-01-19,CH07,5,4,3,2,10
GM00000188,2026-01-19,CH08,3,2,1,3,3
GM00000189,2026-01-19,CH09,2,1,1,1,2
GM00000190,2026-01-19,CH10,1,0,0,0,0
GM00000191,2026-01-20,CH01,8,8,4,4,16
GM00000192,2026-01-20,CH02,4,4,0,2,6
GM00000193,2026-01-20,CH03,7,4,2,2,15
GM00000194,2026-01-20,CH04,7,3,4,4,3
GM00000195,2026-01-20,CH05,8,6,3,3,9
GM00000196,2026-01-20,CH06,2,1,1,0,3
GM00000197,2026-01-20,CH07,0,0,0,0,10
GM00000198,2026-01-20,CH08,3,3,2,1,9
GM00000199,2026-01-20,CH09,4,2,1,3,2
GM00000200,2026-01-20,CH10,3,3,1,2,0
GM00000201,2026-01-21,CH01,12,12,2,5,18
GM00000202,2026-01-21,CH02,4,2,1,2,9
GM00000203,2026-01-21,CH03,9,7,3,0,14
GM00000204,2026-01-21,CH04,3,1,1,1,11
GM00000205,2026-01-21,CH05,9,7,1,4,11
GM00000206,2026-01-21,CH06,2,1,0,0,9
GM00000207,2026-01-21,CH07,5,4,2,1,7
GM00000208,2026-01-21,CH08,2,2,0,0,13
GM00000209,2026-01-21,CH09,5,3,2,1,2
GM00000210,2026-01-21,CH10,3,2,1,1,3
GM00000211,2026-01-22,CH01,9,9,5,3,13
GM00000212,2026-01-22,CH02,2,1,0,0,10
GM00000213,2026-01-22,CH03,11,7,3,3,15
GM00000214,2026-01-22,CH04,7,6,1,2,7
GM00000215,2026-01-22,CH05,6,5,3,1,12
GM00000216,2026-01-22,CH06,1,1,0,0,4
GM00000217,2026-01-22,CH07,3,2,0,2,18
GM00000218,2026-01-22,CH08,4,4,2,2,5
GM00000219,2026-01-22,CH09,2,1,0,0,3
GM00000220,2026-01-22,CH10,2,1,0,0,1
GM00000221,2026-01-23,CH01,11,8,5,4,16
GM00000222,2026-01-23,CH02,7,4,3,3,5
GM00000223,2026-01-23,CH03,9,8,2,0,12
GM00000224,2026-01-23,CH04,5,4,0,2,8
GM00000225,2026-01-23,CH05,7,7,5,3,12
GM00000226,2026-01-23,CH06,6,3,2,1,3
GM00000227,2026-01-23,CH07,3,2,0,1,11
GM00000228,2026-01-23,CH08,5,5,3,0,6
GM00000229,2026-01-23,CH09,1,1,0,0,2
GM00000230,2026-01-23,CH10,2,2,0,1,3
GM00000231,2026-01-24,CH01,7,6,1,1,17
GM00000232,2026-01-24,CH02,3,2,1,0,7
GM00000233,2026-01-24,CH03,6,5,1,0,10
GM00000234,2026-01-24,CH04,13,10,4,2,4
GM00000235,2026-01-24,CH05,5,4,3,2,17
GM00000236,2026-01-24,CH06,2,2,1,0,7
GM00000237,2026-01-24,CH07,6,5,1,2,9
GM00000238,2026-01-24,CH08,2,1,0,0,8
GM00000239,2026-01-24,CH09,2,2,0,0,1
GM00000240,2026-01-24,CH10,2,1,0,0,1
GM00000241,2026-01-25,CH01,4,4,1,2,21
GM00000242,2026-01-25,CH02,4,4,0,1,8
GM00000243,2026-01-25,CH03,9,7,1,1,14
GM00000244,2026-01-25,CH04,6,6,1,2,11
GM00000245,2026-01-25,CH05,10,6,3,1,12
GM00000246,2026-01-25,CH06,4,1,2,1,1
GM00000247,2026-01-25,CH07,5,4,3,1,9
GM00000248,2026-01-25,CH08,3,3,0,2,5
GM00000249,2026-01-25,CH09,6,4,2,1,2
GM00000250,2026-01-25,CH10,0,0,0,0,0
GM00000251,2026-01-26,CH01,7,5,3,5,20
GM00000252,2026-01-26,CH02,10,7,3,4,10
GM00000253,2026-01-26,CH03,7,5,2,3,17
GM00000254,2026-01-26,CH04,8,5,4,3,8
GM00000255,2026-01-26,CH05,12,10,6,4,9
GM00000256,2026-01-26,CH06,5,1,0,1,6
GM00000257,2026-01-26,CH07,5,5,1,4,11
GM00000258,2026-01-26,CH08,1,1,0,1,10
GM00000259,2026-01-26,CH09,2,2,1,1,4
GM00000260,2026-01-26,CH10,1,1,0,0,0
GM00000261,2026-01-27,CH01,6,6,2,1,17
GM00000262,2026-01-27,CH02,8,3,1,1,12
GM00000263,2026-01-27,CH03,10,8,2,3,17
GM00000264,2026-01-27,CH04,5,3,0,1,15
GM00000265,2026-01-27,CH05,9,7,2,3,17
GM00000266,2026-01-27,CH06,8,5,2,3,4
GM00000267,2026-01-27,CH07,9,8,3,6,4
GM00000268,2026-01-27,CH08,2,2,2,0,9
GM00000269,2026-01-27,CH09,1,1,0,0,5
GM00000270,2026-01-27,CH10,0,0,0,0,4
GM00000271,2026-01-28,CH01,5,2,2,1,12
GM00000272,2026-01-28,CH02,5,4,1,0,8
GM00000273,2026-01-28,CH03,8,7,1,3,11
GM00000274,2026-01-28,CH04,10,9,3,6,9
GM00000275,2026-01-28,CH05,7,7,3,3,17
GM00000276,2026-01-28,CH06,5,4,0,0,6
GM00000277,2026-01-28,CH07,7,7,4,3,13
GM00000278,2026-01-28,CH08,5,4,1,1,5
GM00000279,2026-01-28,CH09,2,2,0,0,4
GM00000280,2026-01-28,CH10,1,0,0,0,1
GM00000281,2026-01-29,CH01,7,6,3,2,24
GM00000282,2026-01-29,CH02,3,2,2,1,10
GM00000283,2026-01-29,CH03,9,7,2,3,14
GM00000284,2026-01-29,CH04,6,3,1,2,11
GM00000285,2026-01-29,CH05,6,5,2,5,13
GM00000286,2026-01-29,CH06,6,4,1,1,4
GM00000287,2026-01-29,CH07,8,7,5,4,17
GM00000288,2026-01-29,CH08,7,6,3,3,7
GM00000289,2026-01-29,CH09,0,0,0,0,5
GM00000290,2026-01-29,CH10,1,1,0,0,0
GM00000291,2026-01-30,CH01,13,10,4,4,20
GM00000292,2026-01-30,CH02,4,3,2,1,14
GM00000293,2026-01-30,CH03,6,5,1,0,20
GM00000294,2026-01-30,CH04,3,2,0,1,9
GM00000295,2026-01-30,CH05,7,5,2,2,20
GM00000296,2026-01-30,CH06,4,2,1,2,10
GM00000297,2026-01-30,CH07,6,5,1,3,17
GM00000298,2026-01-30,CH08,6,3,2,0,8
GM00000299,2026-01-30,CH09,0,0,0,0,0
GM00000300,2026-01-30,CH10,2,1,1,0,2
GM00000301,2026-01-31,CH01,9,7,1,3,20
GM00000302,2026-01-31,CH02,4,3,2,1,14
GM00000303,2026-01-31,CH03,5,3,1,2,13
GM00000304,2026-01-31,CH04,7,6,0,2,11
GM00000305,2026-01-31,CH05,7,7,2,4,15
GM00000306,2026-01-31,CH06,1,0,0,0,6
GM00000307,2026-01-31,CH07,9,9,3,1,14
GM00000308,2026-01-31,CH08,9,7,9,1,6
GM00000309,2026-01-31,CH09,3,3,0,0,6
GM00000310,2026-01-31,CH10,2,2,0,0,2
GM00000311,2026-02-01,CH01,8,4,2,5,19
GM00000312,2026-02-01,CH02,4,4,2,2,12
GM00000313,2026-02-01,CH03,7,4,1,0,17
GM00000314,2026-02-01,CH04,6,6,2,3,8
GM00000315,2026-02-01,CH05,5,4,1,1,15
GM00000316,2026-02-01,CH06,6,2,1,0,8
GM00000317,2026-02-01,CH07,6,6,3,1,22
GM00000318,2026-02-01,CH08,6,5,3,2,15
GM00000319,2026-02-01,CH09,4,1,2,0,5
GM00000320,2026-02-01,CH10,0,0,0,0,1
GM00000321,2026-02-02,CH01,7,5,3,3,24
GM00000322,2026-02-02,CH02,3,3,1,0,16
GM00000323,2026-02-02,CH03,6,6,2,1,12
GM00000324,2026-02-02,CH04,4,3,0,2,16
GM00000325,2026-02-02,CH05,2,1,0,1,25
GM00000326,2026-02-02,CH06,4,2,1,1,6
GM00000327,2026-02-02,CH07,9,7,1,3,21
GM00000328,2026-02-02,CH08,3,3,1,2,10
GM00000329,2026-02-02,CH09,0,0,0,0,11
GM00000330,2026-02-02,CH10,1,1,0,0,2
GM00000331,2026-02-03,CH01,9,8,3,0,17
GM00000332,2026-02-03,CH02,7,5,3,2,9
GM00000333,2026-02-03,CH03,7,6,3,1,12
GM00000334,2026-02-03,CH04,9,7,2,4,12
GM00000335,2026-02-03,CH05,4,3,2,1,16
GM00000336,2026-02-03,CH06,5,4,2,2,7
GM00000337,2026-02-03,CH07,5,4,1,2,16
GM00000338,2026-02-03,CH08,3,3,2,0,9
GM00000339,2026-02-03,CH09,3,2,0,0,2
GM00000340,2026-02-03,CH10,1,1,0,0,3
GM00000341,2026-02-04,CH01,8,7,5,4,15
GM00000342,2026-02-04,CH02,6,4,1,0,10
GM00000343,2026-02-04,CH03,9,6,1,3,15
GM00000344,2026-02-04,CH04,8,5,1,1,15
GM00000345,2026-02-04,CH05,6,4,2,4,24
GM00000346,2026-02-04,CH06,2,1,0,0,11
GM00000347,2026-02-04,CH07,3,3,1,0,15
GM00000348,2026-02-04,CH08,3,2,1,0,8
GM00000349,2026-02-04,CH09,3,3,0,1,1
GM00000350,2026-02-04,CH10,1,1,0,1,2
GM00000351,2026-02-05,CH01,3,3,2,2,22
GM00000352,2026-02-05,CH02,7,5,2,3,11
GM00000353,2026-02-05,CH03,5,2,3,0,10
GM00000354,2026-02-05,CH04,4,3,0,1,10
GM00000355,2026-02-05,CH05,5,3,3,1,14
GM00000356,2026-02-05,CH06,6,3,1,3,6
GM00000357,2026-02-05,CH07,6,6,2,3,21
GM00000358,2026-02-05,CH08,4,4,2,1,12
GM00000359,2026-02-05,CH09,3,2,0,1,5
GM00000360,2026-02-05,CH10,0,0,0,0,4
GM00000361,2026-02-06,CH01,9,8,3,5,23
GM00000362,2026-02-06,CH02,10,7,1,0,11
GM00000363,2026-02-06,CH03,8,7,2,3,18
GM00000364,2026-02-06,CH04,7,6,2,4,22
GM00000365,2026-02-06,CH05,7,6,3,1,19
GM00000366,2026-02-06,CH06,8,4,1,2,10
GM00000367,2026-02-06,CH07,4,3,1,2,13
GM00000368,2026-02-06,CH08,3,2,1,1,15
GM00000369,2026-02-06,CH09,4,3,1,1,4
GM00000370,2026-02-06,CH10,1,1,1,0,3
GM00000371,2026-02-07,CH01,9,8,3,2,21
GM00000372,2026-02-07,CH02,1,1,0,0,13
GM00000373,2026-02-07,CH03,14,12,2,2,16
GM00000374,2026-02-07,CH04,5,2,1,0,17
GM00000375,2026-02-07,CH05,2,2,0,2,19
GM00000376,2026-02-07,CH06,3,3,1,0,5
GM00000377,2026-02-07,CH07,3,3,1,0,17
GM00000378,2026-02-07,CH08,4,4,0,0,6
GM00000379,2026-02-07,CH09,0,0,0,0,4
GM00000380,2026-02-07,CH10,3,2,1,0,3
GM00000381,2026-02-08,CH01,9,9,4,5,22
GM00000382,2026-02-08,CH02,8,7,4,5,9
GM00000383,2026-02-08,CH03,8,5,2,2,15
GM00000384,2026-02-08,CH04,12,9,3,3,14
GM00000385,2026-02-08,CH05,7,6,4,3,16
GM00000386,2026-02-08,CH06,4,2,2,0,9
GM00000387,2026-02-08,CH07,4,2,3,2,7
GM00000388,2026-02-08,CH08,1,1,0,1,8
GM00000389,2026-02-08,CH09,2,0,0,0,2
GM00000390,2026-02-08,CH10,4,2,0,1,2
GM00000391,2026-02-09,CH01,8,6,5,3,20
GM00000392,2026-02-09,CH02,5,4,0,2,15
GM00000393,2026-02-09,CH03,5,4,1,2,20
GM00000394,2026-02-09,CH04,3,3,2,3,14
GM00000395,2026-02-09,CH05,5,3,1,2,19
GM00000396,2026-02-09,CH06,5,4,1,0,7
GM00000397,2026-02-09,CH07,6,5,3,2,19
GM00000398,2026-02-09,CH08,2,2,1,1,8
GM00000399,2026-02-09,CH09,0,0,0,0,4
GM00000400,2026-02-09,CH10,1,1,1,1,5
GM00000401,2026-02-10,CH01,6,6,3,2,23
GM00000402,2026-02-10,CH02,3,2,2,1,14
GM00000403,2026-02-10,CH03,6,5,2,0,13
GM00000404,2026-02-10,CH04,3,3,1,2,13
GM00000405,2026-02-10,CH05,8,5,3,2,12
GM00000406,2026-02-10,CH06,6,3,1,2,8
GM00000407,2026-02-10,CH07,5,4,2,3,16
GM00000408,2026-02-10,CH08,4,3,0,0,8
GM00000409,2026-02-10,CH09,3,1,2,0,4
GM00000410,2026-02-10,CH10,3,2,1,0,3
GM00000411,2026-02-11,CH01,5,2,2,2,23
GM00000412,2026-02-11,CH02,3,2,0,0,13
GM00000413,2026-02-11,CH03,7,5,1,1,22
GM00000414,2026-02-11,CH04,4,4,1,1,19
GM00000415,2026-02-11,CH05,7,6,1,1,19
GM00000416,2026-02-11,CH06,7,4,0,2,9
GM00000417,2026-02-11,CH07,8,7,6,3,21
GM00000418,2026-02-11,CH08,5,5,2,2,5
GM00000419,2026-02-11,CH09,3,3,0,0,7
GM00000420,2026-02-11,CH10,2,1,0,0,4
GM00000421,2026-02-12,CH01,12,9,6,4,20
GM00000422,2026-02-12,CH02,6,5,1,0,15
GM00000423,2026-02-12,CH03,8,5,1,1,13
GM00000424,2026-02-12,CH04,2,2,0,1,12
GM00000425,2026-02-12,CH05,2,2,0,1,11
GM00000426,2026-02-12,CH06,5,2,2,1,7
GM00000427,2026-02-12,CH07,5,5,2,2,24
GM00000428,2026-02-12,CH08,6,5,3,1,7
GM00000429,2026-02-12,CH09,2,1,0,0,1
GM00000430,2026-02-12,CH10,2,1,0,2,5
GM00000431,2026-02-13,CH01,4,4,2,3,29
GM00000432,2026-02-13,CH02,6,5,3,1,14
GM00000433,2026-02-13,CH03,9,7,3,1,19
GM00000434,2026-02-13,CH04,7,5,3,0,12
GM00000435,2026-02-13,CH05,5,5,4,2,12
GM00000436,2026-02-13,CH06,3,3,1,0,8
GM00000437,2026-02-13,CH07,3,3,1,1,16
GM00000438,2026-02-13,CH08,2,2,0,1,12
GM00000439,2026-02-13,CH09,2,1,0,0,4
GM00000440,2026-02-13,CH10,2,0,0,1,1
GM00000441,2026-02-14,CH01,9,8,4,4,18
GM00000442,2026-02-14,CH02,7,7,1,2,14
GM00000443,2026-02-14,CH03,10,7,2,5,18
GM00000444,2026-02-14,CH04,2,2,1,1,15
GM00000445,2026-02-14,CH05,7,5,1,3,20
GM00000446,2026-02-14,CH06,3,1,1,2,8
GM00000447,2026-02-14,CH07,1,0,0,0,20
GM00000448,2026-02-14,CH08,1,0,0,1,7
GM00000449,2026-02-14,CH09,1,1,0,0,6
GM00000450,2026-02-14,CH10,2,1,0,1,3
GM00000451,2026-02-15,CH01,5,5,2,1,34
GM00000452,2026-02-15,CH02,6,1,1,3,17
GM00000453,2026-02-15,CH03,13,9,1,4,16
GM00000454,2026-02-15,CH04,4,3,0,0,16
GM00000455,2026-02-15,CH05,10,9,2,3,13
GM00000456,2026-02-15,CH06,6,4,0,1,9
GM00000457,2026-02-15,CH07,5,4,1,1,15
GM00000458,2026-02-15,CH08,2,2,0,0,9
GM00000459,2026-02-15,CH09,2,2,0,0,4
GM00000460,2026-02-15,CH10,3,1,0,0,7
GM00000461,2026-02-16,CH01,8,7,4,3,22
GM00000462,2026-02-16,CH02,4,4,3,1,19
GM00000463,2026-02-16,CH03,9,6,5,0,16
GM00000464,2026-02-16,CH04,7,6,2,4,14
GM00000465,2026-02-16,CH05,5,5,2,1,13
GM00000466,2026-02-16,CH06,5,3,1,0,8
GM00000467,2026-02-16,CH07,11,10,5,3,13
GM00000468,2026-02-16,CH08,2,2,0,0,9
GM00000469,2026-02-16,CH09,0,0,0,0,3
GM00000470,2026-02-16,CH10,1,1,0,0,2
GM00000471,2026-02-17,CH01,10,10,4,3,25
GM00000472,2026-02-17,CH02,3,3,1,0,22
GM00000473,2026-02-17,CH03,10,7,1,3,25
GM00000474,2026-02-17,CH04,3,2,1,1,20
GM00000475,2026-02-17,CH05,11,9,5,5,17
GM00000476,2026-02-17,CH06,6,5,1,0,9
GM00000477,2026-02-17,CH07,5,4,3,2,19
GM00000478,2026-02-17,CH08,3,3,2,3,5
GM00000479,2026-02-17,CH09,0,0,0,0,4
GM00000480,2026-02-17,CH10,2,1,0,0,2
GM00000481,2026-02-18,CH01,7,7,3,3,22
GM00000482,2026-02-18,CH02,5,5,2,2,14
GM00000483,2026-02-18,CH03,8,5,1,2,22
GM00000484,2026-02-18,CH04,5,3,1,0,9
GM00000485,2026-02-18,CH05,5,3,3,2,25
GM00000486,2026-02-18,CH06,3,1,0,1,8
GM00000487,2026-02-18,CH07,4,3,2,2,13
GM00000488,2026-02-18,CH08,3,3,1,0,8
GM00000489,2026-02-18,CH09,3,1,1,1,1
GM00000490,2026-02-18,CH10,2,1,1,1,4
GM00000491,2026-02-19,CH01,11,6,7,4,29
GM00000492,2026-02-19,CH02,5,5,2,5,13
GM00000493,2026-02-19,CH03,14,9,5,2,20
GM00000494,2026-02-19,CH04,4,3,0,0,17
GM00000495,2026-02-19,CH05,5,4,2,2,14
GM00000496,2026-02-19,CH06,2,0,0,1,8
GM00000497,2026-02-19,CH07,2,2,2,1,15
GM00000498,2026-02-19,CH08,4,3,2,3,12
GM00000499,2026-02-19,CH09,3,2,0,0,3
GM00000500,2026-02-19,CH10,2,2,0,0,5
GM00000501,2026-02-20,CH01,11,5,1,5,28
GM00000502,2026-02-20,CH02,7,5,2,4,21
GM00000503,2026-02-20,CH03,7,4,3,0,30
GM00000504,2026-02-20,CH04,3,3,0,0,12
GM00000505,2026-02-20,CH05,4,3,1,1,30
GM00000506,2026-02-20,CH06,4,3,1,1,8
GM00000507,2026-02-20,CH07,6,5,4,4,20
GM00000508,2026-02-20,CH08,3,2,1,1,9
GM00000509,2026-02-20,CH09,2,0,0,1,0
GM00000510,2026-02-20,CH10,2,1,0,0,4
GM00000511,2026-02-21,CH01,11,8,5,4,25
GM00000512,2026-02-21,CH02,7,4,4,4,19
GM00000513,2026-02-21,CH03,14,10,4,2,33
GM00000514,2026-02-21,CH04,3,3,1,0,9
GM00000515,2026-02-21,CH05,10,8,3,5,19
