device_id,user_id,device_type,device_level,app_version,first_seen_at
D00000056,U0000047,iOS,中端机,9.8.0,2026-08-02 22:08:17
D00000057,U0000048,iOS,中端机,9.8.0,2026-01-14 18:05:48
D00000058,U0000049,iOS,高端机,9.7.0,2026-08-24 18:29:41
D00000059,U0000049,iOS,中端机,9.7.0,2026-08-24 18:29:41
D00000060,U0000050,iOS,高端机,9.5.0,2026-02-18 19:51:30
D00000061,U0000051,iOS,入门机,9.7.0,2026-01-24 12:31:40
D00000062,U0000052,Android,中端机,9.8.0,2026-08-08 01:06:02
D00000063,U0000053,iOS,入门机,9.5.0,2026-05-22 11:05:03
D00000064,U0000054,Android,中端机,9.8.0,2026-05-07 07:21:11
D00000065,U0000055,Android,高端机,9.7.0,2026-02-17 03:08:38
D00000066,U0000056,Android,入门机,9.5.0,2026-01-23 12:07:59
D00000067,U0000056,Android,中端机,9.8.0,2026-01-23 12:07:59
D00000068,U0000057,iOS,高端机,9.7.0,2026-02-02 13:44:56
D00000069,U0000058,iOS,中端机,9.8.0,2026-01-17 05:42:38
D00000070,U0000059,iOS,中端机,9.6.0,2026-08-21 00:07:47
D00000071,U0000060,iOS,中端机,9.8.0,2026-07-05 08:46:08
D00000072,U0000060,iOS,入门机,9.8.0,2026-07-05 08:46:08
D00000073,U0000061,iOS,中端机,9.7.0,2026-06-23 23:29:29
D00000074,U0000062,Android,中端机,9.7.0,2026-05-26 03:42:01
D00000075,U0000063,Android,中端机,9.6.0,2026-04-25 20:17:39
D00000076,U0000064,Android,中端机,9.8.0,2026-01-29 12:22:11
D00000077,U0000064,Android,中端机,9.8.0,2026-01-29 12:22:11
D00000078,U0000065,Android,高端机,9.6.0,2026-01-09 09:07:14
D00000079,U0000066,iOS,中端机,9.8.0,2026-07-15 13:10:26
D00000080,U0000067,Android,入门机,9.5.0,2026-01-23 04:58:45
D00000081,U0000068,Android,中端机,9.7.0,2026-06-13 04:04:37
D00000082,U0000069,Android,中端机,9.6.0,2026-01-28 19:46:25
D00000083,U0000070,Android,高端机,9.5.0,2026-08-05 04:53:01
D00000084,U0000070,Android,入门机,9.8.0,2026-08-05 04:53:01
D00000085,U0000071,iOS,高端机,9.7.0,2026-03-07 07:11:47
D00000086,U0000071,iOS,入门机,9.7.0,2026-03-07 07:11:47
D00000087,U0000072,iOS,入门机,9.6.0,2026-05-29 19:47:20
D00000088,U0000073,Android,中端机,9.7.0,2026-05-06 07:19:13
D00000089,U0000074,iOS,入门机,9.8.0,2026-07-27 20:47:14
D00000090,U0000075,Android,中端机,9.6.0,2026-03-18 00:03:21
D00000091,U0000076,Android,中端机,9.7.0,2026-02-23 04:44:00
D00000092,U0000077,iOS,高端机,9.8.0,2026-01-20 05:08:19
D00000093,U0000078,iOS,高端机,9.8.0,2026-05-13 05:56:53
D00000094,U0000079,Android,中端机,9.7.0,2026-03-14 09:11:24
D00000095,U0000080,Android,高端机,9.6.0,2026-03-02 10:33:13
D00000096,U0000081,Android,高端机,9.7.0,2026-06-30 12:52:21
D00000097,U0000082,iOS,入门机,9.7.0,2026-07-16 13:15:28
D00000098,U0000083,Android,高端机,9.8.0,2026-03-09 03:10:11
D00000099,U0000084,iOS,高端机,9.6.0,2026-01-24 04:46:26
D00000100,U0000085,Android,高端机,9.6.0,2026-01-02 15:32:15
D00000101,U0000086,Android,中端机,9.5.0,2026-04-27 13:03:25
D00000102,U0000087,iOS,高端机,9.5.0,2026-03-23 13:29:46
D00000103,U0000087,iOS,高端机,9.7.0,2026-03-23 13:29:46
D00000104,U0000088,iOS,中端机,9.8.0,2026-06-01 09:05:36
D00000105,U0000089,Android,高端机,9.7.0,2026-04-01 04:01:47
D00000106,U0000090,iOS,中端机,9.7.0,2026-03-20 19:04:19
D00000107,U0000091,iOS,高端机,9.7.0,2026-03-21 06:42:23
D00000108,U0000092,iOS,入门机,9.8.0,2026-08-11 04:37:40
D00000109,U0000093,Android,中端机,9.7.0,2026-05-18 00:30:44
D00000110,U0000094,Android,入门机,9.7.0,2026-08-24 09:36:13
D00000111,U0000095,Android,入门机,9.5.0,2026-04-05 00:29:09
D00000112,U0000096,Android,中端机,9.6.0,2026-03-17 12:29:43
D00000113,U0000097,Android,高端机,9.8.0,2026-02-01 15:42:31
D00000114,U0000098,iOS,高端机,9.6.0,2026-06-16 21:19:51
D00000115,U0000099,iOS,高端机,9.7.0,2026-06-07 10:28:30
D00000116,U0000100,Android,中端机,9.8.0,2026-06-08 14:55:01
D00000117,U0000101,iOS,入门机,9.7.0,2026-01-21 10:42:35
D00000118,U0000101,iOS,中端机,9.8.0,2026-01-21 10:42:35
D00000119,U0000102,iOS,入门机,9.6.0,2026-06-03 14:37:00
D00000120,U0000103,Android,高端机,9.7.0,2026-03-04 08:49:43
D00000121,U0000104,Android,入门机,9.8.0,2026-01-18 01:49:21
D00000122,U0000105,Android,中端机,9.7.0,2026-02-07 06:09:32
D00000123,U0000106,Android,中端机,9.5.0,2026-06-04 20:34:08
D00000124,U0000107,Android,高端机,9.5.0,2026-03-15 09:25:52
D00000125,U0000108,Android,高端机,9.8.0,2026-08-07 03:12:22
D00000126,U0000109,Android,入门机,9.7.0,2026-06-17 05:55:52
D00000127,U0000110,iOS,入门机,9.6.0,2026-08-27 17:37:49
D00000128,U0000111,iOS,入门机,9.7.0,2026-02-03 13:30:19
D00000129,U0000112,iOS,中端机,9.6.0,2026-08-19 06:36:18
D00000130,U0000113,Android,入门机,9.6.0,2026-02-01 13:59:37
D00000131,U0000114,Android,高端机,9.7.0,2026-03-31 18:40:37
D00000132,U0000115,Android,入门机,9.6.0,2026-02-24 03:58:21
D00000133,U0000116,Android,中端机,9.8.0,2026-01-15 08:33:56
D00000134,U0000117,Android,中端机,9.8.0,2026-06-08 14:08:05
D00000135,U0000118,Android,中端机,9.6.0,2026-04-04 23:18:38
D00000136,U0000119,Android,高端机,9.5.0,2026-03-28 03:35:56
D00000137,U0000120,Android,中端机,9.8.0,2026-06-11 06:13:37
D00000138,U0000120,Android,高端机,9.7.0,2026-06-11 06:13:37
D00000139,U0000121,iOS,中端机,9.7.0,2026-04-11 09:29:43
D00000140,U0000122,Android,中端机,9.7.0,2026-01-17 05:42:06
D00000141,U0000123,Android,中端机,9.6.0,2026-08-27 12:40:59
D00000142,U0000124,iOS,高端机,9.8.0,2026-04-22 04:24:14
D00000143,U0000125,Android,高端机,9.8.0,2026-03-28 01:11:54
D00000144,U0000126,Android,中端机,9.7.0,2026-01-19 09:33:17
D00000145,U0000127,Android,中端机,9.8.0,2026-08-27 10:56:14
D00000146,U0000128,Android,高端机,9.8.0,2026-02-23 02:12:46
D00000147,U0000129,Android,高端机,9.8.0,2026-01-12 04:44:04
D00000148,U0000130,iOS,高端机,9.8.0,2026-04-14 03:24:59
D00000149,U0000131,iOS,中端机,9.7.0,2026-03-17 14:57:44
D00000150,U0000132,Android,高端机,9.8.0,2026-08-01 22:21:13
D00000151,U0000132,Android,入门机,9.6.0,2026-08-01 22:21:13
D00000152,U0000133,Android,中端机,9.5.0,2026-08-13 04:27:27
D00000153,U0000134,iOS,入门机,9.5.0,2026-02-11 02:20:04
D00000154,U0000135,Android,中端机,9.8.0,2026-08-13 04:43:59
D00000155,U0000136,Android,入门机,9.6.0,2026-07-03 18:53:15
D00000156,U0000137,iOS,中端机,9.6.0,2026-03-16 03:30:10
D00000157,U0000138,Android,中端机,9.8.0,2026-02-21 13:16:20
D00000158,U0000139,iOS,中端机,9.7.0,2026-05-06 09:20:13
D00000159,U0000139,iOS,高端机,9.6.0,2026-05-06 09:20:13
D00000160,U0000140,iOS,高端机,9.7.0,2026-01-01 23:28:04
D00000161,U0000140,iOS,入门机,9.7.0,2026-01-01 23:28:04
D00000162,U0000141,iOS,高端机,9.5.0,2026-01-03 07:50:22
D00000163,U0000142,Android,入门机,9.8.0,2026-06-23 02:18:08
D00000164,U0000143,iOS,入门机,9.7.0,2026-03-08 20:45:12
D00000165,U0000144,Android,入门机,9.8.0,2026-05-09 13:20:03
D00000166,U0000144,Android,入门机,9.5.0,2026-05-09 13:20:03
D00000167,U0000145,Android,中端机,9.7.0,2026-04-25 01:15:01
D00000168,U0000146,iOS,中端机,9.7.0,2026-05-28 05:41:39
D00000169,U0000146,iOS,入门机,9.6.0,2026-05-28 05:41:39
D00000170,U0000147,Android,中端机,9.7.0,2026-06-03 01:57:58
D00000171,U0000148,iOS,中端机,9.6.0,2026-07-02 19:10:02
D00000172,U0000149,iOS,高端机,9.7.0,2026-05-04 06:02:14
D00000173,U0000150,iOS,中端机,9.7.0,2026-04-03 09:06:00
D00000174,U0000151,Android,高端机,9.6.0,2026-06-18 15:23:36
D00000175,U0000152,Android,入门机,9.7.0,2026-04-01 18:35:41
D00000176,U0000153,Android,入门机,9.7.0,2026-06-20 20:10:33
D00000177,U0000154,Android,中端机,9.8.0,2026-05-27 04:05:42
D00000178,U0000155,Android,入门机,9.8.0,2026-04-20 20:24:22
D00000179,U0000155,Android,中端机,9.5.0,2026-04-20 20:24:22
D00000180,U0000156,iOS,中端机,9.8.0,2026-04-07 02:01:30
D00000181,U0000157,Android,中端机,9.6.0,2026-07-14 05:36:51
D00000182,U0000158,Android,中端机,9.7.0,2026-02-22 21:18:12
D00000183,U0000159,Android,中端机,9.7.0,2026-01-14 13:04:39
D00000184,U0000159,Android,中端机,9.6.0,2026-01-14 13:04:39
D00000185,U0000160,Android,中端机,9.5.0,2026-04-13 11:08:18
D00000186,U0000161,iOS,中端机,9.6.0,2026-05-17 13:42:30
D00000187,U0000162,Android,高端机,9.6.0,2026-07-01 07:58:47
D00000188,U0000162,Android,高端机,9.6.0,2026-07-01 07:58:47
D00000189,U0000163,iOS,中端机,9.5.0,2026-02-23 18:03:36
D00000190,U0000164,iOS,入门机,9.6.0,2026-08-17 03:37:55
D00000191,U0000165,iOS,入门机,9.8.0,2026-03-26 16:42:32
D00000192,U0000166,Android,入门机,9.7.0,2026-03-06 11:26:05
D00000193,U0000167,iOS,中端机,9.7.0,2026-03-18 08:40:11
D00000194,U0000168,Android,入门机,9.6.0,2026-01-22 23:26:41
D00000195,U0000169,iOS,中端机,9.8.0,2026-01-21 07:48:20
D00000196,U0000169,iOS,入门机,9.7.0,2026-01-21 07:48:20
D00000197,U0000170,Android,中端机,9.8.0,2026-08-23 20:16:27
D00000198,U0000171,iOS,入门机,9.7.0,2026-06-15 00:03:15
D00000199,U0000172,Android,中端机,9.5.0,2026-03-05 02:02:33
D00000200,U0000173,Android,入门机,9.7.0,2026-01-08 08:24:23
D00000201,U0000174,Android,入门机,9.8.0,2026-07-28 21:50:35
D00000202,U0000175,Android,中端机,9.7.0,2026-05-30 22:52:08
D00000203,U0000175,Android,入门机,9.6.0,2026-05-30 22:52:08
D00000204,U0000176,Android,高端机,9.6.0,2026-02-08 17:35:54
D00000205,U0000177,Android,中端机,9.6.0,2026-01-25 23:32:09
D00000206,U0000178,Android,中端机,9.6.0,2026-03-26 14:02:03
D00000207,U0000179,Android,高端机,9.8.0,2026-03-05 14:58:29
D00000208,U0000180,iOS,入门机,9.7.0,2026-04-14 05:56:22
D00000209,U0000181,Android,中端机,9.7.0,2026-06-02 16:11:33
D00000210,U0000182,iOS,中端机,9.8.0,2026-03-28 05:27:51
D00000211,U0000182,iOS,中端机,9.7.0,2026-03-28 05:27:51
D00000212,U0000183,iOS,高端机,9.8.0,2026-07-24 08:51:42
D00000213,U0000184,Android,中端机,9.6.0,2026-01-05 10:34:32
D00000214,U0000185,Android,入门机,9.6.0,2026-07-30 10:58:50
D00000215,U0000185,Android,中端机,9.7.0,2026-07-30 10:58:50
D00000216,U0000186,Android,中端机,9.6.0,2026-06-17 11:06:39
D00000217,U0000187,iOS,中端机,9.8.0,2026-02-09 15:00:15
D00000218,U0000188,iOS,入门机,9.5.0,2026-04-30 10:48:34
D00000219,U0000188,iOS,中端机,9.8.0,2026-04-30 10:48:34
D00000220,U0000189,Android,高端机,9.8.0,2026-04-25 19:22:15
D00000221,U0000190,Android,入门机,9.6.0,2026-08-17 21:38:08
D00000222,U0000191,iOS,高端机,9.8.0,2026-02-17 05:02:41
D00000223,U0000192,iOS,入门机,9.7.0,2026-06-13 13:24:16
D00000224,U0000192,iOS,中端机,9.7.0,2026-06-13 13:24:16
D00000225,U0000193,Android,中端机,9.7.0,2026-08-23 10:39:06
D00000226,U0000194,Android,高端机,9.8.0,2026-05-27 07:02:57
D00000227,U0000195,iOS,高端机,9.8.0,2026-05-17 01:27:31
D00000228,U0000196,iOS,入门机,9.7.0,2026-06-15 10:53:27
D00000229,U0000197,Android,入门机,9.6.0,2026-02-10 19:01:05
D00000230,U0000197,Android,中端机,9.8.0,2026-02-10 19:01:05
D00000231,U0000198,iOS,中端机,9.7.0,2026-05-06 06:09:53
D00000232,U0000198,iOS,入门机,9.8.0,2026-05-06 06:09:53
D00000233,U0000199,iOS,中端机,9.8.0,2026-08-09 07:23:13
D00000234,U0000199,iOS,中端机,9.5.0,2026-08-09 07:23:13
D00000235,U0000200,Android,高端机,9.6.0,2026-04-24 17:39:42
D00000236,U0000201,iOS,中端机,9.8.0,2026-05-22 10:08:05
D00000237,U0000202,Android,入门机,9.5.0,2026-03-24 08:21:07
D00000238,U0000203,iOS,入门机,9.5.0,2026-01-19 17:17:45
D00000239,U0000203,iOS,入门机,9.6.0,2026-01-19 17:17:45
D00000240,U0000204,Android,高端机,9.6.0,2026-05-05 05:08:08
D00000241,U0000205,Android,中端机,9.7.0,2026-08-14 14:08:05
D00000242,U0000206,Android,入门机,9.7.0,2026-04-02 01:33:15
D00000243,U0000207,Android,入门机,9.5.0,2026-05-13 08:00:08
D00000244,U0000208,iOS,高端机,9.7.0,2026-01-18 14:26:17
D00000245,U0000209,Android,中端机,9.7.0,2026-05-09 17:31:55
D00000246,U0000210,Android,中端机,9.5.0,2026-08-11 09:26:55
D00000247,U0000211,iOS,入门机,9.7.0,2026-02-22 16:38:43
D00000248,U0000212,Android,中端机,9.7.0,2026-05-05 11:47:01
D00000249,U0000212,Android,中端机,9.7.0,2026-05-05 11:47:01
D00000250,U0000213,Android,高端机,9.5.0,2026-02-15 14:17:35
D00000251,U0000214,iOS,中端机,9.8.0,2026-06-11 02:53:54
D00000252,U0000215,Android,中端机,9.5.0,2026-06-06 01:14:42
D00000253,U0000215,Android,中端机,9.6.0,2026-06-06 01:14:42
D00000254,U0000216,iOS,中端机,9.7.0,2026-03-20 11:15:51
D00000255,U0000217,Android,中端机,9.8.0,2026-06-07 00:54:54
D00000256,U0000218,Android,中端机,9.6.0,2026-07-03 08:16:43
D00000257,U0000219,Android,中端机,9.7.0,2026-01-18 09:53:41
D00000258,U0000220,iOS,中端机,9.5.0,2026-03-27 22:22:35
D00000259,U0000221,iOS,中端机,9.8.0,2026-08-21 08:13:24
D00000260,U0000222,Android,入门机,9.8.0,2026-01-08 07:34:54
D00000261,U0000223,iOS,中端机,9.8.0,2026-05-05 05:56:06
D00000262,U0000224,Android,入门机,9.8.0,2026-07-02 05:28:33
D00000263,U0000225,Android,中端机,9.5.0,2026-05-25 18:19:42
D00000264,U0000226,Android,入门机,9.6.0,2026-07-09 21:13:43
D00000265,U0000227,iOS,高端机,9.8.0,2026-06-14 06:55:43
D00000266,U0000228,Android,高端机,9.6.0,2026-05-17 17:03:59
D00000267,U0000229,Android,中端机,9.6.0,2026-03-03 18:35:34
D00000268,U0000229,Android,入门机,9.5.0,2026-03-03 18:35:34
D00000269,U0000230,iOS,中端机,9.8.0,2026-01-24 20:22:43
D00000270,U0000231,iOS,中端机,9.6.0,2026-04-15 02:20:15
D00000271,U0000232,iOS,入门机,9.8.0,2026-03-15 13:07:30
D00000272,U0000233,Android,高端机,9.7.0,2026-02-11 11:06:02
D00000273,U0000234,Android,高端机,9.8.0,2026-06-03 10:23:24
D00000274,U0000235,Android,入门机,9.7.0,2026-07-31 12:26:49
D00000275,U0000235,Android,高端机,9.6.0,2026-07-31 12:26:49
D00000276,U0000236,iOS,中端机,9.8.0,2026-04-04 02:16:22
D00000277,U0000236,iOS,入门机,9.7.0,2026-04-04 02:16:22
D00000278,U0000237,Android,高端机,9.7.0,2026-08-01 00:23:54
D00000279,U0000238,Android,高端机,9.7.0,2026-01-06 21:22:22
D00000280,U0000238,Android,高端机,9.7.0,2026-01-06 21:22:22
D00000281,U0000239,Android,高端机,9.7.0,2026-04-16 11:30:06
D00000282,U0000240,Android,入门机,9.7.0,2026-06-27 15:28:49
D00000283,U0000241,iOS,中端机,9.8.0,2026-06-27 05:16:03
D00000284,U0000242,Android,中端机,9.8.0,2026-05-07 16:14:21
D00000285,U0000242,Android,中端机,9.7.0,2026-05-07 16:14:21
D00000286,U0000243,iOS,入门机,9.7.0,2026-05-16 09:07:10
D00000287,U0000244,iOS,入门机,9.6.0,2026-01-05 23:55:59
D00000288,U0000245,Android,中端机,9.8.0,2026-08-13 16:03:32
D00000289,U0000246,Android,高端机,9.6.0,2026-05-31 06:21:46
D00000290,U0000246,Android,中端机,9.7.0,2026-05-31 06:21:46
D00000291,U0000247,Android,入门机,9.7.0,2026-05-04 17:57:46
D00000292,U0000247,Android,中端机,9.7.0,2026-05-04 17:57:46
D00000293,U0000248,Android,入门机,9.8.0,2026-01-18 05:41:35
D00000294,U0000249,Android,入门机,9.7.0,2026-02-16 20:12:01
D00000295,U0000250,Android,中端机,9.8.0,2026-06-13 17:59:11
D00000296,U0000251,iOS,中端机,9.8.0,2026-04-23 05:36:24
D00000297,U0000251,iOS,中端机,9.7.0,2026-04-23 05:36:24
D00000298,U0000252,iOS,入门机,9.5.0,2026-01-15 06:04:49
D00000299,U0000252,iOS,中端机,9.8.0,2026-01-15 06:04:49
D00000300,U0000253,iOS,高端机,9.5.0,2026-05-18 10:45:21
D00000301,U0000254,iOS,入门机,9.7.0,2026-05-11 21:24:20
D00000302,U0000255,Android,中端机,9.6.0,2026-08-06 10:11:45
D00000303,U0000256,iOS,中端机,9.6.0,2026-03-18 15:38:15
D00000304,U0000257,Android,中端机,9.6.0,2026-04-29 10:58:46
D00000305,U0000258,Android,高端机,9.5.0,2026-04-02 16:05:46
D00000306,U0000258,Android,中端机,9.6.0,2026-04-02 16:05:46
D00000307,U0000259,Android,入门机,9.8.0,2026-08-21 08:12:41
D00000308,U0000260,iOS,入门机,9.7.0,2026-07-02 06:05:47
D00000309,U0000260,iOS,中端机,9.8.0,2026-07-02 06:05:47
D00000310,U0000261,iOS,入门机,9.8.0,2026-01-01 00:51:32
D00000311,U0000262,iOS,入门机,9.7.0,2026-03-12 01:26:01
D00000312,U0000263,Android,入门机,9.8.0,2026-02-02 08:32:01
D00000313,U0000263,Android,高端机,9.8.0,2026-02-02 08:32:01
D00000314,U0000264,Android,中端机,9.7.0,2026-02-06 00:55:04
D00000315,U0000265,Android,中端机,9.6.0,2026-07-31 18:34:33
D00000316,U0000266,iOS,中端机,9.6.0,2026-08-24 01:09:05
D00000317,U0000267,iOS,中端机,9.6.0,2026-08-02 14:04:00
D00000318,U0000268,Android,入门机,9.8.0,2026-06-01 06:22:46
D00000319,U0000269,iOS,中端机,9.6.0,2026-08-16 14:39:26
D00000320,U0000270,Android,入门机,9.6.0,2026-06-15 04:17:45
D00000321,U0000271,Android,入门机,9.6.0,2026-04-13 04:02:57
D00000322,U0000272,Android,高端机,9.5.0,2026-04-26 09:14:28
D00000323,U0000273,Android,中端机,9.8.0,2026-05-26 07:52:14
D00000324,U0000274,Android,中端机,9.7.0,2026-01-30 14:23:17
D00000325,U0000275,Android,中端机,9.6.0,2026-01-08 21:47:31
D00000326,U0000276,Android,中端机,9.6.0,2026-03-30 07:46:51
D00000327,U0000277,Android,中端机,9.7.0,2026-06-29 09:09:42
D00000328,U0000278,Android,中端机,9.8.0,2026-06-11 01:29:50
D00000329,U0000279,Android,中端机,9.7.0,2026-04-09 17:46:27
D00000330,U0000279,Android,入门机,9.5.0,2026-04-09 17:46:27
D00000331,U0000280,iOS,中端机,9.6.0,2026-04-21 18:36:22
D00000332,U0000281,Android,高端机,9.6.0,2026-03-15 09:21:56
D00000333,U0000282,iOS,中端机,9.8.0,2026-08-25 09:15:43
D00000334,U0000282,iOS,中端机,9.6.0,2026-08-25 09:15:43
D00000335,U0000283,iOS,中端机,9.7.0,2026-08-16 10:44:33
D00000336,U0000284,Android,入门机,9.8.0,2026-08-01 15:05:58
D00000337,U0000285,Android,中端机,9.8.0,2026-06-06 20:48:35
D00000338,U0000286,Android,入门机,9.7.0,2026-07-30 01:15:30
D00000339,U0000286,Android,中端机,9.5.0,2026-07-30 01:15:30
D00000340,U0000287,iOS,中端机,9.7.0,2026-08-23 14:53:07
D00000341,U0000288,Android,入门机,9.8.0,2026-07-12 12:54:00
D00000342,U0000289,Android,入门机,9.8.0,2026-01-26 20:04:51
D00000343,U0000290,iOS,高端机,9.7.0,2026-07-25 07:40:18
D00000344,U0000291,iOS,入门机,9.5.0,2026-02-17 19:17:14
D00000345,U0000292,Android,入门机,9.7.0,2026-05-13 06:02:38
D00000346,U0000293,Android,中端机,9.7.0,2026-01-26 13:18:51
D00000347,U0000294,Android,中端机,9.7.0,2026-08-26 00:35:58
D00000348,U0000295,Android,高端机,9.8.0,2026-04-08 02:51:21
D00000349,U0000296,iOS,高端机,9.6.0,2026-02-23 01:15:47
D00000350,U0000297,Android,中端机,9.5.0,2026-08-06 06:21:24
D00000351,U0000298,iOS,中端机,9.6.0,2026-03-23 08:40:46
D00000352,U0000298,iOS,高端机,9.7.0,2026-03-23 08:40:46
D00000353,U0000299,iOS,中端机,9.8.0,2026-06-29 05:15:12
D00000354,U0000300,Android,入门机,9.8.0,2026-03-22 10:49:21
D00000355,U0000301,Android,入门机,9.8.0,2026-07-10 19:04:16
D00000356,U0000301,Android,中端机,9.8.0,2026-07-10 19:04:16
D00000357,U0000302,Android,高端机,9.7.0,2026-08-27 00:13:36
D00000358,U0000303,Android,中端机,9.6.0,2026-08-13 06:49:49
D00000359,U0000304,Android,高端机,9.7.0,2026-01-11 08:37:39
D00000360,U0000304,Android,高端机,9.5.0,2026-01-11 08:37:39
D00000361,U0000305,iOS,中端机,9.7.0,2026-03-12 04:23:13
D00000362,U0000305,iOS,高端机,9.8.0,2026-03-12 04:23:13
D00000363,U0000306,Android,中端机,9.6.0,2026-02-04 10:08:43
D00000364,U0000307,iOS,中端机,9.8.0,2026-04-21 04:45:08
D00000365,U0000308,iOS,中端机,9.6.0,2026-01-24 18:52:24
D00000366,U0000309,iOS,入门机,9.8.0,2026-02-06 08:48:16
D00000367,U0000310,Android,入门机,9.8.0,2026-01-16 07:13:11
D00000368,U0000311,Android,中端机,9.6.0,2026-03-08 03:46:44
D00000369,U0000312,iOS,中端机,9.6.0,2026-01-29 12:41:53
D00000370,U0000313,iOS,中端机,9.8.0,2026-06-20 04:22:24
D00000371,U0000314,Android,高端机,9.7.0,2026-01-05 18:00:18
D00000372,U0000315,Android,中端机,9.5.0,2026-06-16 13:18:30
D00000373,U0000316,Android,入门机,9.7.0,2026-04-28 01:56:06
D00000374,U0000317,iOS,中端机,9.7.0,2026-02-17 21:23:30
D00000375,U0000318,iOS,高端机,9.6.0,2026-03-07 20:29:26
D00000376,U0000319,Android,中端机,9.5.0,2026-08-07 01:53:37
D00000377,U0000320,Android,入门机,9.6.0,2026-08-18 02:42:30
D00000378,U0000321,iOS,中端机,9.7.0,2026-04-12 08:47:42
D00000379,U0000322,Android,入门机,9.7.0,2026-04-23 10:42:18
D00000380,U0000323,iOS,中端机,9.7.0,2026-07-01 12:42:21
D00000381,U0000324,Android,中端机,9.8.0,2026-01-23 05:27:05
D00000382,U0000325,Android,入门机,9.8.0,2026-03-08 17:02:57
