content_id,creator_id,category_id,content_title,duration_seconds,published_at,content_status,visibility,quality_score
V00000069,C000165,CAT06,游戏内容000069,71,2026-07-05 22:33:23,published,public,0.4883
V00000070,C001522,CAT06,游戏内容000070,39,2026-07-10 01:57:19,published,public,0.4952
V00000071,C001038,CAT05,体育内容000071,52,2026-07-20 09:53:38,published,public,0.921
V00000072,C001309,CAT03,美食内容000072,94,2026-03-19 01:47:38,published,public,0.6229
V00000073,C000014,CAT10,亲子内容000073,126,2026-05-19 08:55:24,published,public,0.4755
V00000074,C000035,CAT12,影视内容000074,128,2026-03-10 17:47:34,published,public,0.4291
V00000075,C000365,CAT11,科技内容000075,174,2026-04-11 14:06:23,published,public,0.6354
V00000076,C001320,CAT08,旅行内容000076,29,2026-01-06 04:19:48,published,public,0.3988
V00000077,C000154,CAT08,旅行内容000077,76,2026-06-29 07:57:24,published,public,0.3511
V00000078,C001486,CAT03,美食内容000078,147,2026-02-03 11:33:05,published,public,0.546
V00000079,C000038,CAT10,亲子内容000079,17,2026-04-29 20:33:51,published,public,0.6982
V00000080,C000330,CAT12,影视内容000080,40,2026-04-08 10:04:44,published,public,0.513
V00000081,C000760,CAT09,时尚内容000081,135,2026-06-19 09:48:25,published,public,0.4115
V00000082,C001664,CAT01,搞笑内容000082,34,2026-05-31 05:12:59,published,public,0.6383
V00000083,C000710,CAT11,科技内容000083,152,2026-07-31 10:14:13,published,public,0.8442
V00000084,C001129,CAT11,科技内容000084,97,2026-07-31 02:07:55,published,public,0.99
V00000085,C000381,CAT02,生活内容000085,100,2026-05-14 12:24:35,published,public,0.2641
V00000086,C000426,CAT10,亲子内容000086,20,2026-02-12 15:12:02,published,public,0.9416
V00000087,C000859,CAT05,体育内容000087,165,2026-06-23 19:05:54,published,public,0.5495
V00000088,C001493,CAT10,亲子内容000088,106,2026-06-24 15:26:47,published,public,0.7379
V00000089,C000902,CAT08,旅行内容000089,106,2026-07-30 17:08:15,published,public,0.8689
V00000090,C001537,CAT09,时尚内容000090,49,2026-06-18 03:35:47,published,public,0.6101
V00000091,C000695,CAT02,生活内容000091,153,2026-06-15 16:54:02,published,public,0.5533
V00000092,C000611,CAT12,影视内容000092,62,2026-05-06 07:36:12,published,public,0.4504
V00000093,C000653,CAT12,影视内容000093,117,2026-02-20 02:02:43,published,public,0.644
V00000094,C001408,CAT11,科技内容000094,37,2026-01-08 12:19:46,published,public,0.4473
V00000095,C000501,CAT12,影视内容000095,121,2026-07-18 11:58:16,published,public,0.9288
V00000096,C000993,CAT02,生活内容000096,114,2026-06-12 02:04:45,published,public,0.4292
V00000097,C000930,CAT01,搞笑内容000097,146,2026-08-12 11:55:46,published,public,0.4695
V00000098,C000716,CAT11,科技内容000098,130,2026-07-08 16:49:08,published,public,0.4419
V00000099,C000333,CAT12,影视内容000099,73,2026-06-10 02:43:44,published,public,0.4421
V00000100,C000485,CAT12,影视内容000100,25,2026-01-16 06:28:44,published,public,0.5921
V00000101,C001421,CAT01,搞笑内容000101,120,2026-03-02 03:06:44,published,public,0.4271
V00000102,C000452,CAT11,科技内容000102,87,2026-07-05 00:58:22,published,public,0.6538
V00000103,C000287,CAT12,影视内容000103,92,2026-05-03 15:43:47,published,public,0.3304
V00000104,C001350,CAT01,搞笑内容000104,69,2026-02-10 13:54:39,published,public,0.6207
V00000105,C001045,CAT05,体育内容000105,65,2026-04-01 15:54:24,published,public,0.5268
V00000106,C000629,CAT10,亲子内容000106,77,2026-04-14 20:26:52,published,public,0.7082
V00000107,C001376,CAT07,音乐内容000107,54,2026-08-25 09:49:27,published,public,0.8379
V00000108,C001435,CAT01,搞笑内容000108,118,2026-06-19 16:32:04,published,public,0.8921
V00000109,C000070,CAT09,时尚内容000109,120,2026-02-09 18:42:23,published,public,0.4319
V00000110,C001451,CAT04,知识内容000110,66,2026-03-18 13:34:31,published,public,0.3764
V00000111,C000700,CAT09,时尚内容000111,8,2026-07-20 17:46:59,published,public,0.3444
V00000112,C000957,CAT06,游戏内容000112,56,2026-03-02 09:08:44,published,public,0.7037
V00000113,C001554,CAT05,体育内容000113,37,2026-01-05 17:48:25,published,public,0.7515
V00000114,C001131,CAT09,时尚内容000114,53,2026-06-03 07:53:28,published,public,0.9137
V00000115,C000213,CAT12,影视内容000115,54,2026-03-04 06:21:30,published,public,0.4686
V00000116,C000624,CAT07,音乐内容000116,73,2026-07-19 10:05:03,published,public,0.5245
V00000117,C001258,CAT01,搞笑内容000117,11,2026-03-07 18:53:02,published,public,0.5008
V00000118,C000340,CAT10,亲子内容000118,79,2026-06-08 10:40:37,published,public,0.6813
V00000119,C000456,CAT01,搞笑内容000119,102,2026-07-07 09:07:51,published,public,0.5579
V00000120,C000721,CAT05,体育内容000120,65,2026-04-03 11:09:29,published,public,0.6667
V00000121,C000214,CAT11,科技内容000121,102,2026-04-12 20:37:54,published,public,0.7604
V00000122,C001244,CAT03,美食内容000122,44,2026-01-16 15:59:04,published,public,0.3065
V00000123,C001660,CAT04,知识内容000123,101,2026-05-18 14:37:23,published,public,0.5114
V00000124,C000363,CAT03,美食内容000124,111,2026-03-24 10:25:46,published,public,0.502
V00000125,C001367,CAT02,生活内容000125,111,2026-06-23 11:52:07,published,public,0.5357
V00000126,C000963,CAT08,旅行内容000126,33,2026-08-09 12:56:02,published,public,0.5885
V00000127,C000537,CAT08,旅行内容000127,73,2026-01-17 16:21:54,published,public,0.439
V00000128,C001228,CAT10,亲子内容000128,37,2026-08-18 11:09:39,published,public,0.6025
V00000129,C001761,CAT01,搞笑内容000129,155,2026-04-28 04:44:35,published,public,0.5322
V00000130,C001163,CAT03,美食内容000130,150,2026-08-12 00:01:55,published,public,0.7685
V00000131,C000591,CAT06,游戏内容000131,77,2026-01-12 05:34:55,published,public,0.2444
V00000132,C001319,CAT12,影视内容000132,147,2026-07-08 03:12:19,published,public,0.4509
V00000133,C000121,CAT02,生活内容000133,28,2026-08-22 16:35:44,published,public,0.4471
V00000134,C001525,CAT06,游戏内容000134,44,2026-01-20 22:27:37,published,public,0.4583
V00000135,C001353,CAT01,搞笑内容000135,169,2026-05-07 04:45:16,published,public,0.5661
V00000136,C000375,CAT04,知识内容000136,29,2026-06-18 02:52:41,published,public,0.6137
V00000137,C000884,CAT04,知识内容000137,94,2026-01-22 06:17:43,published,public,0.6073
V00000138,C000211,CAT10,亲子内容000138,173,2026-08-21 08:01:06,published,public,0.9523
V00000139,C001588,CAT11,科技内容000139,35,2026-01-02 11:14:40,published,public,0.5689
V00000140,C000862,CAT05,体育内容000140,132,2026-06-26 03:16:26,published,public,0.5155
V00000141,C001527,CAT03,美食内容000141,158,2026-02-11 20:10:19,published,public,0.5525
V00000142,C000260,CAT08,旅行内容000142,123,2026-06-06 23:37:11,published,public,0.8258
V00000143,C000449,CAT01,搞笑内容000143,88,2026-06-01 10:18:33,published,public,0.4216
V00000144,C001344,CAT11,科技内容000144,42,2026-07-24 00:14:33,published,public,0.7823
V00000145,C001185,CAT07,音乐内容000145,137,2026-03-03 23:39:07,published,public,0.5312
V00000146,C001147,CAT02,生活内容000146,22,2026-08-13 23:11:26,published,public,0.5067
V00000147,C000639,CAT10,亲子内容000147,58,2026-05-06 11:58:28,published,public,0.6542
V00000148,C000743,CAT05,体育内容000148,85,2026-04-23 11:03:52,published,public,0.639
V00000149,C000227,CAT05,体育内容000149,148,2026-02-28 07:52:39,published,public,0.4732
V00000150,C000308,CAT01,搞笑内容000150,86,2026-04-06 20:25:12,published,public,0.6681
V00000151,C000514,CAT04,知识内容000151,9,2026-06-27 03:54:24,published,public,0.6811
V00000152,C000624,CAT07,音乐内容000152,112,2026-08-08 16:23:33,published,public,0.6168
V00000153,C000085,CAT03,美食内容000153,33,2026-08-26 14:41:26,published,public,0.4952
V00000154,C000745,CAT03,美食内容000154,81,2026-03-14 09:18:35,published,public,0.678
V00000155,C000678,CAT01,搞笑内容000155,69,2026-02-17 22:21:49,published,public,0.3596
V00000156,C001467,CAT02,生活内容000156,62,2026-06-21 20:58:32,published,public,0.4661
V00000157,C000319,CAT12,影视内容000157,99,2026-07-24 06:44:42,published,public,0.8833
V00000158,C001442,CAT03,美食内容000158,30,2026-07-06 07:55:32,published,public,0.6221
V00000159,C000066,CAT08,旅行内容000159,105,2026-07-28 22:35:01,published,public,0.758
V00000160,C001257,CAT12,影视内容000160,166,2026-07-07 11:15:59,published,public,0.3278
V00000161,C001091,CAT06,游戏内容000161,80,2026-06-06 03:23:02,published,public,0.4274
V00000162,C000785,CAT05,体育内容000162,56,2026-07-03 08:15:09,published,public,0.7368
V00000163,C000071,CAT09,时尚内容000163,29,2026-03-03 12:47:27,published,public,0.7873
V00000164,C000473,CAT06,游戏内容000164,171,2026-06-27 14:52:36,published,public,0.2673
V00000165,C000016,CAT04,知识内容000165,167,2026-03-25 17:48:03,published,public,0.1975
V00000166,C001109,CAT08,旅行内容000166,135,2026-08-13 12:08:46,published,public,0.393
V00000167,C000057,CAT04,知识内容000167,34,2026-05-18 12:26:02,published,public,0.8616
V00000168,C000921,CAT09,时尚内容000168,66,2026-01-14 18:17:31,published,public,0.451
V00000169,C000106,CAT06,游戏内容000169,77,2026-08-13 11:05:14,published,public,0.6253
V00000170,C000753,CAT04,知识内容000170,130,2026-03-11 15:02:00,published,public,0.8753
V00000171,C001619,CAT11,科技内容000171,121,2026-08-08 03:59:15,published,public,0.8267
V00000172,C001587,CAT06,游戏内容000172,126,2026-08-15 07:30:54,published,public,0.4892
V00000173,C001172,CAT05,体育内容000173,152,2026-01-14 08:20:39,published,public,0.369
V00000174,C000134,CAT11,科技内容000174,138,2026-07-13 14:36:48,published,public,0.6175
V00000175,C000893,CAT10,亲子内容000175,47,2026-08-20 02:42:11,published,public,0.5692
V00000176,C001378,CAT11,科技内容000176,159,2026-01-09 05:37:18,published,public,0.825
V00000177,C000962,CAT12,影视内容000177,9,2026-08-25 23:17:17,published,public,0.5859
V00000178,C001641,CAT06,游戏内容000178,42,2026-05-15 17:47:42,published,public,0.4871
V00000179,C001721,CAT09,时尚内容000179,19,2026-04-04 14:09:06,published,public,0.5493
V00000180,C000437,CAT09,时尚内容000180,29,2026-06-15 11:42:48,published,public,0.6502
V00000181,C001122,CAT05,体育内容000181,10,2026-07-30 13:23:54,published,public,0.6144
V00000182,C001000,CAT02,生活内容000182,165,2026-05-03 08:03:39,published,public,0.2272
V00000183,C001058,CAT12,影视内容000183,92,2026-06-29 18:30:56,published,public,0.5038
V00000184,C001567,CAT10,亲子内容000184,35,2026-07-19 12:37:59,published,public,0.4689
V00000185,C001409,CAT08,旅行内容000185,95,2026-07-04 05:15:07,published,public,0.263
V00000186,C001230,CAT08,旅行内容000186,123,2026-01-29 23:42:26,published,public,0.6394
V00000187,C000574,CAT11,科技内容000187,135,2026-06-10 09:26:55,published,public,0.6442
V00000188,C000118,CAT10,亲子内容000188,24,2026-04-07 21:19:00,published,public,0.6108
V00000189,C000263,CAT12,影视内容000189,153,2026-07-22 23:01:59,published,public,0.6351
V00000190,C000208,CAT06,游戏内容000190,111,2026-06-12 17:41:42,published,public,0.3922
V00000191,C001172,CAT05,体育内容000191,27,2026-04-23 07:15:21,published,public,0.6012
V00000192,C001668,CAT04,知识内容000192,171,2026-04-22 15:09:23,published,public,0.7665
V00000193,C000102,CAT05,体育内容000193,165,2026-07-18 22:49:17,published,public,0.6045
V00000194,C001115,CAT02,生活内容000194,56,2026-07-24 04:58:59,published,public,0.3823
V00000195,C000041,CAT07,音乐内容000195,106,2026-05-02 23:36:21,published,public,0.533
V00000196,C000280,CAT10,亲子内容000196,111,2026-08-27 18:29:31,published,public,0.4955
V00000197,C001757,CAT02,生活内容000197,49,2026-08-20 19:15:41,published,public,0.4819
V00000198,C001474,CAT02,生活内容000198,85,2026-08-22 11:17:30,published,public,0.3811
V00000199,C000539,CAT04,知识内容000199,19,2026-04-19 18:29:35,published,public,0.3193
V00000200,C000529,CAT04,知识内容000200,142,2026-08-18 15:44:18,published,public,0.6342
V00000201,C001137,CAT01,搞笑内容000201,59,2026-08-05 15:26:04,published,public,0.5483
V00000202,C001445,CAT11,科技内容000202,19,2026-02-18 01:08:04,published,public,0.99
V00000203,C000374,CAT07,音乐内容000203,83,2026-08-28 13:15:33,published,public,0.8511
V00000204,C000907,CAT05,体育内容000204,127,2026-02-19 17:20:10,published,public,0.4778
V00000205,C000987,CAT05,体育内容000205,116,2026-04-17 09:13:12,published,public,0.5369
V00000206,C001334,CAT10,亲子内容000206,81,2026-08-02 21:02:30,published,public,0.6492
V00000207,C001768,CAT06,游戏内容000207,34,2026-03-12 02:17:12,published,public,0.6446
V00000208,C000547,CAT09,时尚内容000208,152,2026-06-12 20:23:43,published,public,0.5405
V00000209,C001490,CAT11,科技内容000209,180,2026-03-16 06:16:38,published,public,0.4253
V00000210,C000559,CAT01,搞笑内容000210,162,2026-05-25 10:24:44,removed,public,0.2451
V00000211,C001144,CAT11,科技内容000211,33,2026-01-06 01:52:09,published,public,0.4703
V00000212,C000724,CAT06,游戏内容000212,20,2026-07-23 21:43:27,published,public,0.6109
V00000213,C000562,CAT12,影视内容000213,92,2026-02-02 01:03:27,removed,public,0.5956
V00000214,C000029,CAT06,游戏内容000214,50,2026-08-24 18:45:17,published,public,0.3066
V00000215,C001315,CAT01,搞笑内容000215,149,2026-04-18 18:14:10,published,public,0.7353
V00000216,C001377,CAT01,搞笑内容000216,120,2026-07-18 04:32:23,published,public,0.6359
V00000217,C000452,CAT11,科技内容000217,73,2026-04-19 23:34:57,published,public,0.3579
V00000218,C000698,CAT05,体育内容000218,69,2026-08-25 04:53:20,published,public,0.6524
V00000219,C001277,CAT11,科技内容000219,146,2026-07-27 20:20:54,published,public,0.8525
V00000220,C000325,CAT09,时尚内容000220,23,2026-01-31 04:49:24,published,public,0.6305
V00000221,C000397,CAT08,旅行内容000221,152,2026-01-24 07:23:27,published,public,0.3824
V00000222,C000712,CAT02,生活内容000222,66,2026-03-09 14:06:53,published,public,0.5639
V00000223,C000819,CAT04,知识内容000223,64,2026-03-26 07:51:18,published,public,0.6517
V00000224,C000078,CAT02,生活内容000224,153,2026-02-02 11:30:56,published,public,0.3635
V00000225,C000841,CAT12,影视内容000225,62,2026-07-25 06:47:51,published,public,0.5598
V00000226,C001514,CAT11,科技内容000226,84,2026-03-27 14:37:39,published,public,0.7027
V00000227,C001688,CAT04,知识内容000227,83,2026-08-01 19:39:14,published,public,0.6767
V00000228,C001499,CAT12,影视内容000228,78,2026-06-10 08:49:09,published,public,0.6473
V00000229,C000310,CAT02,生活内容000229,10,2026-03-12 20:04:46,published,public,0.5698
V00000230,C001237,CAT06,游戏内容000230,129,2026-08-10 00:56:11,published,public,0.6208
V00000231,C000038,CAT10,亲子内容000231,116,2026-01-26 08:28:55,published,public,0.657
V00000232,C001507,CAT10,亲子内容000232,98,2026-03-31 06:09:28,published,public,0.6898
V00000233,C001166,CAT11,科技内容000233,130,2026-05-15 18:31:13,published,public,0.4867
V00000234,C000833,CAT10,亲子内容000234,164,2026-08-20 11:03:49,published,public,0.6232
V00000235,C001535,CAT09,时尚内容000235,109,2026-08-08 15:47:30,published,public,0.6527
V00000236,C000943,CAT07,音乐内容000236,102,2026-07-01 16:15:56,published,public,0.6266
V00000237,C001174,CAT12,影视内容000237,68,2026-08-27 22:21:21,published,public,0.5062
V00000238,C001036,CAT05,体育内容000238,40,2026-06-21 06:14:56,published,public,0.4363
V00000239,C000038,CAT10,亲子内容000239,113,2026-08-24 10:44:52,published,public,0.6411
V00000240,C000429,CAT10,亲子内容000240,147,2026-06-18 20:52:46,published,public,0.4786
V00000241,C000173,CAT01,搞笑内容000241,148,2026-04-03 03:10:17,published,public,0.742
V00000242,C001743,CAT05,体育内容000242,33,2026-03-20 23:11:21,published,public,0.4833
V00000243,C000916,CAT04,知识内容000243,102,2026-04-04 22:26:44,published,public,0.4629
V00000244,C001419,CAT11,科技内容000244,20,2026-02-03 19:19:13,published,public,0.5774
V00000245,C000542,CAT11,科技内容000245,135,2026-08-26 02:30:40,published,public,0.595
V00000246,C000404,CAT06,游戏内容000246,24,2026-02-13 20:54:27,published,public,0.8736
V00000247,C001228,CAT10,亲子内容000247,55,2026-08-24 12:51:26,published,public,0.6559
V00000248,C000874,CAT10,亲子内容000248,154,2026-05-04 12:02:33,published,public,0.5408
V00000249,C001034,CAT06,游戏内容000249,172,2026-04-27 17:36:22,published,public,0.6497
V00000250,C000294,CAT05,体育内容000250,83,2026-04-19 14:16:54,published,public,0.2286
V00000251,C001100,CAT08,旅行内容000251,164,2026-04-07 21:20:40,published,public,0.794
V00000252,C001385,CAT11,科技内容000252,172,2026-08-06 21:09:43,published,public,0.8811
V00000253,C000713,CAT12,影视内容000253,19,2026-08-03 22:45:26,published,public,0.517
V00000254,C000935,CAT02,生活内容000254,18,2026-04-21 20:12:03,published,public,0.4464
V00000255,C000050,CAT02,生活内容000255,66,2026-04-13 20:25:24,published,public,0.5989
V00000256,C001633,CAT03,美食内容000256,33,2026-07-14 12:30:04,published,public,0.3172
V00000257,C000540,CAT02,生活内容000257,176,2026-04-19 10:10:59,published,public,0.2958
V00000258,C000187,CAT08,旅行内容000258,155,2026-08-02 07:05:37,published,public,0.7588
V00000259,C000657,CAT01,搞笑内容000259,88,2026-04-26 18:03:22,published,public,0.5809
V00000260,C001455,CAT05,体育内容000260,78,2026-06-25 15:52:57,published,public,0.917
V00000261,C001598,CAT12,影视内容000261,56,2026-07-01 12:16:49,published,public,0.3953
V00000262,C000792,CAT02,生活内容000262,20,2026-02-24 12:51:16,published,public,0.779
V00000263,C001462,CAT11,科技内容000263,97,2026-08-12 17:09:30,published,public,0.4136
V00000264,C000394,CAT09,时尚内容000264,146,2026-05-14 21:14:05,published,public,0.6325
V00000265,C000805,CAT11,科技内容000265,90,2026-08-02 12:58:30,published,public,0.6138
V00000266,C001160,CAT03,美食内容000266,116,2026-05-02 10:52:26,published,public,0.6109
V00000267,C000269,CAT05,体育内容000267,31,2026-05-04 03:34:59,published,public,0.5512
V00000268,C000882,CAT06,游戏内容000268,71,2026-05-20 03:47:21,published,public,0.5299
V00000269,C000007,CAT04,知识内容000269,61,2026-05-30 20:09:03,published,public,0.5442
V00000270,C001148,CAT09,时尚内容000270,142,2026-02-15 06:12:51,published,public,0.7862
V00000271,C000741,CAT06,游戏内容000271,36,2026-07-13 09:28:29,published,public,0.7725
V00000272,C001782,CAT10,亲子内容000272,11,2026-07-18 08:10:55,published,public,0.6999
V00000273,C000397,CAT08,旅行内容000273,127,2026-03-31 18:34:44,published,public,0.5235
V00000274,C000313,CAT09,时尚内容000274,71,2026-06-08 00:26:55,published,public,0.4051
V00000275,C001715,CAT03,美食内容000275,30,2026-08-28 19:26:22,published,public,0.2658
V00000276,C001231,CAT04,知识内容000276,126,2026-05-21 23:35:52,published,public,0.7222
V00000277,C001275,CAT12,影视内容000277,23,2026-07-23 01:25:42,published,public,0.5713
V00000278,C001043,CAT01,搞笑内容000278,103,2026-06-20 15:05:50,published,public,0.7687
V00000279,C000883,CAT03,美食内容000279,143,2026-05-24 02:41:13,published,public,0.6736
V00000280,C001586,CAT09,时尚内容000280,46,2026-08-20 02:34:50,published,public,0.8157
V00000281,C001120,CAT02,生活内容000281,176,2026-08-04 03:05:54,published,public,0.435
V00000282,C001715,CAT03,美食内容000282,147,2026-07-31 13:41:05,published,public,0.4206
V00000283,C000755,CAT03,美食内容000283,126,2026-02-18 06:18:04,published,public,0.4642
V00000284,C000237,CAT07,音乐内容000284,131,2026-05-17 03:46:17,published,public,0.6897
V00000285,C000401,CAT09,时尚内容000285,27,2026-03-08 09:49:16,published,public,0.4205
V00000286,C001166,CAT11,科技内容000286,11,2026-08-01 21:50:57,published,public,0.808
V00000287,C000432,CAT04,知识内容000287,75,2026-07-24 20:49:18,published,public,0.635
V00000288,C000187,CAT08,旅行内容000288,129,2026-08-24 04:20:05,published,public,0.8679
V00000289,C000156,CAT11,科技内容000289,73,2026-02-18 03:25:43,published,public,0.5452
V00000290,C000538,CAT03,美食内容000290,178,2026-05-21 22:55:46,published,public,0.4872
V00000291,C000470,CAT03,美食内容000291,149,2026-05-10 07:05:17,published,public,0.5861
V00000292,C001294,CAT08,旅行内容000292,8,2026-07-05 15:58:33,published,public,0.3593
V00000293,C000664,CAT03,美食内容000293,73,2026-02-13 21:04:07,published,public,0.4545
V00000294,C000637,CAT12,影视内容000294,69,2026-03-11 17:09:00,published,public,0.2346
V00000295,C000534,CAT04,知识内容000295,168,2026-07-17 16:52:46,published,public,0.736
V00000296,C000405,CAT11,科技内容000296,45,2026-01-14 01:18:13,published,public,0.6849
V00000297,C000237,CAT07,音乐内容000297,111,2026-02-01 07:40:51,published,public,0.8943
V00000298,C000650,CAT12,影视内容000298,62,2026-05-26 10:11:56,published,public,0.629
V00000299,C001697,CAT08,旅行内容000299,166,2026-03-07 03:03:08,published,public,0.5329
V00000300,C000937,CAT12,影视内容000300,149,2026-06-13 17:50:04,published,public,0.313
V00000301,C001209,CAT09,时尚内容000301,175,2026-06-11 17:41:28,published,public,0.5239
V00000302,C000917,CAT06,游戏内容000302,8,2026-04-30 20:23:18,published,public,0.285
V00000303,C001275,CAT12,影视内容000303,115,2026-04-04 10:35:11,published,public,0.7352
V00000304,C000691,CAT08,旅行内容000304,175,2026-07-07 17:32:47,published,public,0.702
V00000305,C000770,CAT01,搞笑内容000305,74,2026-08-02 11:29:07,published,public,0.6707
V00000306,C001390,CAT07,音乐内容000306,157,2026-05-01 21:04:36,published,public,0.4137
