snapshot_id,user_id,snapshot_date,lifecycle_stage,active_days,days_since_last_active,engagement_score
LCS00000039,U0000039,2026-08-28,流失用户,3,63,0.26
LCS00000040,U0000040,2026-08-28,沉默用户,9,26,0.3151
LCS00000041,U0000041,2026-08-28,活跃用户,11,1,0.185
LCS00000042,U0000042,2026-08-28,流失用户,17,39,0.5122
LCS00000043,U0000043,2026-08-28,流失用户,0,155,0.05
LCS00000044,U0000044,2026-08-28,流失用户,1,148,0.1184
LCS00000045,U0000045,2026-08-28,沉默用户,7,9,0.1839
LCS00000046,U0000046,2026-08-28,活跃用户,7,2,0.5059
LCS00000047,U0000047,2026-08-28,活跃用户,3,7,0.1764
LCS00000048,U0000048,2026-08-28,流失用户,12,55,0.4806
LCS00000049,U0000049,2026-08-28,新用户,3,1,0.2033
LCS00000050,U0000050,2026-08-28,沉默用户,12,10,0.3583
LCS00000051,U0000051,2026-08-28,沉默用户,16,14,0.37
LCS00000052,U0000052,2026-08-28,活跃用户,7,0,0.4043
LCS00000053,U0000053,2026-08-28,活跃用户,11,4,0.2498
LCS00000054,U0000054,2026-08-28,流失用户,3,65,0.22
LCS00000055,U0000055,2026-08-28,活跃用户,13,6,0.3954
LCS00000056,U0000056,2026-08-28,沉默用户,11,14,0.362
LCS00000057,U0000057,2026-08-28,流失用户,4,71,0.1822
LCS00000058,U0000058,2026-08-28,流失用户,11,88,0.2818
LCS00000059,U0000059,2026-08-28,新用户,7,0,0.1797
LCS00000060,U0000060,2026-08-28,沉默用户,3,12,0.2381
LCS00000061,U0000061,2026-08-28,活跃用户,10,0,0.2906
LCS00000062,U0000062,2026-08-28,沉默用户,7,23,0.4675
LCS00000063,U0000063,2026-08-28,活跃用户,14,0,0.3853
LCS00000064,U0000064,2026-08-28,流失用户,6,47,0.1394
LCS00000065,U0000065,2026-08-28,沉默用户,11,19,0.2869
LCS00000066,U0000066,2026-08-28,活跃用户,13,3,0.2555
LCS00000067,U0000067,2026-08-28,流失用户,2,42,0.0505
LCS00000068,U0000068,2026-08-28,沉默用户,13,11,0.2296
LCS00000069,U0000069,2026-08-28,流失用户,5,70,0.2156
LCS00000070,U0000070,2026-08-28,活跃用户,4,1,0.3864
LCS00000071,U0000071,2026-08-28,沉默用户,7,14,0.3527
LCS00000072,U0000072,2026-08-28,活跃用户,14,4,0.331
LCS00000073,U0000073,2026-08-28,流失用户,1,32,0.1857
LCS00000074,U0000074,2026-08-28,沉默用户,2,11,0.2739
LCS00000075,U0000075,2026-08-28,活跃用户,4,5,0.321
LCS00000076,U0000076,2026-08-28,活跃用户,10,7,0.298
LCS00000077,U0000077,2026-08-28,活跃用户,8,4,0.2145
LCS00000078,U0000078,2026-08-28,流失用户,3,77,0.3924
LCS00000079,U0000079,2026-08-28,流失用户,6,58,0.5286
LCS00000080,U0000080,2026-08-28,活跃用户,13,0,0.4146
LCS00000081,U0000081,2026-08-28,活跃用户,5,2,0.1555
LCS00000082,U0000082,2026-08-28,活跃用户,8,6,0.2195
LCS00000083,U0000083,2026-08-28,沉默用户,12,19,0.3296
LCS00000084,U0000084,2026-08-28,活跃用户,9,7,0.2917
LCS00000085,U0000085,2026-08-28,沉默用户,5,29,0.3878
LCS00000086,U0000086,2026-08-28,活跃用户,16,1,0.5412
LCS00000087,U0000087,2026-08-28,沉默用户,9,14,0.4276
LCS00000088,U0000088,2026-08-28,沉默用户,5,19,0.3427
LCS00000089,U0000089,2026-08-28,流失用户,4,34,0.3914
LCS00000090,U0000090,2026-08-28,沉默用户,13,16,0.3526
LCS00000091,U0000091,2026-08-28,活跃用户,14,6,0.5528
LCS00000092,U0000092,2026-08-28,活跃用户,1,4,0.1742
LCS00000093,U0000093,2026-08-28,活跃用户,12,6,0.3891
LCS00000094,U0000094,2026-08-28,新用户,2,2,0.05
LCS00000095,U0000095,2026-08-28,流失用户,4,48,0.1935
LCS00000096,U0000096,2026-08-28,沉默用户,11,17,0.0721
LCS00000097,U0000097,2026-08-28,流失用户,12,34,0.2491
LCS00000098,U0000098,2026-08-28,沉默用户,4,15,0.1995
LCS00000099,U0000099,2026-08-28,流失用户,2,39,0.226
LCS00000100,U0000100,2026-08-28,流失用户,5,38,0.437
LCS00000101,U0000101,2026-08-28,流失用户,6,75,0.4269
LCS00000102,U0000102,2026-08-28,沉默用户,13,12,0.4161
LCS00000103,U0000103,2026-08-28,流失用户,1,174,0.0761
LCS00000104,U0000104,2026-08-28,流失用户,9,31,0.2848
LCS00000105,U0000105,2026-08-28,流失用户,3,78,0.5558
LCS00000106,U0000106,2026-08-28,流失用户,2,71,0.1801
LCS00000107,U0000107,2026-08-28,活跃用户,5,0,0.4378
LCS00000108,U0000108,2026-08-28,活跃用户,11,0,0.1616
LCS00000109,U0000109,2026-08-28,活跃用户,8,7,0.3026
LCS00000110,U0000110,2026-08-28,新用户,2,0,0.1565
LCS00000111,U0000111,2026-08-28,流失用户,2,147,0.3591
LCS00000112,U0000112,2026-08-28,活跃用户,7,0,0.271
LCS00000113,U0000113,2026-08-28,流失用户,8,42,0.5342
LCS00000114,U0000114,2026-08-28,活跃用户,10,7,0.2666
LCS00000115,U0000115,2026-08-28,沉默用户,11,19,0.05
LCS00000116,U0000116,2026-08-28,流失用户,14,45,0.4305
LCS00000117,U0000117,2026-08-28,沉默用户,10,12,0.3647
LCS00000118,U0000118,2026-08-28,活跃用户,14,6,0.4201
LCS00000119,U0000119,2026-08-28,活跃用户,4,3,0.2919
LCS00000120,U0000120,2026-08-28,活跃用户,6,1,0.0589
LCS00000121,U0000121,2026-08-28,流失用户,4,32,0.2539
LCS00000122,U0000122,2026-08-28,活跃用户,11,6,0.3418
LCS00000123,U0000123,2026-08-28,新用户,2,0,0.05
LCS00000124,U0000124,2026-08-28,沉默用户,9,16,0.3097
LCS00000125,U0000125,2026-08-28,活跃用户,6,5,0.415
LCS00000126,U0000126,2026-08-28,流失用户,8,44,0.1892
LCS00000127,U0000127,2026-08-28,新用户,1,1,0.05
LCS00000128,U0000128,2026-08-28,沉默用户,16,23,0.247
LCS00000129,U0000129,2026-08-28,流失用户,0,228,0.1849
LCS00000130,U0000130,2026-08-28,沉默用户,5,24,0.3879
LCS00000131,U0000131,2026-08-28,流失用户,6,64,0.4069
LCS00000132,U0000132,2026-08-28,沉默用户,3,11,0.2684
LCS00000133,U0000133,2026-08-28,活跃用户,7,1,0.4746
LCS00000134,U0000134,2026-08-28,沉默用户,2,12,0.1887
LCS00000135,U0000135,2026-08-28,活跃用户,1,2,0.2113
LCS00000136,U0000136,2026-08-28,活跃用户,13,3,0.3842
LCS00000137,U0000137,2026-08-28,沉默用户,4,22,0.5105
LCS00000138,U0000138,2026-08-28,沉默用户,2,23,0.1643
LCS00000139,U0000139,2026-08-28,沉默用户,4,12,0.3686
LCS00000140,U0000140,2026-08-28,活跃用户,13,5,0.5116
LCS00000141,U0000141,2026-08-28,沉默用户,10,17,0.5284
LCS00000142,U0000142,2026-08-28,流失用户,0,66,0.3252
LCS00000143,U0000143,2026-08-28,活跃用户,16,0,0.4401
LCS00000144,U0000144,2026-08-28,活跃用户,9,0,0.3318
LCS00000145,U0000145,2026-08-28,沉默用户,4,23,0.292
LCS00000146,U0000146,2026-08-28,活跃用户,16,0,0.5045
LCS00000147,U0000147,2026-08-28,活跃用户,7,7,0.4852
LCS00000148,U0000148,2026-08-28,活跃用户,5,0,0.2309
LCS00000149,U0000149,2026-08-28,沉默用户,11,8,0.2844
LCS00000150,U0000150,2026-08-28,流失用户,4,76,0.3528
LCS00000151,U0000151,2026-08-28,活跃用户,5,4,0.524
LCS00000152,U0000152,2026-08-28,活跃用户,1,7,0.2027
LCS00000153,U0000153,2026-08-28,活跃用户,11,6,0.2349
LCS00000154,U0000154,2026-08-28,沉默用户,6,15,0.3551
LCS00000155,U0000155,2026-08-28,活跃用户,2,1,0.1911
LCS00000156,U0000156,2026-08-28,沉默用户,13,26,0.3283
LCS00000157,U0000157,2026-08-28,流失用户,3,33,0.0762
LCS00000158,U0000158,2026-08-28,沉默用户,2,13,0.3239
LCS00000159,U0000159,2026-08-28,沉默用户,14,20,0.3323
LCS00000160,U0000160,2026-08-28,流失用户,1,118,0.4688
LCS00000161,U0000161,2026-08-28,流失用户,3,51,0.3064
LCS00000162,U0000162,2026-08-28,活跃用户,6,7,0.3936
LCS00000163,U0000163,2026-08-28,沉默用户,3,20,0.127
LCS00000164,U0000164,2026-08-28,活跃用户,6,1,0.3573
LCS00000165,U0000165,2026-08-28,沉默用户,17,17,0.3248
LCS00000166,U0000166,2026-08-28,流失用户,5,81,0.3616
LCS00000167,U0000167,2026-08-28,流失用户,7,37,0.4317
LCS00000168,U0000168,2026-08-28,流失用户,9,58,0.4458
LCS00000169,U0000169,2026-08-28,流失用户,12,32,0.4316
LCS00000170,U0000170,2026-08-28,新用户,2,0,0.2768
LCS00000171,U0000171,2026-08-28,活跃用户,7,2,0.4618
LCS00000172,U0000172,2026-08-28,流失用户,11,44,0.3529
LCS00000173,U0000173,2026-08-28,活跃用户,2,6,0.1777
LCS00000174,U0000174,2026-08-28,活跃用户,14,2,0.3783
LCS00000175,U0000175,2026-08-28,流失用户,2,86,0.05
LCS00000176,U0000176,2026-08-28,流失用户,4,82,0.4142
LCS00000177,U0000177,2026-08-28,流失用户,6,76,0.4295
LCS00000178,U0000178,2026-08-28,流失用户,5,105,0.3105
LCS00000179,U0000179,2026-08-28,活跃用户,12,0,0.2761
LCS00000180,U0000180,2026-08-28,活跃用户,6,6,0.3984
LCS00000181,U0000181,2026-08-28,活跃用户,6,7,0.1502
LCS00000182,U0000182,2026-08-28,流失用户,10,37,0.4483
LCS00000183,U0000183,2026-08-28,活跃用户,3,5,0.5433
LCS00000184,U0000184,2026-08-28,流失用户,4,146,0.3821
LCS00000185,U0000185,2026-08-28,活跃用户,13,1,0.6617
LCS00000186,U0000186,2026-08-28,活跃用户,10,2,0.3099
LCS00000187,U0000187,2026-08-28,沉默用户,14,8,0.4921
LCS00000188,U0000188,2026-08-28,沉默用户,2,16,0.3106
LCS00000189,U0000189,2026-08-28,流失用户,2,82,0.3376
LCS00000190,U0000190,2026-08-28,活跃用户,9,0,0.1483
LCS00000191,U0000191,2026-08-28,活跃用户,15,1,0.1116
LCS00000192,U0000192,2026-08-28,活跃用户,3,1,0.3488
LCS00000193,U0000193,2026-08-28,新用户,2,3,0.4408
LCS00000194,U0000194,2026-08-28,沉默用户,5,20,0.4125
LCS00000195,U0000195,2026-08-28,流失用户,3,86,0.3073
LCS00000196,U0000196,2026-08-28,活跃用户,5,5,0.6182
LCS00000197,U0000197,2026-08-28,活跃用户,13,3,0.2252
LCS00000198,U0000198,2026-08-28,沉默用户,9,12,0.05
LCS00000199,U0000199,2026-08-28,活跃用户,5,0,0.1314
LCS00000200,U0000200,2026-08-28,沉默用户,3,23,0.05
LCS00000201,U0000201,2026-08-28,沉默用户,15,18,0.4368
LCS00000202,U0000202,2026-08-28,沉默用户,11,8,0.3672
LCS00000203,U0000203,2026-08-28,流失用户,10,42,0.314
LCS00000204,U0000204,2026-08-28,流失用户,2,78,0.293
LCS00000205,U0000205,2026-08-28,活跃用户,2,7,0.2633
LCS00000206,U0000206,2026-08-28,流失用户,4,37,0.2141
LCS00000207,U0000207,2026-08-28,沉默用户,11,17,0.4354
LCS00000208,U0000208,2026-08-28,活跃用户,16,7,0.3756
LCS00000209,U0000209,2026-08-28,活跃用户,12,2,0.3733
LCS00000210,U0000210,2026-08-28,活跃用户,3,3,0.0978
LCS00000211,U0000211,2026-08-28,流失用户,7,42,0.4127
LCS00000212,U0000212,2026-08-28,活跃用户,2,5,0.2988
LCS00000213,U0000213,2026-08-28,沉默用户,12,22,0.077
LCS00000214,U0000214,2026-08-28,流失用户,7,34,0.4988
LCS00000215,U0000215,2026-08-28,活跃用户,6,1,0.3523
LCS00000216,U0000216,2026-08-28,活跃用户,18,1,0.5219
LCS00000217,U0000217,2026-08-28,活跃用户,13,6,0.42
LCS00000218,U0000218,2026-08-28,沉默用户,8,25,0.4409
LCS00000219,U0000219,2026-08-28,流失用户,5,33,0.2638
LCS00000220,U0000220,2026-08-28,沉默用户,16,22,0.4309
LCS00000221,U0000221,2026-08-28,新用户,2,0,0.1161
LCS00000222,U0000222,2026-08-28,沉默用户,3,23,0.3502
LCS00000223,U0000223,2026-08-28,沉默用户,15,8,0.3844
LCS00000224,U0000224,2026-08-28,活跃用户,13,2,0.4553
LCS00000225,U0000225,2026-08-28,活跃用户,6,2,0.5142
LCS00000226,U0000226,2026-08-28,活跃用户,11,1,0.211
LCS00000227,U0000227,2026-08-28,活跃用户,8,6,0.2352
LCS00000228,U0000228,2026-08-28,活跃用户,9,0,0.2197
LCS00000229,U0000229,2026-08-28,流失用户,2,88,0.2497
LCS00000230,U0000230,2026-08-28,活跃用户,5,2,0.1707
LCS00000231,U0000231,2026-08-28,流失用户,12,73,0.3689
LCS00000232,U0000232,2026-08-28,沉默用户,12,10,0.1527
LCS00000233,U0000233,2026-08-28,活跃用户,11,5,0.2069
LCS00000234,U0000234,2026-08-28,沉默用户,5,13,0.2396
LCS00000235,U0000235,2026-08-28,活跃用户,11,5,0.3857
LCS00000236,U0000236,2026-08-28,流失用户,3,116,0.1918
LCS00000237,U0000237,2026-08-28,沉默用户,2,13,0.3184
LCS00000238,U0000238,2026-08-28,流失用户,4,56,0.3738
LCS00000239,U0000239,2026-08-28,沉默用户,2,13,0.2837
LCS00000240,U0000240,2026-08-28,活跃用户,8,0,0.3239
LCS00000241,U0000241,2026-08-28,活跃用户,13,0,0.3608
LCS00000242,U0000242,2026-08-28,活跃用户,14,0,0.2034
LCS00000243,U0000243,2026-08-28,活跃用户,8,1,0.3109
LCS00000244,U0000244,2026-08-28,沉默用户,16,17,0.3545
LCS00000245,U0000245,2026-08-28,活跃用户,8,0,0.393
LCS00000246,U0000246,2026-08-28,沉默用户,14,8,0.1931
LCS00000247,U0000247,2026-08-28,流失用户,4,102,0.2119
LCS00000248,U0000248,2026-08-28,流失用户,16,42,0.3344
LCS00000249,U0000249,2026-08-28,活跃用户,4,3,0.4643
LCS00000250,U0000250,2026-08-28,沉默用户,12,12,0.4008
LCS00000251,U0000251,2026-08-28,活跃用户,12,1,0.2588
LCS00000252,U0000252,2026-08-28,流失用户,11,40,0.2897
LCS00000253,U0000253,2026-08-28,沉默用户,4,29,0.193
LCS00000254,U0000254,2026-08-28,活跃用户,15,7,0.4998
LCS00000255,U0000255,2026-08-28,沉默用户,2,16,0.3744
LCS00000256,U0000256,2026-08-28,流失用户,3,81,0.1707
LCS00000257,U0000257,2026-08-28,活跃用户,14,3,0.1716
LCS00000258,U0000258,2026-08-28,流失用户,3,66,0.4726
LCS00000259,U0000259,2026-08-28,新用户,0,7,0.05
LCS00000260,U0000260,2026-08-28,活跃用户,3,2,0.05
LCS00000261,U0000261,2026-08-28,沉默用户,13,10,0.2778
LCS00000262,U0000262,2026-08-28,流失用户,7,38,0.3726
LCS00000263,U0000263,2026-08-28,沉默用户,10,20,0.2617
LCS00000264,U0000264,2026-08-28,沉默用户,3,29,0.3603
LCS00000265,U0000265,2026-08-28,活跃用户,11,2,0.4153
LCS00000266,U0000266,2026-08-28,新用户,5,0,0.05
LCS00000267,U0000267,2026-08-28,活跃用户,11,0,0.386
LCS00000268,U0000268,2026-08-28,活跃用户,14,2,0.3922
LCS00000269,U0000269,2026-08-28,活跃用户,2,6,0.1738
LCS00000270,U0000270,2026-08-28,活跃用户,8,6,0.6201
LCS00000271,U0000271,2026-08-28,流失用户,1,123,0.1667
LCS00000272,U0000272,2026-08-28,流失用户,2,94,0.2935
LCS00000273,U0000273,2026-08-28,活跃用户,6,2,0.0955
LCS00000274,U0000274,2026-08-28,流失用户,1,203,0.2091
LCS00000275,U0000275,2026-08-28,流失用户,10,71,0.3072
LCS00000276,U0000276,2026-08-28,活跃用户,12,4,0.1567
LCS00000277,U0000277,2026-08-28,活跃用户,12,7,0.3283
LCS00000278,U0000278,2026-08-28,沉默用户,14,19,0.3911
LCS00000279,U0000279,2026-08-28,沉默用户,3,12,0.2874
LCS00000280,U0000280,2026-08-28,活跃用户,14,0,0.2702
LCS00000281,U0000281,2026-08-28,流失用户,3,147,0.4036
LCS00000282,U0000282,2026-08-28,新用户,3,0,0.2044
LCS00000283,U0000283,2026-08-28,活跃用户,7,0,0.2384
LCS00000284,U0000284,2026-08-28,活跃用户,4,3,0.3949
LCS00000285,U0000285,2026-08-28,活跃用户,11,4,0.3358
LCS00000286,U0000286,2026-08-28,活跃用户,2,5,0.072
LCS00000287,U0000287,2026-08-28,新用户,5,0,0.3291
LCS00000288,U0000288,2026-08-28,活跃用户,9,6,0.3644
LCS00000289,U0000289,2026-08-28,流失用户,3,32,0.568
LCS00000290,U0000290,2026-08-28,活跃用户,10,3,0.4867
LCS00000291,U0000291,2026-08-28,流失用户,6,53,0.05
LCS00000292,U0000292,2026-08-28,活跃用户,10,3,0.2339
LCS00000293,U0000293,2026-08-28,流失用户,3,184,0.4439
LCS00000294,U0000294,2026-08-28,新用户,3,0,0.0911
LCS00000295,U0000295,2026-08-28,沉默用户,14,14,0.4092
LCS00000296,U0000296,2026-08-28,流失用户,2,85,0.4123
LCS00000297,U0000297,2026-08-28,沉默用户,2,18,0.3851
LCS00000298,U0000298,2026-08-28,沉默用户,13,11,0.3896
LCS00000299,U0000299,2026-08-28,流失用户,0,60,0.2932
LCS00000300,U0000300,2026-08-28,流失用户,6,47,0.1222
LCS00000301,U0000301,2026-08-28,流失用户,2,41,0.1756
LCS00000302,U0000302,2026-08-28,新用户,2,0,0.3039
LCS00000303,U0000303,2026-08-28,活跃用户,4,0,0.1935
LCS00000304,U0000304,2026-08-28,活跃用户,17,3,0.3438
LCS00000305,U0000305,2026-08-28,流失用户,8,32,0.2916
LCS00000306,U0000306,2026-08-28,沉默用户,9,30,0.2342
LCS00000307,U0000307,2026-08-28,流失用户,2,31,0.1398
LCS00000308,U0000308,2026-08-28,活跃用户,8,4,0.1858
LCS00000309,U0000309,2026-08-28,活跃用户,12,4,0.3215
LCS00000310,U0000310,2026-08-28,活跃用户,14,0,0.2877
LCS00000311,U0000311,2026-08-28,沉默用户,5,30,0.4123
LCS00000312,U0000312,2026-08-28,流失用户,3,107,0.3546
LCS00000313,U0000313,2026-08-28,沉默用户,2,23,0.1903
LCS00000314,U0000314,2026-08-28,流失用户,8,99,0.3888
LCS00000315,U0000315,2026-08-28,沉默用户,5,22,0.2117
LCS00000316,U0000316,2026-08-28,沉默用户,3,15,0.3516
LCS00000317,U0000317,2026-08-28,活跃用户,15,0,0.4557
LCS00000318,U0000318,2026-08-28,沉默用户,3,15,0.1312
LCS00000319,U0000319,2026-08-28,活跃用户,4,2,0.5129
LCS00000320,U0000320,2026-08-28,活跃用户,5,1,0.4461
LCS00000321,U0000321,2026-08-28,活跃用户,14,0,0.3573
LCS00000322,U0000322,2026-08-28,沉默用户,8,10,0.18
LCS00000323,U0000323,2026-08-28,活跃用户,9,1,0.2457
LCS00000324,U0000324,2026-08-28,流失用户,6,75,0.3572
LCS00000325,U0000325,2026-08-28,沉默用户,4,18,0.05
LCS00000326,U0000326,2026-08-28,流失用户,2,93,0.4786
LCS00000327,U0000327,2026-08-28,活跃用户,14,4,0.5675
LCS00000328,U0000328,2026-08-28,活跃用户,3,3,0.3227
LCS00000329,U0000329,2026-08-28,沉默用户,2,13,0.3106
LCS00000330,U0000330,2026-08-28,活跃用户,13,0,0.324
LCS00000331,U0000331,2026-08-28,活跃用户,12,3,0.4383
LCS00000332,U0000332,2026-08-28,新用户,2,0,0.568
LCS00000333,U0000333,2026-08-28,沉默用户,6,8,0.5067
LCS00000334,U0000334,2026-08-28,活跃用户,4,6,0.6258
LCS00000335,U0000335,2026-08-28,活跃用户,14,1,0.2878
LCS00000336,U0000336,2026-08-28,沉默用户,7,21,0.0914
LCS00000337,U0000337,2026-08-28,流失用户,9,39,0.4729
LCS00000338,U0000338,2026-08-28,新用户,3,0,0.4187
LCS00000339,U0000339,2026-08-28,活跃用户,2,1,0.05
LCS00000340,U0000340,2026-08-28,沉默用户,12,8,0.1566
LCS00000341,U0000341,2026-08-28,流失用户,3,111,0.106
LCS00000342,U0000342,2026-08-28,新用户,0,0,0.2449
LCS00000343,U0000343,2026-08-28,活跃用户,17,3,0.3607
LCS00000344,U0000344,2026-08-28,活跃用户,10,1,0.2654
LCS00000345,U0000345,2026-08-28,流失用户,2,138,0.3123
LCS00000346,U0000346,2026-08-28,活跃用户,5,0,0.453
LCS00000347,U0000347,2026-08-28,沉默用户,11,9,0.3645
LCS00000348,U0000348,2026-08-28,流失用户,2,76,0.3544
LCS00000349,U0000349,2026-08-28,活跃用户,14,0,0.2197
LCS00000350,U0000350,2026-08-28,沉默用户,2,13,0.3286
LCS00000351,U0000351,2026-08-28,流失用户,3,131,0.3559
LCS00000352,U0000352,2026-08-28,流失用户,3,70,0.2025
LCS00000353,U0000353,2026-08-28,流失用户,4,35,0.2459
LCS00000354,U0000354,2026-08-28,沉默用户,4,9,0.4464
LCS00000355,U0000355,2026-08-28,活跃用户,12,0,0.1574
LCS00000356,U0000356,2026-08-28,流失用户,2,104,0.1923
LCS00000357,U0000357,2026-08-28,活跃用户,11,1,0.2568
LCS00000358,U0000358,2026-08-28,流失用户,4,31,0.3199
LCS00000359,U0000359,2026-08-28,活跃用户,9,2,0.3306
LCS00000360,U0000360,2026-08-28,流失用户,4,63,0.3171
LCS00000361,U0000361,2026-08-28,活跃用户,12,7,0.4171
LCS00000362,U0000362,2026-08-28,活跃用户,11,0,0.3631
LCS00000363,U0000363,2026-08-28,活跃用户,16,1,0.2828
LCS00000364,U0000364,2026-08-28,沉默用户,8,27,0.4481
LCS00000365,U0000365,2026-08-28,沉默用户,6,16,0.5639
LCS00000366,U0000366,2026-08-28,沉默用户,14,11,0.198
LCS00000367,U0000367,2026-08-28,活跃用户,8,1,0.3831
LCS00000368,U0000368,2026-08-28,活跃用户,9,4,0.4976
LCS00000369,U0000369,2026-08-28,沉默用户,3,15,0.0528
LCS00000370,U0000370,2026-08-28,活跃用户,12,0,0.3393
LCS00000371,U0000371,2026-08-28,活跃用户,12,3,0.3335
LCS00000372,U0000372,2026-08-28,新用户,0,0,0.3133
LCS00000373,U0000373,2026-08-28,流失用户,4,32,0.2718
LCS00000374,U0000374,2026-08-28,活跃用户,8,0,0.0848
LCS00000375,U0000375,2026-08-28,活跃用户,11,3,0.1838
LCS00000376,U0000376,2026-08-28,沉默用户,10,22,0.4329
LCS00000377,U0000377,2026-08-28,流失用户,8,38,0.4596
LCS00000378,U0000378,2026-08-28,沉默用户,8,9,0.1925
LCS00000379,U0000379,2026-08-28,流失用户,1,46,0.3297
LCS00000380,U0000380,2026-08-28,沉默用户,13,9,0.304
LCS00000381,U0000381,2026-08-28,流失用户,2,146,0.2785
LCS00000382,U0000382,2026-08-28,活跃用户,11,5,0.1884
LCS00000383,U0000383,2026-08-28,流失用户,10,43,0.1365
LCS00000384,U0000384,2026-08-28,活跃用户,6,4,0.5079
LCS00000385,U0000385,2026-08-28,沉默用户,2,11,0.2092
LCS00000386,U0000386,2026-08-28,沉默用户,10,30,0.4482
LCS00000387,U0000387,2026-08-28,活跃用户,11,7,0.47
LCS00000388,U0000388,2026-08-28,沉默用户,7,12,0.3349
LCS00000389,U0000389,2026-08-28,沉默用户,16,17,0.5513
LCS00000390,U0000390,2026-08-28,活跃用户,13,2,0.5476
LCS00000391,U0000391,2026-08-28,活跃用户,12,1,0.5695
LCS00000392,U0000392,2026-08-28,流失用户,1,56,0.4075
LCS00000393,U0000393,2026-08-28,沉默用户,7,15,0.4475
LCS00000394,U0000394,2026-08-28,沉默用户,11,16,0.5452
LCS00000395,U0000395,2026-08-28,活跃用户,4,2,0.3087
LCS00000396,U0000396,2026-08-28,沉默用户,6,9,0.3945
LCS00000397,U0000397,2026-08-28,流失用户,6,76,0.3677
LCS00000398,U0000398,2026-08-28,沉默用户,10,19,0.305
LCS00000399,U0000399,2026-08-28,活跃用户,12,1,0.4501
LCS00000400,U0000400,2026-08-28,流失用户,4,79,0.6364
LCS00000401,U0000401,2026-08-28,活跃用户,3,6,0.2813
LCS00000402,U0000402,2026-08-28,沉默用户,8,24,0.5108
LCS00000403,U0000403,2026-08-28,活跃用户,11,7,0.1024
LCS00000404,U0000404,2026-08-28,活跃用户,5,1,0.3798
LCS00000405,U0000405,2026-08-28,活跃用户,7,3,0.4384
LCS00000406,U0000406,2026-08-28,活跃用户,10,2,0.6251
LCS00000407,U0000407,2026-08-28,流失用户,5,61,0.5284
LCS00000408,U0000408,2026-08-28,沉默用户,5,13,0.2303
LCS00000409,U0000409,2026-08-28,沉默用户,11,9,0.3573
LCS00000410,U0000410,2026-08-28,沉默用户,2,14,0.282
LCS00000411,U0000411,2026-08-28,沉默用户,2,24,0.3467
LCS00000412,U0000412,2026-08-28,活跃用户,8,0,0.3092
LCS00000413,U0000413,2026-08-28,流失用户,0,68,0.1379
LCS00000414,U0000414,2026-08-28,沉默用户,2,13,0.4539
LCS00000415,U0000415,2026-08-28,新用户,0,0,0.34
