content_metric_id,metric_date,content_id,impressions,play_count,watch_seconds,interaction_count,play_rate,completion_rate
CM00000046,2026-05-05,V00003681,11,4,133,0,0.3636,0.7228
CM00000047,2026-07-07,V00000304,4,1,174,0,0.25,0.9943
CM00000048,2026-07-12,V00003564,8,2,122,0,0.25,0.4552
CM00000049,2026-08-02,V00004493,7,3,230,1,0.4286,0.6497
CM00000050,2026-08-07,V00010951,7,3,48,0,0.4286,0.1524
CM00000051,2026-08-16,V00002107,16,6,602,1,0.375,0.5902
CM00000052,2026-07-22,V00006027,13,1,10,0,0.0769,0.2083
CM00000053,2026-05-17,V00009522,12,7,662,2,0.5833,0.7816
CM00000054,2026-04-09,V00003128,11,2,28,0,0.1818,0.6364
CM00000055,2026-07-19,V00013038,8,2,77,0,0.25,0.7857
CM00000056,2026-07-25,V00009245,14,4,257,0,0.2857,0.4227
CM00000057,2026-07-16,V00001019,9,4,111,0,0.4444,0.8162
CM00000058,2026-07-11,V00001961,8,3,225,0,0.375,0.463
CM00000059,2026-01-15,V00010744,8,5,259,1,0.625,0.6395
CM00000060,2026-01-18,V00014357,12,5,323,0,0.4167,0.95
CM00000061,2026-01-23,V00000672,9,2,63,0,0.2222,0.4437
CM00000062,2026-04-06,V00002622,6,3,323,0,0.5,0.7324
CM00000063,2026-06-26,V00006883,12,4,257,0,0.3333,0.9049
CM00000064,2026-06-11,V00003448,4,1,33,0,0.25,0.3587
CM00000065,2026-04-29,V00008813,7,1,143,0,0.1429,0.8412
CM00000066,2026-07-28,V00001452,9,1,54,0,0.1111,0.5567
CM00000067,2026-08-17,V00010002,11,6,353,0,0.5455,0.7263
CM00000068,2026-05-18,V00006673,8,1,18,0,0.125,0.2169
CM00000069,2026-08-06,V00005504,14,6,734,2,0.4286,0.6834
CM00000070,2026-05-16,V00006087,12,2,72,1,0.1667,0.4186
CM00000071,2026-05-16,V00008306,13,5,242,0,0.3846,0.4523
CM00000072,2026-07-11,V00014240,9,3,123,0,0.3333,0.4767
CM00000073,2026-04-22,V00002897,10,2,102,0,0.2,0.3228
CM00000074,2026-04-21,V00012724,8,0,0,0,0.0,0.0
CM00000075,2026-05-03,V00014076,8,4,342,0,0.5,0.5481
CM00000076,2026-04-28,V00014219,12,3,45,1,0.25,0.4167
CM00000077,2026-07-13,V00013585,9,4,81,0,0.4444,0.3164
CM00000078,2026-01-30,V00012081,11,1,42,0,0.0909,0.2897
CM00000079,2026-08-16,V00009690,10,6,639,2,0.6,0.6698
CM00000080,2026-02-18,V00000885,10,2,93,0,0.2,0.3875
CM00000081,2026-06-11,V00012678,10,4,201,1,0.4,0.6526
CM00000082,2026-03-16,V00000427,10,2,141,0,0.2,0.5595
CM00000083,2026-04-21,V00007804,14,4,418,1,0.2857,0.5971
CM00000084,2026-02-11,V00006404,10,1,68,1,0.1,0.5714
CM00000085,2026-03-05,V00006885,11,3,24,0,0.2727,0.3077
CM00000086,2026-02-24,V00001952,15,4,95,0,0.2667,0.3893
CM00000087,2026-01-09,V00009717,9,3,111,0,0.3333,0.8409
CM00000088,2026-07-01,V00006414,8,2,10,0,0.25,0.5556
CM00000089,2026-02-24,V00001648,6,0,0,0,0.0,0.0
CM00000090,2026-02-17,V00011854,4,1,160,0,0.25,1.0
CM00000091,2026-07-10,V00009790,11,7,359,2,0.6364,0.7025
CM00000092,2026-08-21,V00001579,15,6,216,0,0.4,0.6545
CM00000093,2026-02-10,V00013006,9,3,219,0,0.3333,0.4867
CM00000094,2026-04-18,V00008757,10,4,273,1,0.4,0.65
CM00000095,2026-04-10,V00009130,6,3,187,0,0.5,0.6561
CM00000096,2026-05-22,V00007091,8,5,256,0,0.625,0.4785
CM00000097,2026-01-23,V00014517,9,5,218,4,0.5556,0.8226
CM00000098,2026-05-07,V00008023,5,4,487,2,0.8,0.8339
CM00000099,2026-02-06,V00008438,12,6,173,2,0.5,0.8009
CM00000100,2026-02-28,V00004403,11,6,134,0,0.5455,0.6204
CM00000101,2026-08-26,V00012666,10,1,136,0,0.1,0.8447
CM00000102,2026-04-07,V00010789,8,2,84,0,0.25,0.6364
CM00000103,2026-06-23,V00003740,7,3,293,0,0.4286,0.7129
CM00000104,2026-08-15,V00002582,12,7,516,1,0.5833,0.7371
CM00000105,2026-08-17,V00009976,8,1,66,1,0.125,0.8148
CM00000106,2026-01-28,V00001096,12,4,69,1,0.3333,0.6161
CM00000107,2026-06-03,V00014303,5,1,68,0,0.2,0.562
CM00000108,2026-08-21,V00007450,8,3,53,0,0.375,0.6543
CM00000109,2026-06-12,V00004816,5,2,229,0,0.4,0.8179
CM00000110,2026-03-08,V00003185,15,4,181,1,0.2667,0.3232
CM00000111,2026-08-26,V00012336,8,1,22,0,0.125,0.22
CM00000112,2026-08-01,V00002636,7,3,191,0,0.4286,0.7318
CM00000113,2026-03-05,V00013771,10,3,70,0,0.3,0.5185
CM00000114,2026-08-13,V00004122,13,4,113,1,0.3077,0.5539
CM00000115,2026-03-03,V00000040,12,2,91,0,0.1667,0.3856
CM00000116,2026-03-31,V00008748,14,3,55,1,0.2143,0.1273
CM00000117,2026-02-21,V00007475,11,6,127,1,0.5455,0.6048
CM00000118,2026-05-10,V00010560,3,2,160,0,0.6667,0.4494
CM00000119,2026-02-23,V00003153,12,6,379,1,0.5,0.6193
CM00000120,2026-03-10,V00012130,4,2,109,1,0.5,0.7078
CM00000121,2026-05-10,V00005450,14,3,125,0,0.2143,0.5952
CM00000122,2026-02-07,V00013530,12,6,297,1,0.5,0.6188
CM00000123,2026-07-17,V00013941,15,1,42,0,0.0667,0.2625
CM00000124,2026-07-26,V00000032,10,4,23,0,0.4,0.3026
CM00000125,2026-06-13,V00001733,5,3,104,1,0.6,0.6541
CM00000126,2026-05-26,V00004793,9,3,99,0,0.3333,0.5893
CM00000127,2026-05-25,V00011923,12,2,152,0,0.1667,0.5429
CM00000128,2026-08-18,V00002206,9,4,461,0,0.4444,0.7435
CM00000129,2026-06-25,V00001050,12,4,335,0,0.3333,0.5621
CM00000130,2026-05-19,V00006008,10,5,209,1,0.5,0.5806
CM00000131,2026-06-21,V00007133,13,4,304,1,0.3077,0.4524
CM00000132,2026-02-08,V00003674,8,0,0,0,0.0,0.0
CM00000133,2026-01-18,V00010659,12,2,81,0,0.1667,0.7788
CM00000134,2026-08-18,V00011550,10,7,512,2,0.7,0.5995
CM00000135,2026-01-15,V00009592,8,1,4,0,0.125,0.0267
CM00000136,2026-07-25,V00003315,7,2,16,1,0.2857,0.1455
CM00000137,2026-08-09,V00001992,12,7,78,1,0.5833,0.9286
CM00000138,2026-07-07,V00010908,7,1,8,0,0.1429,0.5714
CM00000139,2026-04-20,V00014092,5,4,367,1,0.8,0.8341
CM00000140,2026-06-17,V00004846,11,4,468,0,0.3636,0.8667
CM00000141,2026-01-04,V00014229,8,2,74,1,0.25,0.2067
CM00000142,2026-08-11,V00012940,7,3,227,0,0.4286,0.8902
CM00000143,2026-05-03,V00011506,9,7,66,0,0.7778,0.5546
CM00000144,2026-03-08,V00006997,9,1,15,0,0.1111,0.1103
CM00000145,2026-03-24,V00011999,6,2,111,1,0.3333,0.9098
CM00000146,2026-01-18,V00014208,11,2,50,0,0.1818,0.5
CM00000147,2026-07-16,V00012990,11,3,64,0,0.2727,0.6465
CM00000148,2026-01-21,V00011285,8,4,451,1,0.5,0.874
CM00000149,2026-08-07,V00008568,6,4,276,0,0.6667,0.4233
CM00000150,2026-07-29,V00007029,11,3,281,0,0.2727,0.5352
CM00000151,2026-07-30,V00012759,8,3,12,1,0.375,0.4444
CM00000152,2026-05-15,V00009617,6,2,29,0,0.3333,0.4531
CM00000153,2026-05-10,V00000547,9,2,41,0,0.2222,0.4767
CM00000154,2026-07-29,V00002885,14,6,179,0,0.4286,0.3208
CM00000155,2026-06-21,V00002254,7,2,83,1,0.2857,0.5
CM00000156,2026-08-27,V00012049,5,3,229,0,0.6,0.5055
CM00000157,2026-08-18,V00014879,15,4,218,0,0.2667,0.3428
CM00000158,2026-06-06,V00003862,3,1,71,0,0.3333,0.5726
CM00000159,2026-07-11,V00010129,13,5,593,1,0.3846,0.6855
CM00000160,2026-08-22,V00010880,15,9,1052,4,0.6,0.8789
CM00000161,2026-08-12,V00014658,13,7,448,0,0.5385,0.6957
CM00000162,2026-08-15,V00004762,7,4,125,0,0.5714,0.8929
CM00000163,2026-08-02,V00001374,8,3,46,0,0.375,0.5897
CM00000164,2026-05-26,V00003184,10,0,0,0,0.0,0.0
CM00000165,2026-07-14,V00007912,9,3,242,0,0.3333,0.5204
CM00000166,2026-06-20,V00010753,13,4,47,0,0.3077,0.6912
CM00000167,2026-04-02,V00003963,11,4,40,1,0.3636,0.7692
CM00000168,2026-08-20,V00011852,8,3,154,0,0.375,0.6754
CM00000169,2026-03-21,V00009623,11,4,111,0,0.3636,0.5337
CM00000170,2026-03-24,V00008655,16,5,279,0,0.3125,0.6341
CM00000171,2026-01-06,V00008276,4,1,95,0,0.25,0.8962
CM00000172,2026-05-31,V00010742,10,2,163,1,0.2,0.8956
CM00000173,2026-06-09,V00014244,2,0,0,0,0.0,0.0
CM00000174,2026-08-12,V00000852,9,2,82,0,0.2222,0.3333
CM00000175,2026-07-21,V00005917,4,0,0,0,0.0,0.0
CM00000176,2026-05-04,V00008290,11,1,10,1,0.0909,0.1087
CM00000177,2026-05-09,V00007725,11,3,141,1,0.2727,0.3013
CM00000178,2026-05-12,V00004575,10,1,26,0,0.1,0.2574
CM00000179,2026-05-09,V00008532,12,4,461,0,0.3333,0.7027
CM00000180,2026-06-01,V00002236,9,2,37,0,0.2222,0.2403
CM00000181,2026-06-18,V00008341,8,5,349,0,0.625,0.6123
CM00000182,2026-04-02,V00008912,9,3,37,0,0.3333,0.4568
CM00000183,2026-05-23,V00007881,11,1,40,0,0.0909,0.2878
CM00000184,2026-06-19,V00008526,16,3,158,0,0.1875,0.5016
CM00000185,2026-07-30,V00010708,8,3,48,0,0.375,0.6957
CM00000186,2026-06-21,V00001114,9,6,734,1,0.6667,0.7414
CM00000187,2026-05-17,V00010820,7,4,190,0,0.5714,0.4025
CM00000188,2026-07-27,V00014767,10,4,476,0,0.4,0.8207
CM00000189,2026-03-19,V00010960,16,9,554,1,0.5625,0.8318
CM00000190,2026-06-19,V00002159,8,2,65,1,0.25,0.1816
CM00000191,2026-07-21,V00001080,4,2,66,0,0.5,0.4459
CM00000192,2026-03-28,V00008190,7,3,62,0,0.4286,0.7654
CM00000193,2026-03-07,V00007837,6,2,229,0,0.3333,0.8358
CM00000194,2026-04-18,V00007152,6,3,140,0,0.5,0.5983
CM00000195,2026-05-27,V00012482,9,3,361,1,0.3333,0.8356
CM00000196,2026-04-24,V00014370,10,2,30,0,0.2,0.121
CM00000197,2026-05-08,V00002327,9,2,60,1,0.2222,0.4839
CM00000198,2026-07-28,V00003873,8,2,80,0,0.25,0.4651
CM00000199,2026-05-04,V00002797,13,5,197,0,0.3846,0.4987
CM00000200,2026-06-12,V00014845,5,2,77,0,0.4,0.3889
CM00000201,2026-06-16,V00014552,12,4,250,1,0.3333,0.5631
CM00000202,2026-08-24,V00009940,12,5,222,1,0.4167,0.5766
CM00000203,2026-05-18,V00000403,13,0,0,0,0.0,0.0
CM00000204,2026-07-06,V00003016,9,4,28,1,0.4444,0.875
CM00000205,2026-02-08,V00007689,15,5,320,0,0.3333,0.4129
CM00000206,2026-01-15,V00002887,14,3,258,0,0.2143,0.6466
CM00000207,2026-01-27,V00011472,10,2,119,1,0.2,0.6538
CM00000208,2026-08-15,V00011684,5,2,148,0,0.4,0.6379
CM00000209,2026-01-14,V00008749,9,2,109,0,0.2222,0.7466
CM00000210,2026-08-18,V00007273,16,7,480,0,0.4375,0.5234
CM00000211,2026-03-04,V00008755,16,6,347,1,0.375,0.6152
CM00000212,2026-04-17,V00004295,8,2,183,0,0.25,0.688
CM00000213,2026-06-29,V00002632,9,3,290,0,0.3333,0.6576
CM00000214,2026-02-03,V00011951,10,3,294,0,0.3,0.695
CM00000215,2026-01-12,V00003529,9,3,236,0,0.3333,0.6293
CM00000216,2026-08-22,V00002006,5,1,45,0,0.2,0.4327
CM00000217,2026-01-16,V00014793,12,4,306,0,0.3333,0.45
CM00000218,2026-03-27,V00000880,10,3,154,0,0.3,0.4107
CM00000219,2026-08-19,V00006526,11,6,644,1,0.5455,0.8131
CM00000220,2026-05-21,V00008462,10,4,505,1,0.4,0.7173
CM00000221,2026-05-30,V00001888,8,2,36,0,0.25,0.4865
CM00000222,2026-01-11,V00010465,11,1,24,0,0.0909,0.1633
CM00000223,2026-07-31,V00000817,14,7,888,1,0.5,0.7375
CM00000224,2026-08-08,V00006422,7,3,27,1,0.4286,0.5625
CM00000225,2026-07-21,V00010739,8,5,106,1,0.625,0.8833
CM00000226,2026-05-10,V00007366,15,5,471,0,0.3333,0.8804
CM00000227,2026-02-13,V00009357,9,4,573,0,0.4444,0.8093
CM00000228,2026-08-13,V00003718,12,3,173,0,0.25,0.6705
CM00000229,2026-07-24,V00008410,7,4,36,0,0.5714,0.4286
CM00000230,2026-04-02,V00004553,13,6,436,0,0.4615,0.559
CM00000231,2026-01-03,V00010679,6,3,353,0,0.5,0.7046
CM00000232,2026-06-04,V00007719,4,2,252,0,0.5,0.75
CM00000233,2026-06-01,V00013338,9,3,70,0,0.3333,0.6306
CM00000234,2026-07-30,V00009252,10,1,90,0,0.1,0.6122
CM00000235,2026-01-07,V00004465,6,3,368,0,0.5,0.8825
CM00000236,2026-08-26,V00008865,9,3,47,0,0.3333,0.6267
CM00000237,2026-08-03,V00011250,12,4,202,0,0.3333,0.5739
CM00000238,2026-05-04,V00013481,14,7,570,1,0.5,0.7471
CM00000239,2026-05-16,V00012278,14,6,328,0,0.4286,0.5413
CM00000240,2026-08-01,V00002766,11,5,477,0,0.4545,0.8224
CM00000241,2026-02-14,V00008026,9,3,168,1,0.3333,0.9032
CM00000242,2026-08-25,V00007637,2,2,199,0,1.0,0.5785
CM00000243,2026-08-05,V00005572,5,1,1,0,0.2,0.0833
CM00000244,2026-06-03,V00004330,10,7,318,2,0.7,0.5977
CM00000245,2026-05-08,V00010534,9,4,84,0,0.4444,0.4375
CM00000246,2026-01-12,V00007766,8,5,325,1,0.625,0.7738
CM00000247,2026-06-30,V00000443,7,2,66,0,0.2857,0.7174
CM00000248,2026-07-27,V00005615,4,1,18,0,0.25,0.1353
CM00000249,2026-04-02,V00002704,12,5,533,2,0.4167,0.6308
CM00000250,2026-07-30,V00013410,7,3,167,1,0.4286,0.784
CM00000251,2026-07-02,V00012099,11,3,270,0,0.2727,0.5085
CM00000252,2026-08-15,V00013381,4,0,0,0,0.0,0.0
CM00000253,2026-08-07,V00000382,11,5,337,0,0.4545,0.4036
CM00000254,2026-06-18,V00005586,3,0,0,0,0.0,0.0
CM00000255,2026-01-28,V00003263,13,7,350,1,0.5385,0.8475
CM00000256,2026-06-08,V00007509,6,3,48,0,0.5,0.5161
CM00000257,2026-08-11,V00008257,10,3,14,0,0.3,0.5185
CM00000258,2026-05-15,V00002944,8,3,263,0,0.375,0.8429
CM00000259,2026-03-08,V00013801,8,4,186,1,0.5,0.4079
CM00000260,2026-05-10,V00012937,11,2,22,0,0.1818,0.7333
CM00000261,2026-07-30,V00008677,5,2,123,0,0.4,0.492
CM00000262,2026-07-05,V00005265,8,4,221,2,0.5,0.8246
CM00000263,2026-08-16,V00000887,10,5,265,0,0.5,0.7465
CM00000264,2026-01-03,V00002391,5,4,24,0,0.8,0.6667
CM00000265,2026-08-13,V00002525,5,0,0,0,0.0,0.0
CM00000266,2026-06-30,V00001490,7,4,7,0,0.5714,0.1944
CM00000267,2026-08-28,V00011542,7,2,223,0,0.2857,0.9867
CM00000268,2026-03-30,V00005228,11,3,15,0,0.2727,0.0625
CM00000269,2026-07-12,V00011641,8,2,117,0,0.25,0.375
CM00000270,2026-08-09,V00008942,12,4,64,0,0.3333,0.6957
CM00000271,2026-08-25,V00000107,9,3,150,1,0.3333,0.9259
CM00000272,2026-08-27,V00001852,19,2,63,0,0.1053,0.75
CM00000273,2026-08-10,V00005327,10,3,275,0,0.3,0.6152
CM00000274,2026-03-24,V00014868,11,4,187,2,0.3636,0.3412
CM00000275,2026-01-28,V00005407,13,6,405,0,0.4615,0.6368
CM00000276,2026-08-16,V00014458,5,2,205,0,0.4,0.6327
CM00000277,2026-05-25,V00002557,11,6,198,0,0.5455,0.825
CM00000278,2026-05-25,V00013835,10,2,17,0,0.2,0.425
CM00000279,2026-05-27,V00003033,15,6,55,3,0.4,0.4365
CM00000280,2026-06-13,V00006390,10,3,164,1,0.3,0.5359
CM00000281,2026-07-23,V00003559,9,5,168,0,0.5556,0.4364
CM00000282,2026-07-05,V00005823,6,2,80,0,0.3333,0.678
CM00000283,2026-05-13,V00001424,7,3,25,0,0.4286,0.1016
CM00000284,2026-08-09,V00010158,10,3,196,0,0.3,0.7597
CM00000285,2026-08-05,V00010126,7,5,52,0,0.7143,0.5474
CM00000286,2026-06-22,V00006248,7,4,75,0,0.5714,0.3289
CM00000287,2026-08-07,V00005839,7,2,30,1,0.2857,0.7895
CM00000288,2026-03-06,V00004538,15,8,620,1,0.5333,0.799
CM00000289,2026-07-18,V00000550,11,8,514,1,0.7273,0.5266
CM00000290,2026-05-09,V00014285,14,6,269,0,0.4286,0.5402
CM00000291,2026-08-26,V00002003,16,6,39,2,0.375,0.8125
CM00000292,2026-08-01,V00000409,9,1,48,0,0.1111,0.4138
CM00000293,2026-05-09,V00007239,12,5,524,0,0.4167,0.9034
CM00000294,2026-01-10,V00006692,8,1,126,0,0.125,1.0
CM00000295,2026-08-21,V00005825,8,3,277,0,0.375,0.5158
CM00000296,2026-08-15,V00010437,8,1,101,0,0.125,0.7063
CM00000297,2026-05-20,V00014085,4,3,347,1,0.75,0.7415
CM00000298,2026-07-17,V00005138,7,3,310,0,0.4286,0.6798
CM00000299,2026-04-05,V00012111,9,2,113,0,0.2222,0.3792
CM00000300,2026-02-22,V00013278,10,2,11,1,0.2,0.6111
CM00000301,2026-07-24,V00008726,12,3,131,1,0.25,0.3732
CM00000302,2026-06-08,V00006356,6,4,246,1,0.6667,0.7321
CM00000303,2026-05-13,V00003316,10,2,30,0,0.2,0.4054
CM00000304,2026-06-12,V00007120,12,2,91,0,0.1667,0.2955
CM00000305,2026-05-11,V00002505,6,4,56,0,0.6667,0.56
CM00000306,2026-04-08,V00011179,5,2,283,1,0.4,0.8735
CM00000307,2026-01-11,V00002377,13,5,676,0,0.3846,0.7682
CM00000308,2026-01-22,V00013908,11,4,32,0,0.3636,0.5714
CM00000309,2026-03-28,V00014668,8,2,179,0,0.25,0.5525
CM00000310,2026-01-01,V00002982,13,2,61,0,0.1538,0.61
CM00000311,2026-08-15,V00013374,6,2,86,1,0.3333,0.3981
CM00000312,2026-05-01,V00009802,11,5,93,1,0.4545,0.7154
CM00000313,2026-07-31,V00005724,9,6,95,1,0.6667,0.5864
CM00000314,2026-08-19,V00003334,11,4,197,0,0.3636,0.3878
CM00000315,2026-04-30,V00000546,9,4,192,0,0.4444,0.5714
CM00000316,2026-04-28,V00006458,16,6,73,0,0.375,0.4506
CM00000317,2026-02-27,V00008684,7,2,80,0,0.2857,0.5195
CM00000318,2026-01-02,V00007395,11,2,210,0,0.1818,0.875
CM00000319,2026-01-09,V00008486,16,6,115,0,0.375,0.3305
CM00000320,2026-04-09,V00002160,8,3,245,1,0.375,0.4537
CM00000321,2026-01-31,V00004136,12,3,278,0,0.25,0.5792
CM00000322,2026-07-27,V00012663,14,4,102,0,0.2857,0.5
CM00000323,2026-03-31,V00008466,10,4,521,0,0.4,0.7617
CM00000324,2026-03-30,V00009886,5,4,263,1,0.8,0.5389
CM00000325,2026-08-26,V00011912,8,1,6,0,0.125,0.6667
CM00000326,2026-04-01,V00011168,10,7,503,1,0.7,0.6303
CM00000327,2026-06-10,V00007188,14,7,717,1,0.5,0.868
CM00000328,2026-02-10,V00004754,14,8,564,3,0.5714,0.5341
CM00000329,2026-06-18,V00012314,6,0,0,0,0.0,0.0
CM00000330,2026-03-10,V00002547,12,3,35,0,0.25,0.4861
CM00000331,2026-07-27,V00012266,10,5,134,0,0.5,0.7657
CM00000332,2026-06-29,V00008825,11,4,201,0,0.3636,0.4258
CM00000333,2026-02-23,V00013501,9,5,77,1,0.5556,0.77
CM00000334,2026-03-05,V00009642,11,3,128,0,0.2727,0.371
CM00000335,2026-07-29,V00014659,11,1,5,0,0.0909,0.0649
CM00000336,2026-08-12,V00000024,14,5,368,1,0.3571,0.8088
CM00000337,2026-07-16,V00008803,6,2,240,0,0.3333,0.6667
CM00000338,2026-01-01,V00004359,13,7,154,0,0.5385,0.7586
CM00000339,2026-07-15,V00009247,6,3,27,0,0.5,0.5
CM00000340,2026-07-29,V00002033,8,1,52,0,0.125,1.0
CM00000341,2026-02-03,V00005414,11,2,39,0,0.1818,0.527
CM00000342,2026-01-19,V00003471,11,6,377,0,0.5455,0.3611
CM00000343,2026-04-07,V00001407,5,1,94,0,0.2,0.8319
CM00000344,2026-03-15,V00002447,11,3,27,0,0.2727,0.6429
CM00000345,2026-08-17,V00005182,12,6,94,1,0.5,0.6026
CM00000346,2026-08-24,V00011149,5,2,190,0,0.4,0.7787
CM00000347,2026-04-29,V00007850,10,1,52,0,0.1,0.391
CM00000348,2026-07-01,V00014945,9,2,121,0,0.2222,0.6368
CM00000349,2026-06-27,V00008797,14,5,373,0,0.3571,0.6782
CM00000350,2026-04-10,V00013559,10,3,161,0,0.3,0.624
CM00000351,2026-05-30,V00009401,8,2,37,0,0.25,0.7708
CM00000352,2026-05-29,V00004153,14,3,159,0,0.2143,0.2994
CM00000353,2026-07-16,V00011895,13,7,449,1,0.5385,0.6613
CM00000354,2026-01-08,V00005667,7,4,511,0,0.5714,0.8085
CM00000355,2026-01-15,V00013184,7,3,49,1,0.4286,0.363
CM00000356,2026-03-13,V00003743,11,5,158,2,0.4545,0.8316
CM00000357,2026-05-23,V00002831,10,5,76,1,0.5,0.5241
CM00000358,2026-07-04,V00005394,13,3,18,0,0.2308,0.2069
CM00000359,2026-05-05,V00009914,7,3,105,1,0.4286,0.7447
CM00000360,2026-06-11,V00001707,7,0,0,0,0.0,0.0
CM00000361,2026-06-04,V00005164,6,1,19,1,0.1667,0.5278
CM00000362,2026-05-14,V00006251,6,2,16,0,0.3333,0.4706
CM00000363,2026-07-11,V00008060,8,3,290,1,0.375,0.593
CM00000364,2026-06-08,V00002543,9,3,309,1,0.3333,0.8047
CM00000365,2026-08-19,V00013937,8,2,209,0,0.25,0.7013
CM00000366,2026-07-22,V00013234,16,4,278,0,0.25,0.5697
CM00000367,2026-04-20,V00005508,12,4,460,0,0.3333,0.6425
CM00000368,2026-02-03,V00011800,9,2,107,1,0.2222,0.7754
CM00000369,2026-05-28,V00005354,11,1,65,0,0.0909,0.3736
CM00000370,2026-07-12,V00007886,10,1,80,0,0.1,0.5634
CM00000371,2026-08-18,V00008571,18,13,1348,2,0.7222,0.823
CM00000372,2026-05-03,V00007513,7,2,52,1,0.2857,0.2222
CM00000373,2026-08-19,V00010187,6,0,0,0,0.0,0.0
CM00000374,2026-06-09,V00014602,10,2,56,0,0.2,0.3889
CM00000375,2026-07-20,V00002703,11,4,200,1,0.3636,0.4237
CM00000376,2026-04-26,V00007311,12,0,0,0,0.0,0.0
CM00000377,2026-04-12,V00014007,7,3,104,0,0.4286,0.3939
CM00000378,2026-07-19,V00002623,5,2,65,0,0.4,0.6019
CM00000379,2026-08-27,V00001219,12,4,24,0,0.3333,0.5455
CM00000380,2026-01-11,V00006254,4,3,101,2,0.75,0.4612
CM00000381,2026-08-02,V00005233,9,6,49,1,0.6667,0.9074
CM00000382,2026-05-31,V00006497,17,4,445,0,0.2353,0.6583
CM00000383,2026-07-07,V00004279,9,4,270,0,0.4444,0.587
CM00000384,2026-06-16,V00003827,7,4,370,0,0.5714,0.7227
CM00000385,2026-07-29,V00010164,9,3,80,0,0.3333,0.5128
CM00000386,2026-07-18,V00011920,8,1,6,1,0.125,0.25
CM00000387,2026-06-21,V00007526,12,6,606,1,0.5,0.7426
CM00000388,2026-07-06,V00003820,13,6,419,2,0.4615,0.6914
CM00000389,2026-03-02,V00006987,5,1,124,1,0.2,0.7702
CM00000390,2026-08-10,V00010911,11,6,524,1,0.5455,0.6329
CM00000391,2026-04-12,V00008879,12,1,26,0,0.0833,0.2989
CM00000392,2026-08-27,V00003584,5,1,7,0,0.2,0.3043
