content_tag_relation_id,content_id,content_tag_id,confidence_score,source
CTR000000082,V00000031,CTAG013,0.9294,model
CTR000000083,V00000031,CTAG009,0.7327,model
CTR000000084,V00000031,CTAG005,0.6483,model
CTR000000085,V00000032,CTAG007,0.8974,model
CTR000000086,V00000032,CTAG003,0.9713,model
CTR000000087,V00000032,CTAG006,0.654,model
CTR000000088,V00000032,CTAG014,0.7016,model
CTR000000089,V00000033,CTAG003,0.9729,model
CTR000000090,V00000034,CTAG015,0.6161,model
CTR000000091,V00000034,CTAG007,0.9696,model
CTR000000092,V00000034,CTAG017,0.9538,model
CTR000000093,V00000035,CTAG011,0.7634,model
CTR000000094,V00000036,CTAG014,0.9796,model
CTR000000095,V00000036,CTAG007,0.9502,model
CTR000000096,V00000036,CTAG013,0.8167,model
CTR000000097,V00000037,CTAG011,0.9037,model
CTR000000098,V00000037,CTAG014,0.8141,model
CTR000000099,V00000037,CTAG008,0.6183,model
CTR000000100,V00000038,CTAG004,0.6306,model
CTR000000101,V00000038,CTAG017,0.7152,model
CTR000000102,V00000038,CTAG007,0.7672,model
CTR000000103,V00000039,CTAG002,0.8893,model
CTR000000104,V00000039,CTAG018,0.6442,model
CTR000000105,V00000039,CTAG011,0.7218,model
CTR000000106,V00000039,CTAG013,0.6625,model
CTR000000107,V00000040,CTAG004,0.7103,model
CTR000000108,V00000040,CTAG002,0.6126,model
CTR000000109,V00000040,CTAG007,0.7844,model
CTR000000110,V00000040,CTAG005,0.8476,model
CTR000000111,V00000041,CTAG004,0.8687,model
CTR000000112,V00000041,CTAG013,0.9012,model
CTR000000113,V00000041,CTAG018,0.7144,model
CTR000000114,V00000041,CTAG009,0.8413,model
CTR000000115,V00000042,CTAG014,0.6141,model
CTR000000116,V00000043,CTAG005,0.9075,model
CTR000000117,V00000044,CTAG008,0.9467,model
CTR000000118,V00000045,CTAG014,0.864,model
CTR000000119,V00000045,CTAG005,0.9461,model
CTR000000120,V00000045,CTAG003,0.7469,model
CTR000000121,V00000046,CTAG015,0.6658,model
CTR000000122,V00000046,CTAG012,0.7233,model
CTR000000123,V00000046,CTAG018,0.9765,model
CTR000000124,V00000047,CTAG002,0.88,model
CTR000000125,V00000047,CTAG009,0.9232,model
CTR000000126,V00000047,CTAG014,0.6004,model
CTR000000127,V00000048,CTAG012,0.6502,model
CTR000000128,V00000048,CTAG002,0.8738,model
CTR000000129,V00000048,CTAG008,0.8634,model
CTR000000130,V00000048,CTAG007,0.6794,model
CTR000000131,V00000049,CTAG003,0.6115,model
CTR000000132,V00000049,CTAG008,0.616,model
CTR000000133,V00000050,CTAG007,0.8794,model
CTR000000134,V00000050,CTAG013,0.6619,model
CTR000000135,V00000051,CTAG010,0.7196,model
CTR000000136,V00000051,CTAG017,0.9019,model
CTR000000137,V00000052,CTAG003,0.8573,model
CTR000000138,V00000053,CTAG007,0.984,model
CTR000000139,V00000053,CTAG010,0.9519,model
CTR000000140,V00000054,CTAG006,0.79,model
CTR000000141,V00000055,CTAG004,0.8921,model
CTR000000142,V00000055,CTAG003,0.7107,model
CTR000000143,V00000056,CTAG017,0.8334,model
CTR000000144,V00000056,CTAG014,0.7949,model
CTR000000145,V00000056,CTAG009,0.605,model
CTR000000146,V00000056,CTAG011,0.8949,model
CTR000000147,V00000057,CTAG013,0.6771,model
CTR000000148,V00000057,CTAG004,0.951,model
CTR000000149,V00000057,CTAG008,0.8376,model
CTR000000150,V00000058,CTAG016,0.9011,model
CTR000000151,V00000058,CTAG006,0.8649,model
CTR000000152,V00000059,CTAG001,0.6371,model
CTR000000153,V00000059,CTAG017,0.8675,model
CTR000000154,V00000059,CTAG010,0.9629,model
CTR000000155,V00000060,CTAG005,0.7172,model
CTR000000156,V00000061,CTAG001,0.866,model
CTR000000157,V00000061,CTAG008,0.6373,model
CTR000000158,V00000061,CTAG015,0.9795,model
CTR000000159,V00000061,CTAG004,0.812,model
CTR000000160,V00000062,CTAG013,0.7376,model
CTR000000161,V00000063,CTAG001,0.9527,model
CTR000000162,V00000063,CTAG007,0.7682,model
CTR000000163,V00000063,CTAG012,0.9679,model
CTR000000164,V00000063,CTAG013,0.906,model
CTR000000165,V00000064,CTAG001,0.9175,model
CTR000000166,V00000065,CTAG001,0.9873,model
CTR000000167,V00000065,CTAG005,0.7574,model
CTR000000168,V00000066,CTAG007,0.6706,model
CTR000000169,V00000067,CTAG016,0.6526,model
CTR000000170,V00000067,CTAG005,0.6703,model
CTR000000171,V00000067,CTAG012,0.6584,model
CTR000000172,V00000067,CTAG010,0.6173,model
CTR000000173,V00000068,CTAG003,0.6519,model
CTR000000174,V00000069,CTAG015,0.6914,model
CTR000000175,V00000069,CTAG017,0.6375,model
CTR000000176,V00000069,CTAG002,0.8418,model
CTR000000177,V00000069,CTAG009,0.8203,model
CTR000000178,V00000070,CTAG015,0.6777,model
CTR000000179,V00000070,CTAG014,0.6404,model
CTR000000180,V00000071,CTAG018,0.8201,model
CTR000000181,V00000071,CTAG017,0.7066,model
CTR000000182,V00000071,CTAG007,0.6785,model
CTR000000183,V00000071,CTAG010,0.9379,model
CTR000000184,V00000072,CTAG008,0.7551,model
CTR000000185,V00000073,CTAG012,0.9512,model
CTR000000186,V00000073,CTAG008,0.9103,model
CTR000000187,V00000073,CTAG010,0.6842,model
CTR000000188,V00000073,CTAG005,0.7094,model
CTR000000189,V00000074,CTAG018,0.7333,model
CTR000000190,V00000074,CTAG012,0.6835,model
CTR000000191,V00000075,CTAG016,0.8882,model
CTR000000192,V00000075,CTAG004,0.7798,model
CTR000000193,V00000075,CTAG014,0.9287,model
CTR000000194,V00000075,CTAG003,0.6359,model
CTR000000195,V00000076,CTAG002,0.9958,model
CTR000000196,V00000076,CTAG018,0.8168,model
CTR000000197,V00000076,CTAG003,0.6508,model
CTR000000198,V00000077,CTAG017,0.6134,model
CTR000000199,V00000077,CTAG003,0.7626,model
CTR000000200,V00000077,CTAG014,0.7554,model
CTR000000201,V00000077,CTAG010,0.9666,model
CTR000000202,V00000078,CTAG017,0.9619,model
CTR000000203,V00000078,CTAG006,0.9468,model
CTR000000204,V00000078,CTAG018,0.6414,model
CTR000000205,V00000078,CTAG016,0.6004,model
CTR000000206,V00000079,CTAG018,0.6379,model
CTR000000207,V00000079,CTAG004,0.8238,model
CTR000000208,V00000080,CTAG004,0.6318,model
CTR000000209,V00000080,CTAG011,0.9039,model
CTR000000210,V00000081,CTAG005,0.7309,model
CTR000000211,V00000081,CTAG014,0.855,model
CTR000000212,V00000081,CTAG004,0.9287,model
CTR000000213,V00000081,CTAG008,0.9595,model
CTR000000214,V00000082,CTAG017,0.8799,model
CTR000000215,V00000082,CTAG015,0.8695,model
CTR000000216,V00000083,CTAG009,0.7854,model
CTR000000217,V00000083,CTAG005,0.9956,model
CTR000000218,V00000084,CTAG003,0.7471,model
CTR000000219,V00000085,CTAG007,0.6736,model
CTR000000220,V00000085,CTAG014,0.8491,model
CTR000000221,V00000085,CTAG003,0.8186,model
CTR000000222,V00000085,CTAG004,0.7483,model
CTR000000223,V00000086,CTAG009,0.7897,model
CTR000000224,V00000086,CTAG005,0.7705,model
CTR000000225,V00000086,CTAG007,0.8816,model
CTR000000226,V00000087,CTAG008,0.6565,model
CTR000000227,V00000087,CTAG001,0.7271,model
CTR000000228,V00000088,CTAG011,0.6772,model
CTR000000229,V00000088,CTAG017,0.689,model
CTR000000230,V00000088,CTAG005,0.7619,model
CTR000000231,V00000089,CTAG018,0.9684,model
CTR000000232,V00000089,CTAG003,0.863,model
CTR000000233,V00000089,CTAG001,0.7161,model
CTR000000234,V00000089,CTAG010,0.7414,model
CTR000000235,V00000090,CTAG009,0.7618,model
CTR000000236,V00000090,CTAG016,0.8855,model
CTR000000237,V00000090,CTAG014,0.9083,model
CTR000000238,V00000091,CTAG018,0.6962,model
CTR000000239,V00000091,CTAG004,0.7324,model
CTR000000240,V00000092,CTAG008,0.7382,model
CTR000000241,V00000092,CTAG005,0.7172,model
CTR000000242,V00000092,CTAG003,0.9423,model
CTR000000243,V00000093,CTAG015,0.6684,model
CTR000000244,V00000093,CTAG008,0.7693,model
CTR000000245,V00000094,CTAG013,0.6085,model
CTR000000246,V00000095,CTAG005,0.8637,model
CTR000000247,V00000095,CTAG007,0.6523,model
CTR000000248,V00000095,CTAG003,0.8202,model
CTR000000249,V00000095,CTAG010,0.9337,model
CTR000000250,V00000096,CTAG009,0.8247,model
CTR000000251,V00000096,CTAG018,0.9654,model
CTR000000252,V00000096,CTAG013,0.9147,model
CTR000000253,V00000096,CTAG007,0.7868,model
CTR000000254,V00000097,CTAG001,0.8886,model
CTR000000255,V00000097,CTAG005,0.9884,model
CTR000000256,V00000098,CTAG013,0.816,model
CTR000000257,V00000098,CTAG004,0.7057,model
CTR000000258,V00000098,CTAG010,0.9029,model
CTR000000259,V00000099,CTAG009,0.8257,model
CTR000000260,V00000099,CTAG014,0.6167,model
CTR000000261,V00000099,CTAG006,0.735,model
CTR000000262,V00000100,CTAG008,0.7547,model
CTR000000263,V00000101,CTAG009,0.7561,model
CTR000000264,V00000101,CTAG017,0.9967,model
CTR000000265,V00000101,CTAG014,0.9841,model
CTR000000266,V00000102,CTAG011,0.6352,model
CTR000000267,V00000103,CTAG007,0.9273,model
CTR000000268,V00000103,CTAG005,0.6719,model
CTR000000269,V00000104,CTAG004,0.8745,model
CTR000000270,V00000104,CTAG008,0.8702,model
CTR000000271,V00000105,CTAG018,0.9032,model
CTR000000272,V00000105,CTAG008,0.6218,model
CTR000000273,V00000106,CTAG009,0.7686,model
CTR000000274,V00000106,CTAG015,0.808,model
CTR000000275,V00000107,CTAG004,0.8174,model
CTR000000276,V00000107,CTAG005,0.7755,model
CTR000000277,V00000107,CTAG008,0.74,model
CTR000000278,V00000108,CTAG012,0.969,model
CTR000000279,V00000108,CTAG014,0.7641,model
CTR000000280,V00000108,CTAG016,0.8803,model
CTR000000281,V00000108,CTAG005,0.6774,model
CTR000000282,V00000109,CTAG008,0.882,model
CTR000000283,V00000110,CTAG011,0.7852,model
CTR000000284,V00000110,CTAG002,0.7747,model
CTR000000285,V00000110,CTAG016,0.7643,model
CTR000000286,V00000111,CTAG002,0.9992,model
CTR000000287,V00000111,CTAG007,0.7888,model
CTR000000288,V00000111,CTAG012,0.6084,model
CTR000000289,V00000112,CTAG003,0.6407,model
CTR000000290,V00000112,CTAG018,0.7647,model
CTR000000291,V00000112,CTAG008,0.9689,model
CTR000000292,V00000113,CTAG003,0.9574,model
CTR000000293,V00000113,CTAG004,0.9437,model
CTR000000294,V00000113,CTAG009,0.6843,model
CTR000000295,V00000113,CTAG016,0.8568,model
CTR000000296,V00000114,CTAG002,0.7986,model
CTR000000297,V00000114,CTAG007,0.9657,model
CTR000000298,V00000114,CTAG011,0.8741,model
CTR000000299,V00000115,CTAG001,0.7673,model
CTR000000300,V00000115,CTAG007,0.8986,model
CTR000000301,V00000115,CTAG013,0.9324,model
CTR000000302,V00000115,CTAG018,0.9115,model
CTR000000303,V00000116,CTAG002,0.6641,model
CTR000000304,V00000117,CTAG007,0.9787,model
CTR000000305,V00000117,CTAG018,0.7861,model
CTR000000306,V00000117,CTAG011,0.996,model
CTR000000307,V00000118,CTAG009,0.9125,model
CTR000000308,V00000118,CTAG018,0.7362,model
CTR000000309,V00000118,CTAG002,0.7631,model
CTR000000310,V00000118,CTAG016,0.6723,model
CTR000000311,V00000119,CTAG013,0.8705,model
CTR000000312,V00000119,CTAG014,0.8236,model
CTR000000313,V00000119,CTAG005,0.838,model
CTR000000314,V00000119,CTAG017,0.9102,model
CTR000000315,V00000120,CTAG010,0.7499,model
CTR000000316,V00000120,CTAG015,0.7167,model
CTR000000317,V00000121,CTAG007,0.8449,model
CTR000000318,V00000121,CTAG010,0.9178,model
CTR000000319,V00000121,CTAG017,0.9837,model
CTR000000320,V00000121,CTAG009,0.8659,model
CTR000000321,V00000122,CTAG014,0.976,model
CTR000000322,V00000122,CTAG001,0.8196,model
CTR000000323,V00000122,CTAG009,0.6874,model
CTR000000324,V00000123,CTAG008,0.8357,model
CTR000000325,V00000124,CTAG004,0.7163,model
CTR000000326,V00000125,CTAG006,0.7818,model
CTR000000327,V00000126,CTAG015,0.9755,model
CTR000000328,V00000126,CTAG003,0.6797,model
CTR000000329,V00000126,CTAG010,0.7583,model
CTR000000330,V00000127,CTAG011,0.917,model
CTR000000331,V00000128,CTAG011,0.845,model
CTR000000332,V00000128,CTAG012,0.6901,model
CTR000000333,V00000128,CTAG006,0.9641,model
CTR000000334,V00000128,CTAG001,0.9028,model
CTR000000335,V00000129,CTAG003,0.8286,model
CTR000000336,V00000130,CTAG018,0.6369,model
CTR000000337,V00000130,CTAG011,0.8896,model
CTR000000338,V00000130,CTAG016,0.742,model
CTR000000339,V00000130,CTAG014,0.978,model
CTR000000340,V00000131,CTAG014,0.8924,model
CTR000000341,V00000132,CTAG005,0.6505,model
CTR000000342,V00000132,CTAG011,0.8048,model
CTR000000343,V00000133,CTAG004,0.6191,model
CTR000000344,V00000133,CTAG010,0.7637,model
CTR000000345,V00000133,CTAG006,0.8877,model
CTR000000346,V00000133,CTAG017,0.7315,model
CTR000000347,V00000134,CTAG018,0.934,model
CTR000000348,V00000134,CTAG002,0.7507,model
CTR000000349,V00000135,CTAG011,0.6678,model
CTR000000350,V00000135,CTAG018,0.9964,model
CTR000000351,V00000135,CTAG010,0.6321,model
CTR000000352,V00000135,CTAG003,0.6592,model
CTR000000353,V00000136,CTAG004,0.7133,model
CTR000000354,V00000136,CTAG001,0.6159,model
CTR000000355,V00000137,CTAG013,0.7445,model
CTR000000356,V00000137,CTAG003,0.7489,model
CTR000000357,V00000138,CTAG003,0.8158,model
CTR000000358,V00000138,CTAG002,0.9233,model
CTR000000359,V00000138,CTAG006,0.7127,model
CTR000000360,V00000139,CTAG014,0.786,model
CTR000000361,V00000139,CTAG009,0.9688,model
CTR000000362,V00000139,CTAG013,0.8548,model
CTR000000363,V00000139,CTAG012,0.9238,model
CTR000000364,V00000140,CTAG016,0.7648,model
CTR000000365,V00000140,CTAG010,0.921,model
CTR000000366,V00000141,CTAG008,0.9008,model
CTR000000367,V00000141,CTAG009,0.8432,model
CTR000000368,V00000141,CTAG002,0.9096,model
CTR000000369,V00000142,CTAG014,0.7533,model
CTR000000370,V00000142,CTAG009,0.9878,model
CTR000000371,V00000143,CTAG013,0.7312,model
CTR000000372,V00000143,CTAG011,0.7168,model
CTR000000373,V00000144,CTAG001,0.861,model
CTR000000374,V00000144,CTAG006,0.6681,model
CTR000000375,V00000144,CTAG004,0.6987,model
CTR000000376,V00000144,CTAG005,0.7268,model
CTR000000377,V00000145,CTAG018,0.8975,model
CTR000000378,V00000145,CTAG001,0.8088,model
CTR000000379,V00000145,CTAG009,0.9081,model
CTR000000380,V00000145,CTAG003,0.7967,model
CTR000000381,V00000146,CTAG005,0.8261,model
CTR000000382,V00000146,CTAG001,0.8543,model
CTR000000383,V00000146,CTAG018,0.6668,model
CTR000000384,V00000147,CTAG004,0.9521,model
CTR000000385,V00000147,CTAG013,0.8735,model
CTR000000386,V00000147,CTAG002,0.7116,model
CTR000000387,V00000147,CTAG003,0.7785,model
CTR000000388,V00000148,CTAG014,0.9167,model
CTR000000389,V00000148,CTAG015,0.7838,model
CTR000000390,V00000148,CTAG006,0.6141,model
CTR000000391,V00000148,CTAG001,0.8546,model
CTR000000392,V00000149,CTAG014,0.8376,model
CTR000000393,V00000149,CTAG018,0.7091,model
CTR000000394,V00000149,CTAG001,0.8779,model
CTR000000395,V00000150,CTAG006,0.9259,model
CTR000000396,V00000151,CTAG014,0.8519,model
CTR000000397,V00000152,CTAG008,0.7476,model
CTR000000398,V00000152,CTAG017,0.7942,model
CTR000000399,V00000152,CTAG016,0.8512,model
CTR000000400,V00000152,CTAG009,0.6266,model
CTR000000401,V00000153,CTAG018,0.6795,model
CTR000000402,V00000154,CTAG001,0.9812,model
CTR000000403,V00000154,CTAG004,0.7796,model
CTR000000404,V00000154,CTAG017,0.9566,model
CTR000000405,V00000155,CTAG013,0.7199,model
CTR000000406,V00000155,CTAG009,0.7236,model
CTR000000407,V00000155,CTAG006,0.9495,model
CTR000000408,V00000155,CTAG001,0.9118,model
CTR000000409,V00000156,CTAG007,0.9678,model
CTR000000410,V00000156,CTAG009,0.7952,model
CTR000000411,V00000157,CTAG003,0.7592,model
CTR000000412,V00000158,CTAG008,0.8351,model
CTR000000413,V00000158,CTAG012,0.9059,model
CTR000000414,V00000159,CTAG012,0.8234,model
CTR000000415,V00000159,CTAG018,0.7676,model
CTR000000416,V00000159,CTAG001,0.9742,model
CTR000000417,V00000159,CTAG006,0.6805,model
CTR000000418,V00000160,CTAG005,0.8976,model
CTR000000419,V00000160,CTAG002,0.7665,model
CTR000000420,V00000161,CTAG003,0.9952,model
CTR000000421,V00000161,CTAG016,0.8994,model
CTR000000422,V00000162,CTAG012,0.6619,model
CTR000000423,V00000162,CTAG003,0.7991,model
CTR000000424,V00000162,CTAG016,0.77,model
CTR000000425,V00000162,CTAG007,0.8981,model
CTR000000426,V00000163,CTAG006,0.9725,model
CTR000000427,V00000164,CTAG014,0.8758,model
CTR000000428,V00000165,CTAG009,0.9213,model
CTR000000429,V00000166,CTAG013,0.724,model
CTR000000430,V00000166,CTAG007,0.8849,model
CTR000000431,V00000167,CTAG017,0.9711,model
CTR000000432,V00000167,CTAG003,0.9486,model
CTR000000433,V00000167,CTAG004,0.6064,model
CTR000000434,V00000167,CTAG002,0.7838,model
CTR000000435,V00000168,CTAG001,0.9122,model
CTR000000436,V00000169,CTAG001,0.9943,model
CTR000000437,V00000169,CTAG009,0.9119,model
CTR000000438,V00000169,CTAG005,0.803,model
CTR000000439,V00000170,CTAG014,0.6921,model
CTR000000440,V00000170,CTAG013,0.8633,model
CTR000000441,V00000170,CTAG016,0.8984,model
CTR000000442,V00000171,CTAG007,0.9411,model
CTR000000443,V00000172,CTAG007,0.725,model
CTR000000444,V00000173,CTAG006,0.6792,model
CTR000000445,V00000173,CTAG009,0.7248,model
CTR000000446,V00000174,CTAG013,0.8818,model
CTR000000447,V00000174,CTAG015,0.9656,model
CTR000000448,V00000175,CTAG011,0.6056,model
CTR000000449,V00000175,CTAG003,0.9077,model
CTR000000450,V00000176,CTAG013,0.7398,model
CTR000000451,V00000176,CTAG016,0.6161,model
CTR000000452,V00000176,CTAG001,0.7194,model
CTR000000453,V00000177,CTAG010,0.9197,model
CTR000000454,V00000177,CTAG007,0.6799,model
CTR000000455,V00000177,CTAG018,0.672,model
CTR000000456,V00000178,CTAG003,0.7065,model
CTR000000457,V00000179,CTAG016,0.9712,model
CTR000000458,V00000179,CTAG009,0.7419,model
CTR000000459,V00000179,CTAG010,0.7854,model
CTR000000460,V00000179,CTAG014,0.9527,model
CTR000000461,V00000180,CTAG011,0.975,model
CTR000000462,V00000181,CTAG014,0.6199,model
CTR000000463,V00000181,CTAG016,0.6881,model
CTR000000464,V00000181,CTAG010,0.8611,model
CTR000000465,V00000181,CTAG001,0.8982,model
CTR000000466,V00000182,CTAG015,0.8607,model
CTR000000467,V00000182,CTAG016,0.8817,model
CTR000000468,V00000182,CTAG017,0.8829,model
CTR000000469,V00000182,CTAG001,0.7334,model
CTR000000470,V00000183,CTAG002,0.6207,model
CTR000000471,V00000183,CTAG015,0.7693,model
CTR000000472,V00000183,CTAG005,0.8058,model
CTR000000473,V00000183,CTAG008,0.726,model
CTR000000474,V00000184,CTAG002,0.6902,model
CTR000000475,V00000184,CTAG009,0.6998,model
CTR000000476,V00000184,CTAG010,0.7879,model
CTR000000477,V00000185,CTAG016,0.7582,model
CTR000000478,V00000185,CTAG003,0.781,model
CTR000000479,V00000185,CTAG012,0.67,model
CTR000000480,V00000186,CTAG018,0.9989,model
CTR000000481,V00000186,CTAG007,0.9763,model
CTR000000482,V00000186,CTAG004,0.7879,model
CTR000000483,V00000186,CTAG013,0.7823,model
CTR000000484,V00000187,CTAG015,0.7982,model
CTR000000485,V00000187,CTAG013,0.7525,model
CTR000000486,V00000187,CTAG004,0.7982,model
CTR000000487,V00000187,CTAG006,0.6161,model
CTR000000488,V00000188,CTAG017,0.952,model
CTR000000489,V00000188,CTAG013,0.9225,model
CTR000000490,V00000188,CTAG006,0.6884,model
CTR000000491,V00000188,CTAG018,0.8745,model
CTR000000492,V00000189,CTAG008,0.8819,model
CTR000000493,V00000189,CTAG004,0.9732,model
CTR000000494,V00000189,CTAG014,0.9372,model
CTR000000495,V00000189,CTAG011,0.8103,model
CTR000000496,V00000190,CTAG003,0.8583,model
CTR000000497,V00000190,CTAG004,0.9628,model
CTR000000498,V00000190,CTAG012,0.8394,model
CTR000000499,V00000191,CTAG006,0.7654,model
CTR000000500,V00000192,CTAG004,0.7726,model
CTR000000501,V00000193,CTAG011,0.9292,model
CTR000000502,V00000193,CTAG015,0.7915,model
CTR000000503,V00000193,CTAG016,0.8992,model
CTR000000504,V00000193,CTAG013,0.6929,model
CTR000000505,V00000194,CTAG004,0.6122,model
CTR000000506,V00000194,CTAG009,0.7653,model
CTR000000507,V00000195,CTAG007,0.895,model
CTR000000508,V00000195,CTAG010,0.797,model
CTR000000509,V00000195,CTAG014,0.8243,model
CTR000000510,V00000196,CTAG003,0.8764,model
CTR000000511,V00000196,CTAG006,0.6594,model
CTR000000512,V00000197,CTAG011,0.6623,model
CTR000000513,V00000197,CTAG010,0.7756,model
CTR000000514,V00000198,CTAG014,0.6657,model
CTR000000515,V00000198,CTAG011,0.8138,model
CTR000000516,V00000198,CTAG002,0.7391,model
CTR000000517,V00000198,CTAG005,0.8118,model
CTR000000518,V00000199,CTAG016,0.67,model
CTR000000519,V00000200,CTAG006,0.9664,model
CTR000000520,V00000201,CTAG001,0.6894,model
CTR000000521,V00000201,CTAG002,0.9736,model
CTR000000522,V00000201,CTAG010,0.662,model
CTR000000523,V00000202,CTAG014,0.8724,model
CTR000000524,V00000202,CTAG016,0.8617,model
CTR000000525,V00000202,CTAG017,0.7726,model
CTR000000526,V00000203,CTAG001,0.9654,model
CTR000000527,V00000203,CTAG016,0.7968,model
CTR000000528,V00000203,CTAG012,0.6677,model
CTR000000529,V00000203,CTAG003,0.8958,model
CTR000000530,V00000204,CTAG007,0.6608,model
CTR000000531,V00000205,CTAG003,0.6835,model
CTR000000532,V00000205,CTAG005,0.805,model
CTR000000533,V00000205,CTAG012,0.671,model
CTR000000534,V00000205,CTAG018,0.7655,model
CTR000000535,V00000206,CTAG005,0.9203,model
CTR000000536,V00000206,CTAG009,0.9135,model
CTR000000537,V00000207,CTAG010,0.6981,model
CTR000000538,V00000207,CTAG017,0.7345,model
CTR000000539,V00000207,CTAG018,0.829,model
CTR000000540,V00000208,CTAG010,0.669,model
CTR000000541,V00000208,CTAG017,0.9843,model
CTR000000542,V00000208,CTAG012,0.7536,model
CTR000000543,V00000208,CTAG002,0.8869,model
CTR000000544,V00000209,CTAG016,0.8103,model
CTR000000545,V00000210,CTAG017,0.7553,model
CTR000000546,V00000210,CTAG018,0.7795,model
CTR000000547,V00000210,CTAG013,0.7458,model
CTR000000548,V00000211,CTAG005,0.6419,model
CTR000000549,V00000211,CTAG015,0.9132,model
CTR000000550,V00000211,CTAG016,0.9367,model
CTR000000551,V00000211,CTAG010,0.6,model
CTR000000552,V00000212,CTAG014,0.72,model
CTR000000553,V00000213,CTAG004,0.7136,model
CTR000000554,V00000214,CTAG006,0.7473,model
CTR000000555,V00000215,CTAG001,0.9625,model
CTR000000556,V00000215,CTAG015,0.8309,model
CTR000000557,V00000216,CTAG006,0.9503,model
CTR000000558,V00000216,CTAG008,0.8267,model
CTR000000559,V00000216,CTAG013,0.716,model
