churn_event_id,user_id,identified_date,churn_level,inactive_days,churn_reason
CHURN00000058,U0000099,2026-08-28,high,39,连续未登录
CHURN00000059,U0000100,2026-08-28,high,38,活跃频次下降
CHURN00000060,U0000101,2026-08-28,high,75,活跃频次下降
CHURN00000061,U0000102,2026-08-28,medium,12,观看时长下降
CHURN00000062,U0000103,2026-08-28,high,174,观看时长下降
CHURN00000063,U0000104,2026-08-28,high,31,连续未登录
CHURN00000064,U0000105,2026-08-28,high,78,连续未登录
CHURN00000065,U0000106,2026-08-28,high,71,连续未登录
CHURN00000066,U0000111,2026-08-28,high,147,观看时长下降
CHURN00000067,U0000113,2026-08-28,high,42,连续未登录
CHURN00000068,U0000115,2026-08-28,medium,19,活跃频次下降
CHURN00000069,U0000116,2026-08-28,high,45,观看时长下降
CHURN00000070,U0000117,2026-08-28,medium,12,观看时长下降
CHURN00000071,U0000121,2026-08-28,high,32,连续未登录
CHURN00000072,U0000124,2026-08-28,medium,16,连续未登录
CHURN00000073,U0000126,2026-08-28,high,44,观看时长下降
CHURN00000074,U0000128,2026-08-28,medium,23,连续未登录
CHURN00000075,U0000129,2026-08-28,high,228,连续未登录
CHURN00000076,U0000130,2026-08-28,medium,24,活跃频次下降
CHURN00000077,U0000131,2026-08-28,high,64,观看时长下降
CHURN00000078,U0000132,2026-08-28,medium,11,连续未登录
CHURN00000079,U0000134,2026-08-28,medium,12,连续未登录
CHURN00000080,U0000137,2026-08-28,medium,22,活跃频次下降
CHURN00000081,U0000138,2026-08-28,medium,23,观看时长下降
CHURN00000082,U0000139,2026-08-28,medium,12,观看时长下降
CHURN00000083,U0000141,2026-08-28,medium,17,连续未登录
CHURN00000084,U0000142,2026-08-28,high,66,活跃频次下降
CHURN00000085,U0000145,2026-08-28,medium,23,连续未登录
CHURN00000086,U0000149,2026-08-28,medium,8,活跃频次下降
CHURN00000087,U0000150,2026-08-28,high,76,连续未登录
CHURN00000088,U0000154,2026-08-28,medium,15,连续未登录
CHURN00000089,U0000156,2026-08-28,medium,26,连续未登录
CHURN00000090,U0000157,2026-08-28,high,33,观看时长下降
CHURN00000091,U0000158,2026-08-28,medium,13,连续未登录
CHURN00000092,U0000159,2026-08-28,medium,20,连续未登录
CHURN00000093,U0000160,2026-08-28,high,118,活跃频次下降
CHURN00000094,U0000161,2026-08-28,high,51,连续未登录
CHURN00000095,U0000163,2026-08-28,medium,20,观看时长下降
CHURN00000096,U0000165,2026-08-28,medium,17,观看时长下降
CHURN00000097,U0000166,2026-08-28,high,81,活跃频次下降
CHURN00000098,U0000167,2026-08-28,high,37,观看时长下降
CHURN00000099,U0000168,2026-08-28,high,58,活跃频次下降
CHURN00000100,U0000169,2026-08-28,high,32,活跃频次下降
CHURN00000101,U0000172,2026-08-28,high,44,活跃频次下降
CHURN00000102,U0000175,2026-08-28,high,86,连续未登录
CHURN00000103,U0000176,2026-08-28,high,82,观看时长下降
CHURN00000104,U0000177,2026-08-28,high,76,活跃频次下降
CHURN00000105,U0000178,2026-08-28,high,105,连续未登录
CHURN00000106,U0000182,2026-08-28,high,37,连续未登录
CHURN00000107,U0000184,2026-08-28,high,146,连续未登录
CHURN00000108,U0000187,2026-08-28,medium,8,连续未登录
CHURN00000109,U0000188,2026-08-28,medium,16,连续未登录
CHURN00000110,U0000189,2026-08-28,high,82,活跃频次下降
CHURN00000111,U0000194,2026-08-28,medium,20,连续未登录
CHURN00000112,U0000195,2026-08-28,high,86,活跃频次下降
CHURN00000113,U0000198,2026-08-28,medium,12,连续未登录
CHURN00000114,U0000200,2026-08-28,medium,23,连续未登录
CHURN00000115,U0000201,2026-08-28,medium,18,活跃频次下降
CHURN00000116,U0000202,2026-08-28,medium,8,连续未登录
CHURN00000117,U0000203,2026-08-28,high,42,观看时长下降
CHURN00000118,U0000204,2026-08-28,high,78,连续未登录
CHURN00000119,U0000206,2026-08-28,high,37,观看时长下降
CHURN00000120,U0000207,2026-08-28,medium,17,活跃频次下降
CHURN00000121,U0000211,2026-08-28,high,42,观看时长下降
CHURN00000122,U0000213,2026-08-28,medium,22,观看时长下降
CHURN00000123,U0000214,2026-08-28,high,34,连续未登录
CHURN00000124,U0000218,2026-08-28,medium,25,连续未登录
CHURN00000125,U0000219,2026-08-28,high,33,连续未登录
CHURN00000126,U0000220,2026-08-28,medium,22,活跃频次下降
CHURN00000127,U0000222,2026-08-28,medium,23,活跃频次下降
CHURN00000128,U0000223,2026-08-28,medium,8,连续未登录
CHURN00000129,U0000229,2026-08-28,high,88,活跃频次下降
CHURN00000130,U0000231,2026-08-28,high,73,活跃频次下降
CHURN00000131,U0000232,2026-08-28,medium,10,观看时长下降
CHURN00000132,U0000234,2026-08-28,medium,13,连续未登录
CHURN00000133,U0000236,2026-08-28,high,116,观看时长下降
CHURN00000134,U0000237,2026-08-28,medium,13,连续未登录
CHURN00000135,U0000238,2026-08-28,high,56,活跃频次下降
CHURN00000136,U0000239,2026-08-28,medium,13,连续未登录
CHURN00000137,U0000244,2026-08-28,medium,17,观看时长下降
CHURN00000138,U0000246,2026-08-28,medium,8,观看时长下降
CHURN00000139,U0000247,2026-08-28,high,102,活跃频次下降
CHURN00000140,U0000248,2026-08-28,high,42,活跃频次下降
CHURN00000141,U0000250,2026-08-28,medium,12,观看时长下降
CHURN00000142,U0000252,2026-08-28,high,40,活跃频次下降
CHURN00000143,U0000253,2026-08-28,medium,29,连续未登录
CHURN00000144,U0000255,2026-08-28,medium,16,连续未登录
CHURN00000145,U0000256,2026-08-28,high,81,活跃频次下降
CHURN00000146,U0000258,2026-08-28,high,66,连续未登录
CHURN00000147,U0000261,2026-08-28,medium,10,连续未登录
CHURN00000148,U0000262,2026-08-28,high,38,连续未登录
CHURN00000149,U0000263,2026-08-28,medium,20,连续未登录
CHURN00000150,U0000264,2026-08-28,medium,29,连续未登录
CHURN00000151,U0000271,2026-08-28,high,123,活跃频次下降
CHURN00000152,U0000272,2026-08-28,high,94,观看时长下降
CHURN00000153,U0000274,2026-08-28,high,203,活跃频次下降
CHURN00000154,U0000275,2026-08-28,high,71,观看时长下降
CHURN00000155,U0000278,2026-08-28,medium,19,观看时长下降
CHURN00000156,U0000279,2026-08-28,medium,12,活跃频次下降
CHURN00000157,U0000281,2026-08-28,high,147,活跃频次下降
CHURN00000158,U0000289,2026-08-28,high,32,观看时长下降
CHURN00000159,U0000291,2026-08-28,high,53,活跃频次下降
CHURN00000160,U0000293,2026-08-28,high,184,连续未登录
CHURN00000161,U0000295,2026-08-28,medium,14,连续未登录
CHURN00000162,U0000296,2026-08-28,high,85,连续未登录
CHURN00000163,U0000297,2026-08-28,medium,18,连续未登录
CHURN00000164,U0000298,2026-08-28,medium,11,观看时长下降
CHURN00000165,U0000299,2026-08-28,high,60,连续未登录
CHURN00000166,U0000300,2026-08-28,high,47,观看时长下降
CHURN00000167,U0000301,2026-08-28,high,41,活跃频次下降
CHURN00000168,U0000305,2026-08-28,high,32,观看时长下降
CHURN00000169,U0000306,2026-08-28,medium,30,活跃频次下降
CHURN00000170,U0000307,2026-08-28,high,31,连续未登录
CHURN00000171,U0000311,2026-08-28,medium,30,活跃频次下降
CHURN00000172,U0000312,2026-08-28,high,107,连续未登录
CHURN00000173,U0000313,2026-08-28,medium,23,连续未登录
CHURN00000174,U0000314,2026-08-28,high,99,活跃频次下降
CHURN00000175,U0000315,2026-08-28,medium,22,连续未登录
CHURN00000176,U0000316,2026-08-28,medium,15,连续未登录
CHURN00000177,U0000318,2026-08-28,medium,15,活跃频次下降
CHURN00000178,U0000322,2026-08-28,medium,10,连续未登录
CHURN00000179,U0000324,2026-08-28,high,75,连续未登录
CHURN00000180,U0000325,2026-08-28,medium,18,观看时长下降
CHURN00000181,U0000326,2026-08-28,high,93,活跃频次下降
CHURN00000182,U0000329,2026-08-28,medium,13,连续未登录
CHURN00000183,U0000333,2026-08-28,medium,8,连续未登录
CHURN00000184,U0000336,2026-08-28,medium,21,观看时长下降
CHURN00000185,U0000337,2026-08-28,high,39,活跃频次下降
CHURN00000186,U0000340,2026-08-28,medium,8,观看时长下降
CHURN00000187,U0000341,2026-08-28,high,111,连续未登录
CHURN00000188,U0000345,2026-08-28,high,138,连续未登录
CHURN00000189,U0000347,2026-08-28,medium,9,活跃频次下降
CHURN00000190,U0000348,2026-08-28,high,76,连续未登录
CHURN00000191,U0000350,2026-08-28,medium,13,连续未登录
CHURN00000192,U0000351,2026-08-28,high,131,观看时长下降
CHURN00000193,U0000352,2026-08-28,high,70,活跃频次下降
CHURN00000194,U0000353,2026-08-28,high,35,连续未登录
CHURN00000195,U0000354,2026-08-28,medium,9,活跃频次下降
CHURN00000196,U0000356,2026-08-28,high,104,观看时长下降
CHURN00000197,U0000358,2026-08-28,high,31,活跃频次下降
CHURN00000198,U0000360,2026-08-28,high,63,活跃频次下降
CHURN00000199,U0000364,2026-08-28,medium,27,活跃频次下降
CHURN00000200,U0000365,2026-08-28,medium,16,活跃频次下降
CHURN00000201,U0000366,2026-08-28,medium,11,活跃频次下降
CHURN00000202,U0000369,2026-08-28,medium,15,连续未登录
CHURN00000203,U0000373,2026-08-28,high,32,连续未登录
CHURN00000204,U0000376,2026-08-28,medium,22,观看时长下降
CHURN00000205,U0000377,2026-08-28,high,38,连续未登录
CHURN00000206,U0000378,2026-08-28,medium,9,观看时长下降
CHURN00000207,U0000379,2026-08-28,high,46,活跃频次下降
CHURN00000208,U0000380,2026-08-28,medium,9,连续未登录
CHURN00000209,U0000381,2026-08-28,high,146,活跃频次下降
CHURN00000210,U0000383,2026-08-28,high,43,连续未登录
CHURN00000211,U0000385,2026-08-28,medium,11,活跃频次下降
CHURN00000212,U0000386,2026-08-28,medium,30,连续未登录
CHURN00000213,U0000388,2026-08-28,medium,12,活跃频次下降
CHURN00000214,U0000389,2026-08-28,medium,17,连续未登录
CHURN00000215,U0000392,2026-08-28,high,56,连续未登录
CHURN00000216,U0000393,2026-08-28,medium,15,观看时长下降
CHURN00000217,U0000394,2026-08-28,medium,16,观看时长下降
CHURN00000218,U0000396,2026-08-28,medium,9,活跃频次下降
CHURN00000219,U0000397,2026-08-28,high,76,活跃频次下降
CHURN00000220,U0000398,2026-08-28,medium,19,观看时长下降
CHURN00000221,U0000400,2026-08-28,high,79,连续未登录
CHURN00000222,U0000402,2026-08-28,medium,24,连续未登录
CHURN00000223,U0000407,2026-08-28,high,61,活跃频次下降
CHURN00000224,U0000408,2026-08-28,medium,13,活跃频次下降
CHURN00000225,U0000409,2026-08-28,medium,9,观看时长下降
CHURN00000226,U0000410,2026-08-28,medium,14,连续未登录
CHURN00000227,U0000411,2026-08-28,medium,24,活跃频次下降
CHURN00000228,U0000413,2026-08-28,high,68,连续未登录
CHURN00000229,U0000414,2026-08-28,medium,13,连续未登录
CHURN00000230,U0000416,2026-08-28,high,66,连续未登录
CHURN00000231,U0000418,2026-08-28,medium,19,连续未登录
CHURN00000232,U0000419,2026-08-28,medium,20,活跃频次下降
CHURN00000233,U0000420,2026-08-28,medium,8,连续未登录
CHURN00000234,U0000422,2026-08-28,high,73,连续未登录
CHURN00000235,U0000423,2026-08-28,high,65,观看时长下降
CHURN00000236,U0000424,2026-08-28,high,37,观看时长下降
CHURN00000237,U0000426,2026-08-28,high,82,活跃频次下降
CHURN00000238,U0000427,2026-08-28,medium,30,连续未登录
CHURN00000239,U0000428,2026-08-28,medium,14,连续未登录
CHURN00000240,U0000430,2026-08-28,medium,28,活跃频次下降
CHURN00000241,U0000434,2026-08-28,medium,22,观看时长下降
CHURN00000242,U0000437,2026-08-28,medium,10,活跃频次下降
CHURN00000243,U0000438,2026-08-28,high,213,连续未登录
CHURN00000244,U0000440,2026-08-28,medium,8,活跃频次下降
CHURN00000245,U0000442,2026-08-28,medium,9,连续未登录
CHURN00000246,U0000445,2026-08-28,medium,15,活跃频次下降
CHURN00000247,U0000446,2026-08-28,high,64,活跃频次下降
CHURN00000248,U0000447,2026-08-28,medium,12,观看时长下降
CHURN00000249,U0000448,2026-08-28,high,179,连续未登录
CHURN00000250,U0000449,2026-08-28,high,33,观看时长下降
CHURN00000251,U0000450,2026-08-28,high,50,活跃频次下降
CHURN00000252,U0000452,2026-08-28,medium,19,连续未登录
CHURN00000253,U0000454,2026-08-28,medium,15,活跃频次下降
CHURN00000254,U0000455,2026-08-28,high,187,活跃频次下降
CHURN00000255,U0000457,2026-08-28,medium,17,连续未登录
CHURN00000256,U0000458,2026-08-28,high,50,连续未登录
CHURN00000257,U0000459,2026-08-28,medium,23,观看时长下降
CHURN00000258,U0000462,2026-08-28,high,91,连续未登录
CHURN00000259,U0000464,2026-08-28,medium,8,连续未登录
CHURN00000260,U0000466,2026-08-28,high,101,连续未登录
CHURN00000261,U0000469,2026-08-28,high,66,连续未登录
CHURN00000262,U0000470,2026-08-28,high,47,连续未登录
CHURN00000263,U0000471,2026-08-28,medium,9,连续未登录
CHURN00000264,U0000472,2026-08-28,high,44,观看时长下降
CHURN00000265,U0000473,2026-08-28,high,63,活跃频次下降
CHURN00000266,U0000474,2026-08-28,medium,21,观看时长下降
CHURN00000267,U0000477,2026-08-28,medium,9,连续未登录
CHURN00000268,U0000481,2026-08-28,high,172,连续未登录
CHURN00000269,U0000483,2026-08-28,medium,8,观看时长下降
CHURN00000270,U0000486,2026-08-28,high,94,观看时长下降
CHURN00000271,U0000490,2026-08-28,high,32,观看时长下降
CHURN00000272,U0000491,2026-08-28,high,40,观看时长下降
CHURN00000273,U0000493,2026-08-28,high,53,连续未登录
CHURN00000274,U0000496,2026-08-28,medium,9,活跃频次下降
CHURN00000275,U0000498,2026-08-28,medium,24,活跃频次下降
CHURN00000276,U0000499,2026-08-28,medium,10,观看时长下降
CHURN00000277,U0000500,2026-08-28,medium,19,活跃频次下降
CHURN00000278,U0000502,2026-08-28,medium,8,观看时长下降
CHURN00000279,U0000505,2026-08-28,high,59,观看时长下降
CHURN00000280,U0000506,2026-08-28,medium,22,连续未登录
CHURN00000281,U0000507,2026-08-28,medium,17,连续未登录
CHURN00000282,U0000511,2026-08-28,high,35,连续未登录
CHURN00000283,U0000514,2026-08-28,medium,26,活跃频次下降
CHURN00000284,U0000515,2026-08-28,medium,25,连续未登录
CHURN00000285,U0000517,2026-08-28,high,87,活跃频次下降
CHURN00000286,U0000519,2026-08-28,medium,27,连续未登录
CHURN00000287,U0000523,2026-08-28,medium,10,连续未登录
CHURN00000288,U0000527,2026-08-28,medium,16,观看时长下降
CHURN00000289,U0000530,2026-08-28,high,135,连续未登录
CHURN00000290,U0000534,2026-08-28,high,77,活跃频次下降
CHURN00000291,U0000536,2026-08-28,medium,26,观看时长下降
CHURN00000292,U0000538,2026-08-28,high,113,连续未登录
CHURN00000293,U0000539,2026-08-28,high,104,观看时长下降
CHURN00000294,U0000540,2026-08-28,medium,19,连续未登录
CHURN00000295,U0000542,2026-08-28,high,73,连续未登录
CHURN00000296,U0000545,2026-08-28,medium,27,连续未登录
CHURN00000297,U0000546,2026-08-28,high,34,观看时长下降
CHURN00000298,U0000549,2026-08-28,high,66,连续未登录
CHURN00000299,U0000550,2026-08-28,medium,11,连续未登录
CHURN00000300,U0000552,2026-08-28,high,37,观看时长下降
CHURN00000301,U0000555,2026-08-28,medium,22,活跃频次下降
CHURN00000302,U0000556,2026-08-28,high,96,活跃频次下降
CHURN00000303,U0000557,2026-08-28,medium,29,活跃频次下降
CHURN00000304,U0000558,2026-08-28,medium,10,连续未登录
CHURN00000305,U0000559,2026-08-28,high,43,连续未登录
CHURN00000306,U0000560,2026-08-28,medium,9,连续未登录
CHURN00000307,U0000561,2026-08-28,high,89,观看时长下降
CHURN00000308,U0000563,2026-08-28,high,38,连续未登录
CHURN00000309,U0000564,2026-08-28,high,96,活跃频次下降
CHURN00000310,U0000567,2026-08-28,medium,24,观看时长下降
CHURN00000311,U0000568,2026-08-28,medium,11,观看时长下降
CHURN00000312,U0000569,2026-08-28,high,78,活跃频次下降
CHURN00000313,U0000571,2026-08-28,medium,8,活跃频次下降
CHURN00000314,U0000572,2026-08-28,high,63,活跃频次下降
CHURN00000315,U0000575,2026-08-28,high,87,活跃频次下降
CHURN00000316,U0000576,2026-08-28,high,35,连续未登录
CHURN00000317,U0000581,2026-08-28,medium,8,活跃频次下降
CHURN00000318,U0000582,2026-08-28,medium,19,连续未登录
CHURN00000319,U0000583,2026-08-28,high,207,观看时长下降
CHURN00000320,U0000584,2026-08-28,high,171,连续未登录
CHURN00000321,U0000587,2026-08-28,high,196,活跃频次下降
CHURN00000322,U0000588,2026-08-28,medium,24,连续未登录
CHURN00000323,U0000589,2026-08-28,medium,10,活跃频次下降
CHURN00000324,U0000591,2026-08-28,medium,19,连续未登录
CHURN00000325,U0000595,2026-08-28,medium,13,连续未登录
CHURN00000326,U0000596,2026-08-28,medium,17,活跃频次下降
CHURN00000327,U0000597,2026-08-28,high,190,观看时长下降
CHURN00000328,U0000598,2026-08-28,high,38,活跃频次下降
CHURN00000329,U0000601,2026-08-28,medium,8,活跃频次下降
CHURN00000330,U0000602,2026-08-28,high,57,连续未登录
CHURN00000331,U0000604,2026-08-28,medium,16,观看时长下降
CHURN00000332,U0000606,2026-08-28,medium,17,观看时长下降
CHURN00000333,U0000608,2026-08-28,medium,8,连续未登录
CHURN00000334,U0000609,2026-08-28,high,114,活跃频次下降
CHURN00000335,U0000613,2026-08-28,high,76,活跃频次下降
CHURN00000336,U0000615,2026-08-28,high,86,活跃频次下降
CHURN00000337,U0000616,2026-08-28,medium,24,活跃频次下降
CHURN00000338,U0000617,2026-08-28,high,79,活跃频次下降
CHURN00000339,U0000618,2026-08-28,medium,16,观看时长下降
CHURN00000340,U0000622,2026-08-28,medium,18,观看时长下降
CHURN00000341,U0000623,2026-08-28,medium,9,连续未登录
CHURN00000342,U0000624,2026-08-28,medium,21,连续未登录
CHURN00000343,U0000626,2026-08-28,high,174,连续未登录
CHURN00000344,U0000628,2026-08-28,medium,8,观看时长下降
CHURN00000345,U0000629,2026-08-28,high,45,观看时长下降
CHURN00000346,U0000630,2026-08-28,medium,10,活跃频次下降
CHURN00000347,U0000631,2026-08-28,medium,13,活跃频次下降
CHURN00000348,U0000632,2026-08-28,medium,10,活跃频次下降
CHURN00000349,U0000633,2026-08-28,medium,27,活跃频次下降
CHURN00000350,U0000634,2026-08-28,high,84,连续未登录
CHURN00000351,U0000637,2026-08-28,medium,21,观看时长下降
CHURN00000352,U0000641,2026-08-28,medium,15,活跃频次下降
CHURN00000353,U0000644,2026-08-28,high,39,观看时长下降
CHURN00000354,U0000645,2026-08-28,high,35,活跃频次下降
CHURN00000355,U0000646,2026-08-28,high,130,观看时长下降
CHURN00000356,U0000648,2026-08-28,medium,26,连续未登录
CHURN00000357,U0000650,2026-08-28,high,36,连续未登录
CHURN00000358,U0000651,2026-08-28,high,101,活跃频次下降
CHURN00000359,U0000653,2026-08-28,high,196,观看时长下降
CHURN00000360,U0000654,2026-08-28,medium,9,活跃频次下降
CHURN00000361,U0000655,2026-08-28,high,211,连续未登录
CHURN00000362,U0000656,2026-08-28,medium,8,活跃频次下降
CHURN00000363,U0000659,2026-08-28,medium,13,连续未登录
CHURN00000364,U0000661,2026-08-28,medium,23,连续未登录
CHURN00000365,U0000662,2026-08-28,high,185,连续未登录
CHURN00000366,U0000664,2026-08-28,high,75,连续未登录
CHURN00000367,U0000665,2026-08-28,medium,18,连续未登录
CHURN00000368,U0000668,2026-08-28,medium,8,连续未登录
CHURN00000369,U0000669,2026-08-28,high,122,连续未登录
CHURN00000370,U0000671,2026-08-28,high,39,连续未登录
CHURN00000371,U0000672,2026-08-28,high,87,观看时长下降
CHURN00000372,U0000676,2026-08-28,medium,24,活跃频次下降
CHURN00000373,U0000677,2026-08-28,medium,22,连续未登录
CHURN00000374,U0000678,2026-08-28,high,211,连续未登录
CHURN00000375,U0000679,2026-08-28,high,36,观看时长下降
CHURN00000376,U0000681,2026-08-28,high,113,观看时长下降
CHURN00000377,U0000683,2026-08-28,high,132,连续未登录
CHURN00000378,U0000684,2026-08-28,medium,16,连续未登录
CHURN00000379,U0000685,2026-08-28,high,89,观看时长下降
CHURN00000380,U0000686,2026-08-28,high,64,连续未登录
CHURN00000381,U0000687,2026-08-28,medium,21,连续未登录
CHURN00000382,U0000688,2026-08-28,medium,28,活跃频次下降
CHURN00000383,U0000689,2026-08-28,medium,22,连续未登录
CHURN00000384,U0000690,2026-08-28,medium,16,观看时长下降
CHURN00000385,U0000691,2026-08-28,medium,12,观看时长下降
CHURN00000386,U0000692,2026-08-28,high,38,观看时长下降
CHURN00000387,U0000693,2026-08-28,high,38,活跃频次下降
CHURN00000388,U0000694,2026-08-28,medium,16,活跃频次下降
CHURN00000389,U0000695,2026-08-28,medium,11,观看时长下降
CHURN00000390,U0000696,2026-08-28,medium,9,活跃频次下降
CHURN00000391,U0000697,2026-08-28,medium,19,活跃频次下降
CHURN00000392,U0000701,2026-08-28,high,32,观看时长下降
CHURN00000393,U0000703,2026-08-28,medium,8,连续未登录
CHURN00000394,U0000705,2026-08-28,high,114,连续未登录
CHURN00000395,U0000706,2026-08-28,medium,15,活跃频次下降
CHURN00000396,U0000709,2026-08-28,high,54,连续未登录
CHURN00000397,U0000710,2026-08-28,medium,21,活跃频次下降
CHURN00000398,U0000712,2026-08-28,high,42,活跃频次下降
CHURN00000399,U0000713,2026-08-28,medium,16,连续未登录
CHURN00000400,U0000714,2026-08-28,high,184,观看时长下降
CHURN00000401,U0000716,2026-08-28,medium,8,连续未登录
CHURN00000402,U0000718,2026-08-28,medium,9,连续未登录
CHURN00000403,U0000719,2026-08-28,high,38,观看时长下降
CHURN00000404,U0000720,2026-08-28,medium,27,活跃频次下降
CHURN00000405,U0000721,2026-08-28,medium,30,连续未登录
CHURN00000406,U0000724,2026-08-28,medium,9,观看时长下降
CHURN00000407,U0000726,2026-08-28,medium,16,活跃频次下降
CHURN00000408,U0000728,2026-08-28,high,153,连续未登录
CHURN00000409,U0000729,2026-08-28,high,59,连续未登录
CHURN00000410,U0000730,2026-08-28,medium,16,观看时长下降
CHURN00000411,U0000733,2026-08-28,medium,16,观看时长下降
CHURN00000412,U0000734,2026-08-28,high,97,活跃频次下降
CHURN00000413,U0000735,2026-08-28,medium,10,活跃频次下降
CHURN00000414,U0000736,2026-08-28,high,71,活跃频次下降
CHURN00000415,U0000737,2026-08-28,medium,13,连续未登录
CHURN00000416,U0000738,2026-08-28,medium,20,连续未登录
CHURN00000417,U0000739,2026-08-28,high,55,连续未登录
CHURN00000418,U0000740,2026-08-28,high,47,观看时长下降
CHURN00000419,U0000741,2026-08-28,medium,19,连续未登录
CHURN00000420,U0000743,2026-08-28,medium,8,连续未登录
CHURN00000421,U0000744,2026-08-28,high,31,活跃频次下降
CHURN00000422,U0000745,2026-08-28,high,118,活跃频次下降
CHURN00000423,U0000746,2026-08-28,high,50,连续未登录
CHURN00000424,U0000747,2026-08-28,medium,9,观看时长下降
CHURN00000425,U0000748,2026-08-28,high,102,连续未登录
CHURN00000426,U0000750,2026-08-28,medium,26,连续未登录
CHURN00000427,U0000751,2026-08-28,medium,10,观看时长下降
CHURN00000428,U0000754,2026-08-28,high,104,活跃频次下降
CHURN00000429,U0000755,2026-08-28,medium,23,活跃频次下降
CHURN00000430,U0000757,2026-08-28,high,90,连续未登录
CHURN00000431,U0000758,2026-08-28,high,32,活跃频次下降
CHURN00000432,U0000759,2026-08-28,high,33,连续未登录
CHURN00000433,U0000760,2026-08-28,high,66,连续未登录
CHURN00000434,U0000761,2026-08-28,medium,21,观看时长下降
CHURN00000435,U0000762,2026-08-28,high,91,活跃频次下降
CHURN00000436,U0000763,2026-08-28,high,100,连续未登录
CHURN00000437,U0000766,2026-08-28,medium,8,观看时长下降
CHURN00000438,U0000768,2026-08-28,medium,9,观看时长下降
CHURN00000439,U0000769,2026-08-28,medium,13,活跃频次下降
CHURN00000440,U0000770,2026-08-28,high,39,活跃频次下降
CHURN00000441,U0000772,2026-08-28,high,37,连续未登录
CHURN00000442,U0000775,2026-08-28,high,64,活跃频次下降
CHURN00000443,U0000776,2026-08-28,high,38,连续未登录
