conversion_event_id,user_id,channel_id,ad_campaign_id,conversion_type,converted_at,conversion_value
CE000000153,U0000223,CH05,ADC00082,activation,2026-05-05 06:59:06,1
CE000000154,U0000226,CH05,ADC00072,registration,2026-07-10 00:13:43,1
CE000000155,U0000226,CH05,ADC00072,activation,2026-07-09 21:17:43,1
CE000000156,U0000227,CH03,ADC00095,registration,2026-06-14 08:18:43,1
CE000000157,U0000227,CH03,ADC00095,activation,2026-06-14 08:22:43,1
CE000000158,U0000228,CH06,ADC00036,registration,2026-05-17 17:47:59,1
CE000000159,U0000228,CH06,ADC00036,activation,2026-05-17 21:25:59,1
CE000000160,U0000233,CH03,ADC00008,registration,2026-02-11 16:25:02,1
CE000000161,U0000233,CH03,ADC00008,activation,2026-02-11 12:44:02,1
CE000000162,U0000234,CH04,ADC00066,registration,2026-06-03 15:04:24,1
CE000000163,U0000234,CH04,ADC00066,activation,2026-06-03 13:56:24,1
CE000000164,U0000236,CH03,ADC00085,registration,2026-04-04 05:21:22,1
CE000000165,U0000236,CH03,ADC00085,activation,2026-04-04 03:40:22,1
CE000000166,U0000247,CH05,ADC00009,registration,2026-05-04 21:42:46,1
CE000000167,U0000248,CH05,ADC00047,registration,2026-01-18 08:27:35,1
CE000000168,U0000248,CH05,ADC00047,activation,2026-01-18 10:46:35,1
CE000000169,U0000249,CH05,ADC00042,registration,2026-02-16 20:35:01,1
CE000000170,U0000249,CH05,ADC00042,activation,2026-02-16 20:14:01,1
CE000000171,U0000251,CH04,ADC00099,registration,2026-04-23 07:28:24,1
CE000000172,U0000251,CH04,ADC00099,activation,2026-04-23 06:13:24,1
CE000000173,U0000256,CH03,ADC00034,registration,2026-03-18 21:21:15,1
CE000000174,U0000257,CH04,ADC00081,registration,2026-04-29 11:26:46,1
CE000000175,U0000257,CH04,ADC00081,activation,2026-04-29 16:58:46,1
CE000000176,U0000260,CH03,ADC00022,registration,2026-07-02 09:47:47,1
CE000000177,U0000261,CH04,,registration,2026-01-01 02:37:32,1
CE000000178,U0000261,CH04,,activation,2026-01-01 02:46:32,1
CE000000179,U0000262,CH05,ADC00068,registration,2026-03-12 02:07:01,1
CE000000180,U0000262,CH05,ADC00068,activation,2026-03-12 05:34:01,1
CE000000181,U0000263,CH04,ADC00015,registration,2026-02-02 12:49:01,1
CE000000182,U0000263,CH04,ADC00015,activation,2026-02-02 10:12:01,1
CE000000183,U0000264,CH06,ADC00079,registration,2026-02-06 05:46:04,1
CE000000184,U0000265,CH04,ADC00041,registration,2026-07-31 23:03:33,1
CE000000185,U0000265,CH04,ADC00041,activation,2026-07-31 20:06:33,1
CE000000186,U0000266,CH03,ADC00091,registration,2026-08-24 03:53:05,1
CE000000187,U0000266,CH03,ADC00091,activation,2026-08-24 01:27:05,1
CE000000188,U0000268,CH04,ADC00078,registration,2026-06-01 09:28:46,1
CE000000189,U0000268,CH04,ADC00078,activation,2026-06-01 08:07:46,1
CE000000190,U0000270,CH04,ADC00057,registration,2026-06-15 07:09:45,1
CE000000191,U0000270,CH04,ADC00057,activation,2026-06-15 08:50:45,1
CE000000192,U0000271,CH03,ADC00048,registration,2026-04-13 04:37:57,1
CE000000193,U0000272,CH05,ADC00020,registration,2026-04-26 10:06:28,1
CE000000194,U0000273,CH03,ADC00007,registration,2026-05-26 12:36:14,1
CE000000195,U0000273,CH03,ADC00007,activation,2026-05-26 13:35:14,1
CE000000196,U0000274,CH06,ADC00079,registration,2026-01-30 16:24:17,1
CE000000197,U0000275,CH03,ADC00085,registration,2026-01-09 02:46:31,1
CE000000198,U0000275,CH03,ADC00085,activation,2026-01-09 03:40:31,1
CE000000199,U0000276,CH03,ADC00048,registration,2026-03-30 11:46:51,1
CE000000200,U0000276,CH03,ADC00048,activation,2026-03-30 10:07:51,1
CE000000201,U0000278,CH05,ADC00046,registration,2026-06-11 03:25:50,1
CE000000202,U0000278,CH05,ADC00046,activation,2026-06-11 07:02:50,1
CE000000203,U0000279,CH04,ADC00039,registration,2026-04-09 19:09:27,1
CE000000204,U0000280,CH03,ADC00088,registration,2026-04-21 19:51:22,1
CE000000205,U0000280,CH03,ADC00088,activation,2026-04-21 23:33:22,1
CE000000206,U0000282,CH03,ADC00091,registration,2026-08-25 09:15:43,1
CE000000207,U0000282,CH03,ADC00091,activation,2026-08-25 09:58:43,1
CE000000208,U0000285,CH05,ADC00029,registration,2026-06-07 01:44:35,1
CE000000209,U0000285,CH05,ADC00029,activation,2026-06-06 22:09:35,1
CE000000210,U0000286,CH03,ADC00091,registration,2026-07-30 02:54:30,1
CE000000211,U0000286,CH03,ADC00091,activation,2026-07-30 05:15:30,1
CE000000212,U0000288,CH03,ADC00019,registration,2026-07-12 12:57:00,1
CE000000213,U0000288,CH03,ADC00019,activation,2026-07-12 14:59:00,1
CE000000214,U0000291,CH06,ADC00004,registration,2026-02-18 01:10:14,1
CE000000215,U0000291,CH06,ADC00004,activation,2026-02-17 22:18:14,1
CE000000216,U0000292,CH05,ADC00009,registration,2026-05-13 11:19:38,1
CE000000217,U0000292,CH05,ADC00009,activation,2026-05-13 09:47:38,1
CE000000218,U0000294,CH04,ADC00058,registration,2026-08-26 06:12:58,1
CE000000219,U0000294,CH04,ADC00058,activation,2026-08-26 05:14:58,1
CE000000220,U0000297,CH05,ADC00072,registration,2026-08-06 08:00:24,1
CE000000221,U0000299,CH03,ADC00019,registration,2026-06-29 07:32:12,1
CE000000222,U0000300,CH06,ADC00096,registration,2026-03-22 14:45:21,1
CE000000223,U0000300,CH06,ADC00096,activation,2026-03-22 14:09:21,1
CE000000224,U0000301,CH05,ADC00029,registration,2026-07-10 23:40:16,1
CE000000225,U0000302,CH05,,registration,2026-08-27 05:27:36,1
CE000000226,U0000302,CH05,,activation,2026-08-27 05:12:36,1
CE000000227,U0000308,CH04,ADC00015,registration,2026-01-24 20:33:24,1
CE000000228,U0000308,CH04,ADC00015,activation,2026-01-24 19:53:24,1
CE000000229,U0000310,CH03,ADC00085,registration,2026-01-16 08:15:11,1
CE000000230,U0000310,CH03,ADC00085,activation,2026-01-16 08:54:11,1
CE000000231,U0000311,CH04,ADC00054,registration,2026-03-08 08:57:44,1
CE000000232,U0000315,CH06,ADC00049,registration,2026-06-16 14:00:30,1
CE000000233,U0000315,CH06,ADC00049,activation,2026-06-16 14:53:30,1
CE000000234,U0000316,CH04,ADC00002,registration,2026-04-28 07:20:06,1
CE000000235,U0000318,CH05,ADC00047,registration,2026-03-08 01:14:26,1
CE000000236,U0000319,CH05,ADC00072,registration,2026-08-07 05:30:37,1
CE000000237,U0000319,CH05,ADC00072,activation,2026-08-07 02:46:37,1
CE000000238,U0000322,CH03,ADC00061,registration,2026-04-23 16:21:18,1
CE000000239,U0000322,CH03,ADC00061,activation,2026-04-23 11:08:18,1
CE000000240,U0000323,CH03,ADC00091,registration,2026-07-01 13:25:21,1
CE000000241,U0000323,CH03,ADC00091,activation,2026-07-01 13:03:21,1
CE000000242,U0000327,CH05,ADC00068,registration,2026-02-25 19:54:40,1
CE000000243,U0000327,CH05,ADC00068,activation,2026-02-25 18:45:40,1
CE000000244,U0000328,CH03,ADC00035,registration,2026-05-20 10:56:32,1
CE000000245,U0000336,CH03,ADC00075,registration,2026-05-18 06:50:00,1
CE000000246,U0000336,CH03,ADC00075,activation,2026-05-18 03:16:00,1
CE000000247,U0000339,CH06,ADC00025,registration,2026-06-20 18:35:36,1
CE000000248,U0000339,CH06,ADC00025,activation,2026-06-20 19:12:36,1
CE000000249,U0000340,CH04,ADC00041,registration,2026-06-20 13:45:32,1
CE000000250,U0000340,CH04,ADC00041,activation,2026-06-20 09:02:32,1
CE000000251,U0000341,CH06,ADC00032,registration,2026-02-06 22:54:29,1
CE000000252,U0000341,CH06,ADC00032,activation,2026-02-06 21:47:29,1
CE000000253,U0000347,CH04,ADC00060,registration,2026-02-14 19:29:36,1
CE000000254,U0000347,CH04,ADC00060,activation,2026-02-14 15:35:36,1
CE000000255,U0000349,CH06,ADC00025,registration,2026-07-29 02:51:32,1
CE000000256,U0000349,CH06,ADC00025,activation,2026-07-28 22:11:32,1
CE000000257,U0000351,CH03,ADC00075,registration,2026-04-05 21:57:36,1
CE000000258,U0000352,CH03,ADC00100,registration,2026-02-01 03:18:05,1
CE000000259,U0000357,CH06,ADC00024,registration,2026-04-17 14:27:02,1
CE000000260,U0000357,CH06,ADC00024,activation,2026-04-17 10:34:02,1
CE000000261,U0000359,CH05,ADC00097,registration,2026-03-14 00:12:23,1
CE000000262,U0000359,CH05,ADC00097,activation,2026-03-14 04:13:23,1
CE000000263,U0000360,CH03,ADC00016,registration,2026-02-24 10:25:12,1
CE000000264,U0000360,CH03,ADC00016,activation,2026-02-24 08:15:12,1
CE000000265,U0000361,CH05,ADC00042,registration,2026-02-14 15:14:20,1
CE000000266,U0000361,CH05,ADC00042,activation,2026-02-14 12:13:20,1
CE000000267,U0000363,CH03,ADC00075,registration,2026-05-21 14:41:46,1
CE000000268,U0000363,CH03,ADC00075,activation,2026-05-21 15:32:46,1
CE000000269,U0000364,CH05,ADC00076,registration,2026-02-15 15:48:08,1
CE000000270,U0000364,CH05,ADC00076,activation,2026-02-15 17:15:08,1
CE000000271,U0000366,CH06,ADC00096,registration,2026-03-29 08:41:30,1
CE000000272,U0000366,CH06,ADC00096,activation,2026-03-29 09:34:30,1
CE000000273,U0000369,CH03,ADC00085,registration,2026-03-24 08:43:49,1
CE000000274,U0000370,CH05,ADC00082,registration,2026-03-17 08:13:46,1
CE000000275,U0000370,CH05,ADC00082,activation,2026-03-17 10:56:46,1
CE000000276,U0000371,CH06,ADC00036,registration,2026-07-02 06:30:46,1
CE000000277,U0000371,CH06,ADC00036,activation,2026-07-02 05:25:46,1
CE000000278,U0000372,CH04,ADC00058,registration,2026-08-28 04:05:23,1
CE000000279,U0000372,CH04,ADC00058,activation,2026-08-28 03:46:23,1
CE000000280,U0000375,CH04,ADC00058,registration,2026-07-06 02:43:15,1
CE000000281,U0000375,CH04,ADC00058,activation,2026-07-06 00:36:15,1
CE000000282,U0000377,CH05,ADC00009,registration,2026-05-10 06:32:46,1
CE000000283,U0000377,CH05,ADC00009,activation,2026-05-10 05:10:46,1
CE000000284,U0000380,CH03,ADC00019,registration,2026-07-05 03:01:06,1
CE000000285,U0000380,CH03,ADC00019,activation,2026-07-05 03:20:06,1
CE000000286,U0000384,CH05,ADC00059,registration,2026-08-13 22:13:09,1
CE000000287,U0000384,CH05,ADC00059,activation,2026-08-13 23:21:09,1
CE000000288,U0000395,CH05,ADC00059,registration,2026-07-13 10:36:02,1
CE000000289,U0000396,CH05,ADC00059,registration,2026-07-24 05:22:45,1
CE000000290,U0000396,CH05,ADC00059,activation,2026-07-24 01:48:45,1
CE000000291,U0000397,CH04,ADC00054,registration,2026-01-02 15:04:03,1
CE000000292,U0000397,CH04,ADC00054,activation,2026-01-02 14:28:03,1
CE000000293,U0000398,CH04,ADC00014,registration,2026-02-18 09:05:08,1
CE000000294,U0000398,CH04,ADC00014,activation,2026-02-18 04:48:08,1
CE000000295,U0000399,CH05,ADC00072,registration,2026-07-07 06:53:00,1
CE000000296,U0000399,CH05,ADC00072,activation,2026-07-07 08:55:00,1
CE000000297,U0000400,CH04,ADC00087,registration,2026-02-08 13:56:13,1
CE000000298,U0000400,CH04,ADC00087,activation,2026-02-08 14:05:13,1
CE000000299,U0000402,CH04,ADC00054,registration,2026-01-02 22:15:07,1
CE000000300,U0000402,CH04,ADC00054,activation,2026-01-02 22:24:07,1
CE000000301,U0000408,CH05,ADC00046,registration,2026-06-24 16:46:47,1
CE000000302,U0000408,CH05,ADC00046,activation,2026-06-24 14:50:47,1
CE000000303,U0000409,CH04,ADC00002,registration,2026-03-31 13:55:23,1
CE000000304,U0000409,CH04,ADC00002,activation,2026-03-31 12:29:23,1
CE000000305,U0000412,CH05,,registration,2026-08-19 14:41:14,1
CE000000306,U0000412,CH05,,activation,2026-08-19 11:27:14,1
CE000000307,U0000413,CH06,ADC00053,registration,2026-06-21 20:52:21,1
CE000000308,U0000415,CH04,ADC00058,registration,2026-08-28 16:58:00,1
CE000000309,U0000415,CH04,ADC00058,activation,2026-08-28 22:30:00,1
CE000000310,U0000417,CH05,ADC00072,registration,2026-08-09 20:05:02,1
CE000000311,U0000417,CH05,ADC00072,activation,2026-08-09 18:14:02,1
CE000000312,U0000424,CH04,ADC00013,registration,2026-04-04 03:20:31,1
CE000000313,U0000424,CH04,ADC00013,activation,2026-04-04 04:46:31,1
CE000000314,U0000425,CH03,ADC00019,registration,2026-08-05 15:25:53,1
CE000000315,U0000425,CH03,ADC00019,activation,2026-08-05 15:06:53,1
CE000000316,U0000428,CH03,ADC00061,registration,2026-02-26 23:19:31,1
CE000000317,U0000428,CH03,ADC00061,activation,2026-02-26 22:44:31,1
CE000000318,U0000430,CH03,ADC00090,registration,2026-07-29 01:19:25,1
CE000000319,U0000431,CH05,ADC00047,registration,2026-01-14 20:31:11,1
CE000000320,U0000431,CH05,ADC00047,activation,2026-01-14 21:16:11,1
CE000000321,U0000432,CH03,ADC00090,registration,2026-07-13 19:44:28,1
CE000000322,U0000432,CH03,ADC00090,activation,2026-07-13 16:46:28,1
CE000000323,U0000433,CH03,ADC00030,registration,2026-04-18 09:33:31,1
CE000000324,U0000433,CH03,ADC00030,activation,2026-04-18 07:16:31,1
CE000000325,U0000434,CH06,ADC00005,registration,2026-04-25 23:05:11,1
CE000000326,U0000434,CH06,ADC00005,activation,2026-04-26 01:32:11,1
CE000000327,U0000435,CH06,ADC00079,registration,2026-02-17 20:38:27,1
CE000000328,U0000435,CH06,ADC00079,activation,2026-02-17 17:57:27,1
CE000000329,U0000437,CH03,ADC00075,registration,2026-04-25 09:05:49,1
CE000000330,U0000437,CH03,ADC00075,activation,2026-04-25 10:39:49,1
CE000000331,U0000438,CH04,ADC00054,registration,2026-01-24 01:42:33,1
CE000000332,U0000441,CH06,ADC00079,registration,2026-02-03 23:52:10,1
CE000000333,U0000441,CH06,ADC00079,activation,2026-02-03 21:06:10,1
CE000000334,U0000444,CH04,ADC00041,registration,2026-07-29 22:36:29,1
CE000000335,U0000444,CH04,ADC00041,activation,2026-07-30 01:01:29,1
CE000000336,U0000445,CH05,ADC00006,registration,2026-05-14 08:14:41,1
CE000000337,U0000445,CH05,ADC00006,activation,2026-05-14 08:50:41,1
CE000000338,U0000446,CH03,ADC00007,registration,2026-06-20 15:49:16,1
CE000000339,U0000446,CH03,ADC00007,activation,2026-06-20 10:42:16,1
CE000000340,U0000449,CH03,ADC00035,registration,2026-05-04 13:36:02,1
CE000000341,U0000449,CH03,ADC00035,activation,2026-05-04 14:15:02,1
CE000000342,U0000450,CH06,ADC00025,registration,2026-06-27 16:32:48,1
CE000000343,U0000450,CH06,ADC00025,activation,2026-06-27 17:37:48,1
CE000000344,U0000458,CH04,ADC00037,registration,2026-05-04 16:38:08,1
CE000000345,U0000463,CH06,ADC00093,registration,2026-08-21 18:03:38,1
CE000000346,U0000464,CH03,ADC00048,registration,2026-02-25 12:02:00,1
CE000000347,U0000464,CH03,ADC00048,activation,2026-02-25 14:54:00,1
CE000000348,U0000466,CH03,ADC00089,registration,2026-04-19 11:32:00,1
CE000000349,U0000467,CH04,ADC00014,registration,2026-03-12 23:40:35,1
CE000000350,U0000468,CH06,ADC00093,registration,2026-08-19 12:22:58,1
CE000000351,U0000468,CH06,ADC00093,activation,2026-08-19 12:43:58,1
CE000000352,U0000470,CH06,ADC00064,registration,2026-03-21 22:28:46,1
CE000000353,U0000470,CH06,ADC00064,activation,2026-03-21 23:01:46,1
CE000000354,U0000474,CH05,ADC00097,registration,2026-03-26 16:22:59,1
CE000000355,U0000474,CH05,ADC00097,activation,2026-03-26 15:27:59,1
CE000000356,U0000475,CH03,ADC00019,registration,2026-06-11 21:52:57,1
CE000000357,U0000475,CH03,ADC00019,activation,2026-06-11 21:07:57,1
