touch_id,recall_campaign_id,user_id,touch_channel,sent_at,delivered,clicked
RCT000000083,RC0008,U0011296,push,2026-06-26 09:00:00,1,0
RCT000000084,RC0013,U0006642,push,2026-02-18 08:00:00,1,0
RCT000000085,RC0020,U0002590,push,2026-05-29 13:00:00,0,0
RCT000000086,RC0007,U0002108,push,2026-06-26 20:00:00,1,0
RCT000000087,RC0019,U0010028,sms,2026-06-26 15:00:00,1,0
RCT000000088,RC0019,U0009618,sms,2026-06-28 09:00:00,1,0
RCT000000089,RC0022,U0003134,in_app,2026-05-26 20:00:00,1,0
RCT000000090,RC0006,U0000632,in_app,2026-02-15 16:00:00,1,0
RCT000000091,RC0003,U0000438,push,2026-02-11 13:00:00,1,0
RCT000000092,RC0015,U0002576,push,2026-04-21 11:00:00,1,0
RCT000000093,RC0016,U0011909,in_app,2026-02-21 18:00:00,1,0
RCT000000094,RC0010,U0007379,push,2026-03-13 14:00:00,1,0
RCT000000095,RC0014,U0008830,push,2026-03-26 19:00:00,1,0
RCT000000096,RC0019,U0008608,sms,2026-06-30 13:00:00,1,1
RCT000000097,RC0016,U0011069,in_app,2026-02-23 10:00:00,1,0
RCT000000098,RC0001,U0009372,push,2026-07-28 12:00:00,1,0
RCT000000099,RC0012,U0001310,push,2026-02-27 21:00:00,1,0
RCT000000100,RC0012,U0004079,push,2026-02-28 17:00:00,1,0
RCT000000101,RC0013,U0011509,push,2026-02-14 09:00:00,1,0
RCT000000102,RC0011,U0008308,sms,2026-07-14 09:00:00,1,1
RCT000000103,RC0015,U0004702,push,2026-04-23 10:00:00,1,0
RCT000000104,RC0015,U0005860,push,2026-04-22 12:00:00,1,0
RCT000000105,RC0021,U0006915,in_app,2026-04-18 11:00:00,1,0
RCT000000106,RC0005,U0000446,push,2026-07-30 14:00:00,1,0
RCT000000107,RC0007,U0007181,push,2026-06-29 21:00:00,1,0
RCT000000108,RC0001,U0003145,push,2026-07-30 14:00:00,1,1
RCT000000109,RC0007,U0010406,push,2026-06-25 15:00:00,1,0
RCT000000110,RC0006,U0003850,in_app,2026-02-19 14:00:00,1,0
RCT000000111,RC0013,U0005324,push,2026-02-15 14:00:00,1,0
RCT000000112,RC0024,U0011254,push,2026-06-05 20:00:00,1,0
RCT000000113,RC0009,U0000833,sms,2026-05-10 14:00:00,1,0
RCT000000114,RC0014,U0002683,push,2026-03-25 16:00:00,1,0
RCT000000115,RC0007,U0006520,push,2026-06-27 19:00:00,1,1
RCT000000116,RC0017,U0003560,sms,2026-04-12 09:00:00,1,0
RCT000000117,RC0021,U0000867,in_app,2026-04-16 09:00:00,1,0
RCT000000118,RC0012,U0009949,push,2026-02-27 17:00:00,1,0
RCT000000119,RC0010,U0007314,push,2026-03-18 16:00:00,1,0
RCT000000120,RC0023,U0006235,sms,2026-06-02 15:00:00,1,0
RCT000000121,RC0022,U0011524,in_app,2026-05-22 18:00:00,1,0
RCT000000122,RC0015,U0011402,push,2026-04-24 21:00:00,1,1
RCT000000123,RC0023,U0010731,sms,2026-05-29 10:00:00,1,0
RCT000000124,RC0023,U0005561,sms,2026-05-31 19:00:00,1,0
RCT000000125,RC0001,U0003259,push,2026-07-30 11:00:00,1,0
RCT000000126,RC0008,U0008492,push,2026-06-24 09:00:00,1,0
RCT000000127,RC0004,U0003516,in_app,2026-02-04 10:00:00,1,0
RCT000000128,RC0016,U0003354,in_app,2026-02-25 18:00:00,1,0
RCT000000129,RC0021,U0001775,in_app,2026-04-18 11:00:00,1,0
RCT000000130,RC0009,U0000515,sms,2026-05-08 09:00:00,1,0
RCT000000131,RC0001,U0006874,push,2026-07-30 17:00:00,1,0
RCT000000132,RC0011,U0004801,sms,2026-07-14 13:00:00,1,0
RCT000000133,RC0001,U0011162,push,2026-07-26 09:00:00,1,0
RCT000000134,RC0022,U0006834,in_app,2026-05-26 08:00:00,1,0
RCT000000135,RC0010,U0011661,push,2026-03-12 20:00:00,1,0
RCT000000136,RC0017,U0010942,sms,2026-04-13 10:00:00,1,0
RCT000000137,RC0008,U0000195,push,2026-06-23 16:00:00,1,0
RCT000000138,RC0010,U0010931,push,2026-03-14 15:00:00,1,1
RCT000000139,RC0008,U0003643,push,2026-06-21 13:00:00,1,0
RCT000000140,RC0023,U0004705,sms,2026-05-29 17:00:00,1,1
RCT000000141,RC0014,U0006104,push,2026-03-26 17:00:00,1,0
RCT000000142,RC0016,U0001719,in_app,2026-02-23 14:00:00,1,0
RCT000000143,RC0015,U0010859,push,2026-04-26 19:00:00,1,0
RCT000000144,RC0001,U0005046,push,2026-07-28 12:00:00,1,0
RCT000000145,RC0006,U0011818,in_app,2026-02-15 10:00:00,1,0
RCT000000146,RC0011,U0003801,sms,2026-07-15 11:00:00,1,0
RCT000000147,RC0020,U0010636,push,2026-05-29 08:00:00,1,0
RCT000000148,RC0011,U0003244,sms,2026-07-13 10:00:00,1,0
RCT000000149,RC0006,U0000341,in_app,2026-02-18 12:00:00,1,0
RCT000000150,RC0023,U0007525,sms,2026-06-01 11:00:00,1,0
RCT000000151,RC0002,U0003235,push,2026-06-19 21:00:00,1,0
RCT000000152,RC0022,U0010909,in_app,2026-05-23 12:00:00,0,0
RCT000000153,RC0022,U0011271,in_app,2026-05-23 09:00:00,1,0
RCT000000154,RC0013,U0008676,push,2026-02-16 10:00:00,1,1
RCT000000155,RC0006,U0002151,in_app,2026-02-19 19:00:00,0,0
RCT000000156,RC0013,U0010072,push,2026-02-17 12:00:00,1,0
RCT000000157,RC0018,U0000353,push,2026-02-12 17:00:00,1,0
RCT000000158,RC0010,U0004211,push,2026-03-16 17:00:00,1,0
RCT000000159,RC0004,U0010000,in_app,2026-02-03 20:00:00,1,0
RCT000000160,RC0017,U0009797,sms,2026-04-09 18:00:00,1,0
RCT000000161,RC0024,U0011865,push,2026-06-05 16:00:00,1,0
RCT000000162,RC0024,U0002314,push,2026-06-05 11:00:00,1,1
RCT000000163,RC0003,U0005949,push,2026-02-12 16:00:00,1,1
RCT000000164,RC0013,U0004718,push,2026-02-17 20:00:00,1,0
RCT000000165,RC0013,U0005613,push,2026-02-15 09:00:00,0,0
RCT000000166,RC0019,U0009740,sms,2026-06-25 14:00:00,1,0
RCT000000167,RC0020,U0011597,push,2026-05-28 15:00:00,1,1
RCT000000168,RC0024,U0003961,push,2026-06-09 14:00:00,1,0
RCT000000169,RC0008,U0007778,push,2026-06-23 09:00:00,0,0
RCT000000170,RC0009,U0008439,sms,2026-05-12 18:00:00,1,0
RCT000000171,RC0014,U0006989,push,2026-03-26 11:00:00,1,0
RCT000000172,RC0011,U0009376,sms,2026-07-10 19:00:00,1,0
RCT000000173,RC0006,U0003786,in_app,2026-02-21 20:00:00,1,0
RCT000000174,RC0024,U0011059,push,2026-06-07 17:00:00,1,1
RCT000000175,RC0003,U0009588,push,2026-02-15 18:00:00,1,1
RCT000000176,RC0023,U0008998,sms,2026-06-01 15:00:00,1,0
RCT000000177,RC0012,U0010302,push,2026-03-05 10:00:00,1,0
RCT000000178,RC0005,U0004906,push,2026-07-29 08:00:00,1,0
RCT000000179,RC0005,U0006939,push,2026-08-01 11:00:00,0,0
RCT000000180,RC0016,U0006482,in_app,2026-02-23 17:00:00,1,0
RCT000000181,RC0011,U0011979,sms,2026-07-10 14:00:00,1,0
RCT000000182,RC0012,U0004783,push,2026-03-03 19:00:00,1,0
RCT000000183,RC0008,U0009087,push,2026-06-25 18:00:00,1,0
RCT000000184,RC0018,U0010913,push,2026-02-09 16:00:00,1,0
RCT000000185,RC0019,U0000972,sms,2026-07-01 19:00:00,1,0
RCT000000186,RC0014,U0006178,push,2026-03-22 19:00:00,1,0
RCT000000187,RC0010,U0008389,push,2026-03-13 21:00:00,1,0
RCT000000188,RC0022,U0002198,in_app,2026-05-26 11:00:00,1,0
RCT000000189,RC0008,U0005991,push,2026-06-21 19:00:00,1,0
RCT000000190,RC0011,U0009975,sms,2026-07-11 20:00:00,1,1
RCT000000191,RC0009,U0007367,sms,2026-05-06 14:00:00,1,0
RCT000000192,RC0020,U0010966,push,2026-05-28 13:00:00,1,0
RCT000000193,RC0001,U0008959,push,2026-07-26 09:00:00,1,0
RCT000000194,RC0014,U0009164,push,2026-03-22 20:00:00,1,0
RCT000000195,RC0022,U0002039,in_app,2026-05-21 09:00:00,1,0
RCT000000196,RC0024,U0011854,push,2026-06-08 13:00:00,0,0
RCT000000197,RC0012,U0006332,push,2026-02-28 10:00:00,1,1
RCT000000198,RC0010,U0001813,push,2026-03-17 12:00:00,1,0
RCT000000199,RC0009,U0004604,sms,2026-05-08 18:00:00,1,0
RCT000000200,RC0013,U0004273,push,2026-02-16 12:00:00,1,0
RCT000000201,RC0018,U0000354,push,2026-02-08 20:00:00,0,0
RCT000000202,RC0009,U0009978,sms,2026-05-07 13:00:00,1,0
RCT000000203,RC0024,U0011786,push,2026-06-08 16:00:00,1,0
RCT000000204,RC0007,U0011493,push,2026-06-28 13:00:00,1,0
RCT000000205,RC0003,U0010999,push,2026-02-12 16:00:00,1,0
RCT000000206,RC0007,U0001860,push,2026-06-28 20:00:00,1,0
RCT000000207,RC0003,U0004318,push,2026-02-14 18:00:00,1,0
RCT000000208,RC0013,U0011942,push,2026-02-17 08:00:00,1,0
RCT000000209,RC0018,U0005605,push,2026-02-09 17:00:00,1,1
RCT000000210,RC0004,U0000477,in_app,2026-02-04 11:00:00,1,0
RCT000000211,RC0012,U0000817,push,2026-02-27 09:00:00,1,1
RCT000000212,RC0023,U0010003,sms,2026-06-02 20:00:00,1,0
RCT000000213,RC0016,U0002372,in_app,2026-02-21 12:00:00,1,0
RCT000000214,RC0011,U0004295,sms,2026-07-16 15:00:00,1,0
RCT000000215,RC0014,U0009769,push,2026-03-21 16:00:00,1,0
RCT000000216,RC0010,U0006897,push,2026-03-12 10:00:00,1,0
RCT000000217,RC0008,U0006374,push,2026-06-27 18:00:00,1,1
RCT000000218,RC0015,U0011763,push,2026-04-22 19:00:00,1,1
RCT000000219,RC0011,U0000038,sms,2026-07-15 20:00:00,1,0
RCT000000220,RC0021,U0006806,in_app,2026-04-18 14:00:00,1,1
RCT000000221,RC0019,U0005221,sms,2026-06-25 20:00:00,1,0
RCT000000222,RC0021,U0005135,in_app,2026-04-15 21:00:00,1,0
RCT000000223,RC0016,U0004892,in_app,2026-02-23 09:00:00,1,0
RCT000000224,RC0003,U0009518,push,2026-02-15 16:00:00,1,0
RCT000000225,RC0012,U0004783,push,2026-03-05 11:00:00,1,1
RCT000000226,RC0007,U0009110,push,2026-06-28 10:00:00,1,0
RCT000000227,RC0021,U0003270,in_app,2026-04-20 14:00:00,1,0
RCT000000228,RC0004,U0000291,in_app,2026-02-02 11:00:00,1,0
RCT000000229,RC0011,U0005850,sms,2026-07-15 08:00:00,1,0
RCT000000230,RC0013,U0009838,push,2026-02-20 13:00:00,1,1
RCT000000231,RC0005,U0010378,push,2026-07-29 16:00:00,1,0
RCT000000232,RC0018,U0005451,push,2026-02-09 18:00:00,1,0
RCT000000233,RC0007,U0005211,push,2026-06-28 19:00:00,1,0
RCT000000234,RC0011,U0010089,sms,2026-07-12 21:00:00,1,0
RCT000000235,RC0004,U0005483,in_app,2026-02-05 16:00:00,1,0
RCT000000236,RC0020,U0003234,push,2026-05-25 11:00:00,1,1
RCT000000237,RC0019,U0008994,sms,2026-06-26 18:00:00,1,0
RCT000000238,RC0024,U0003845,push,2026-06-04 10:00:00,1,0
RCT000000239,RC0014,U0010621,push,2026-03-27 12:00:00,1,0
RCT000000240,RC0006,U0007296,in_app,2026-02-16 21:00:00,1,0
RCT000000241,RC0001,U0003774,push,2026-07-29 11:00:00,1,0
RCT000000242,RC0006,U0010533,in_app,2026-02-18 13:00:00,1,0
RCT000000243,RC0023,U0007542,sms,2026-05-29 20:00:00,1,0
RCT000000244,RC0005,U0003213,push,2026-07-28 21:00:00,0,0
RCT000000245,RC0005,U0001706,push,2026-07-31 14:00:00,1,0
RCT000000246,RC0013,U0004174,push,2026-02-15 19:00:00,1,1
RCT000000247,RC0013,U0006561,push,2026-02-16 10:00:00,0,0
RCT000000248,RC0017,U0006163,sms,2026-04-08 13:00:00,1,1
RCT000000249,RC0011,U0010776,sms,2026-07-16 14:00:00,1,0
RCT000000250,RC0004,U0005467,in_app,2026-02-03 18:00:00,1,0
RCT000000251,RC0004,U0006076,in_app,2026-02-02 13:00:00,1,0
RCT000000252,RC0013,U0009690,push,2026-02-14 18:00:00,0,0
RCT000000253,RC0013,U0001497,push,2026-02-17 18:00:00,1,1
RCT000000254,RC0010,U0001744,push,2026-03-18 12:00:00,1,0
RCT000000255,RC0011,U0002293,sms,2026-07-14 16:00:00,1,0
RCT000000256,RC0023,U0010275,sms,2026-05-27 16:00:00,1,0
RCT000000257,RC0007,U0006537,push,2026-06-23 13:00:00,1,0
RCT000000258,RC0021,U0011956,in_app,2026-04-14 17:00:00,1,0
RCT000000259,RC0018,U0002331,push,2026-02-13 21:00:00,1,0
RCT000000260,RC0013,U0010195,push,2026-02-17 11:00:00,1,0
RCT000000261,RC0020,U0005242,push,2026-05-26 19:00:00,1,1
RCT000000262,RC0024,U0004872,push,2026-06-08 08:00:00,1,0
RCT000000263,RC0020,U0002331,push,2026-05-29 09:00:00,1,1
RCT000000264,RC0013,U0011700,push,2026-02-17 10:00:00,1,0
RCT000000265,RC0021,U0004445,in_app,2026-04-19 13:00:00,1,0
RCT000000266,RC0020,U0009757,push,2026-05-26 18:00:00,1,1
RCT000000267,RC0003,U0008340,push,2026-02-14 11:00:00,1,0
RCT000000268,RC0021,U0003979,in_app,2026-04-16 18:00:00,1,0
RCT000000269,RC0002,U0002812,push,2026-06-13 17:00:00,1,0
RCT000000270,RC0005,U0004977,push,2026-08-02 17:00:00,1,0
RCT000000271,RC0022,U0009136,in_app,2026-05-27 11:00:00,1,0
RCT000000272,RC0003,U0005007,push,2026-02-14 09:00:00,1,0
RCT000000273,RC0016,U0009437,in_app,2026-02-25 20:00:00,1,0
RCT000000274,RC0002,U0006077,push,2026-06-15 19:00:00,1,0
RCT000000275,RC0014,U0005826,push,2026-03-24 14:00:00,1,0
RCT000000276,RC0009,U0009132,sms,2026-05-12 13:00:00,1,0
RCT000000277,RC0020,U0004135,push,2026-05-24 12:00:00,1,0
RCT000000278,RC0019,U0005998,sms,2026-07-01 16:00:00,1,0
RCT000000279,RC0016,U0002859,in_app,2026-02-22 09:00:00,1,0
RCT000000280,RC0003,U0005858,push,2026-02-13 18:00:00,1,0
RCT000000281,RC0008,U0008398,push,2026-06-26 14:00:00,1,0
RCT000000282,RC0023,U0003489,sms,2026-05-30 12:00:00,1,0
RCT000000283,RC0003,U0005017,push,2026-02-16 18:00:00,1,0
RCT000000284,RC0019,U0006555,sms,2026-06-26 18:00:00,1,0
RCT000000285,RC0001,U0005680,push,2026-07-26 16:00:00,1,0
RCT000000286,RC0006,U0000686,in_app,2026-02-17 19:00:00,1,0
RCT000000287,RC0023,U0007790,sms,2026-05-30 11:00:00,1,0
RCT000000288,RC0006,U0003241,in_app,2026-02-19 17:00:00,1,0
RCT000000289,RC0017,U0003346,sms,2026-04-09 19:00:00,1,0
RCT000000290,RC0001,U0011613,push,2026-07-26 15:00:00,1,0
RCT000000291,RC0010,U0001780,push,2026-03-17 14:00:00,1,0
RCT000000292,RC0002,U0001456,push,2026-06-16 20:00:00,1,1
RCT000000293,RC0012,U0001744,push,2026-03-03 15:00:00,1,1
RCT000000294,RC0003,U0001064,push,2026-02-14 15:00:00,1,1
RCT000000295,RC0003,U0011073,push,2026-02-15 18:00:00,1,1
RCT000000296,RC0012,U0002100,push,2026-03-02 19:00:00,1,1
RCT000000297,RC0020,U0005372,push,2026-05-24 15:00:00,1,1
RCT000000298,RC0013,U0011830,push,2026-02-16 20:00:00,1,0
RCT000000299,RC0017,U0005454,sms,2026-04-08 08:00:00,1,0
RCT000000300,RC0019,U0005656,sms,2026-06-29 16:00:00,1,1
RCT000000301,RC0015,U0003716,push,2026-04-24 18:00:00,0,0
RCT000000302,RC0012,U0003025,push,2026-03-03 15:00:00,0,0
RCT000000303,RC0024,U0004675,push,2026-06-04 12:00:00,1,0
RCT000000304,RC0022,U0004042,in_app,2026-05-27 13:00:00,0,0
RCT000000305,RC0017,U0003693,sms,2026-04-14 21:00:00,1,0
RCT000000306,RC0010,U0007377,push,2026-03-15 08:00:00,1,0
RCT000000307,RC0001,U0001255,push,2026-07-27 21:00:00,1,0
RCT000000308,RC0009,U0003365,sms,2026-05-06 15:00:00,1,0
RCT000000309,RC0016,U0005037,in_app,2026-02-23 16:00:00,1,0
RCT000000310,RC0017,U0004223,sms,2026-04-12 12:00:00,1,0
RCT000000311,RC0010,U0007643,push,2026-03-17 12:00:00,1,0
RCT000000312,RC0012,U0008543,push,2026-03-01 18:00:00,1,0
RCT000000313,RC0021,U0011590,in_app,2026-04-19 10:00:00,1,0
RCT000000314,RC0023,U0010288,sms,2026-05-30 15:00:00,1,1
RCT000000315,RC0016,U0001045,in_app,2026-02-20 13:00:00,1,0
RCT000000316,RC0003,U0009638,push,2026-02-16 08:00:00,1,0
RCT000000317,RC0014,U0004376,push,2026-03-21 17:00:00,1,0
RCT000000318,RC0010,U0004424,push,2026-03-15 16:00:00,1,0
RCT000000319,RC0006,U0002998,in_app,2026-02-20 10:00:00,1,0
RCT000000320,RC0005,U0000291,push,2026-08-01 08:00:00,1,0
RCT000000321,RC0023,U0005801,sms,2026-05-31 13:00:00,1,0
RCT000000322,RC0019,U0009311,sms,2026-06-30 20:00:00,1,0
RCT000000323,RC0002,U0005952,push,2026-06-19 19:00:00,0,0
RCT000000324,RC0022,U0008681,in_app,2026-05-22 14:00:00,1,0
RCT000000325,RC0022,U0011991,in_app,2026-05-26 14:00:00,1,0
RCT000000326,RC0010,U0005046,push,2026-03-15 14:00:00,1,0
RCT000000327,RC0010,U0007401,push,2026-03-18 09:00:00,1,0
RCT000000328,RC0009,U0007043,sms,2026-05-09 14:00:00,1,0
RCT000000329,RC0017,U0003784,sms,2026-04-08 18:00:00,1,0
RCT000000330,RC0015,U0005932,push,2026-04-26 15:00:00,1,0
RCT000000331,RC0013,U0009083,push,2026-02-19 18:00:00,1,0
RCT000000332,RC0024,U0005746,push,2026-06-05 08:00:00,1,0
RCT000000333,RC0009,U0006440,sms,2026-05-08 12:00:00,1,0
RCT000000334,RC0013,U0009824,push,2026-02-15 20:00:00,1,0
RCT000000335,RC0018,U0002671,push,2026-02-09 19:00:00,1,1
RCT000000336,RC0022,U0006648,in_app,2026-05-21 18:00:00,1,0
RCT000000337,RC0009,U0008855,sms,2026-05-07 10:00:00,1,0
RCT000000338,RC0008,U0010782,push,2026-06-23 19:00:00,1,1
RCT000000339,RC0007,U0002273,push,2026-06-27 15:00:00,1,0
RCT000000340,RC0015,U0004794,push,2026-04-26 09:00:00,1,1
RCT000000341,RC0022,U0011637,in_app,2026-05-23 13:00:00,1,1
RCT000000342,RC0019,U0009740,sms,2026-06-26 17:00:00,1,0
RCT000000343,RC0015,U0000571,push,2026-04-26 14:00:00,1,0
RCT000000344,RC0011,U0007673,sms,2026-07-14 13:00:00,1,0
RCT000000345,RC0024,U0005481,push,2026-06-08 12:00:00,1,0
RCT000000346,RC0015,U0011363,push,2026-04-24 14:00:00,1,0
RCT000000347,RC0001,U0004871,push,2026-07-28 12:00:00,1,0
RCT000000348,RC0002,U0010438,push,2026-06-18 16:00:00,1,1
RCT000000349,RC0009,U0007982,sms,2026-05-09 19:00:00,1,0
RCT000000350,RC0007,U0003853,push,2026-06-27 13:00:00,1,0
RCT000000351,RC0018,U0007532,push,2026-02-08 18:00:00,1,1
RCT000000352,RC0007,U0009851,push,2026-06-24 15:00:00,1,1
RCT000000353,RC0019,U0007981,sms,2026-07-01 20:00:00,1,0
RCT000000354,RC0012,U0008834,push,2026-03-05 21:00:00,1,1
RCT000000355,RC0021,U0000446,in_app,2026-04-15 20:00:00,0,0
RCT000000356,RC0015,U0011148,push,2026-04-23 21:00:00,1,1
RCT000000357,RC0012,U0011869,push,2026-03-01 15:00:00,1,1
RCT000000358,RC0006,U0008653,in_app,2026-02-17 15:00:00,1,0
RCT000000359,RC0008,U0002606,push,2026-06-25 12:00:00,1,0
RCT000000360,RC0013,U0010365,push,2026-02-18 09:00:00,0,0
RCT000000361,RC0010,U0000281,push,2026-03-13 16:00:00,1,0
RCT000000362,RC0022,U0005595,in_app,2026-05-21 18:00:00,1,0
RCT000000363,RC0005,U0000264,push,2026-07-31 19:00:00,1,0
RCT000000364,RC0002,U0005615,push,2026-06-14 13:00:00,1,1
RCT000000365,RC0005,U0001933,push,2026-08-01 16:00:00,1,0
RCT000000366,RC0002,U0010001,push,2026-06-13 12:00:00,1,0
RCT000000367,RC0018,U0001507,push,2026-02-13 17:00:00,0,0
RCT000000368,RC0020,U0002306,push,2026-05-28 19:00:00,1,0
RCT000000369,RC0011,U0002003,sms,2026-07-12 19:00:00,1,0
RCT000000370,RC0002,U0010642,push,2026-06-18 20:00:00,1,0
RCT000000371,RC0002,U0011723,push,2026-06-16 17:00:00,1,0
RCT000000372,RC0009,U0006439,sms,2026-05-07 20:00:00,1,0
RCT000000373,RC0010,U0011805,push,2026-03-13 17:00:00,0,0
RCT000000374,RC0002,U0007162,push,2026-06-17 09:00:00,1,1
RCT000000375,RC0020,U0002986,push,2026-05-27 21:00:00,1,0
RCT000000376,RC0008,U0001346,push,2026-06-21 16:00:00,1,0
RCT000000377,RC0006,U0002981,in_app,2026-02-20 21:00:00,1,0
RCT000000378,RC0022,U0010136,in_app,2026-05-24 13:00:00,1,0
RCT000000379,RC0021,U0002869,in_app,2026-04-18 17:00:00,1,0
RCT000000380,RC0001,U0003629,push,2026-07-29 13:00:00,1,0
