attribution_id,user_id,channel_id,ad_campaign_id,attribution_type,attributed_at,confidence_score
ATTR00000028,U0000067,CH03,ADC00008,last_click,2026-01-23 04:58:45,0.6527
ATTR00000029,U0000070,CH04,ADC00058,last_click,2026-08-05 04:53:01,0.6551
ATTR00000030,U0000071,CH04,ADC00055,last_click,2026-03-07 07:11:47,0.8264
ATTR00000031,U0000075,CH05,ADC00047,first_click,2026-03-18 00:03:21,0.6861
ATTR00000032,U0000077,CH03,ADC00100,last_click,2026-01-20 05:08:19,0.7104
ATTR00000033,U0000092,CH06,ADC00093,last_click,2026-08-11 04:37:40,0.8723
ATTR00000034,U0000093,CH03,ADC00075,last_click,2026-05-18 00:30:44,0.6261
ATTR00000035,U0000095,CH05,ADC00021,last_click,2026-04-05 00:29:09,0.963
ATTR00000036,U0000096,CH03,ADC00048,last_click,2026-03-17 12:29:43,0.9291
ATTR00000037,U0000097,CH05,ADC00047,last_click,2026-02-01 15:42:31,0.742
ATTR00000038,U0000102,CH03,ADC00090,last_click,2026-06-03 14:37:00,0.6265
ATTR00000039,U0000103,CH06,ADC00032,last_click,2026-03-04 08:49:43,0.7976
ATTR00000040,U0000106,CH05,ADC00072,last_click,2026-06-04 20:34:08,0.8391
ATTR00000041,U0000108,CH05,ADC00072,last_click,2026-08-07 03:12:22,0.9592
ATTR00000042,U0000109,CH04,ADC00051,view_through,2026-06-17 05:55:52,0.8742
ATTR00000043,U0000112,CH03,ADC00091,first_click,2026-08-19 06:36:18,0.6824
ATTR00000044,U0000113,CH04,ADC00055,first_click,2026-02-01 13:59:37,0.7723
ATTR00000045,U0000114,CH03,ADC00048,last_click,2026-03-31 18:40:37,0.9623
ATTR00000046,U0000117,CH05,ADC00098,first_click,2026-06-08 14:08:05,0.8868
ATTR00000047,U0000120,CH06,ADC00040,first_click,2026-06-11 06:13:37,0.7771
ATTR00000048,U0000121,CH03,ADC00061,last_click,2026-04-11 09:29:43,0.9036
ATTR00000049,U0000122,CH05,ADC00047,last_click,2026-01-17 05:42:06,0.6363
ATTR00000050,U0000123,CH06,ADC00093,first_click,2026-08-27 12:40:59,0.813
ATTR00000051,U0000124,CH05,ADC00080,last_click,2026-04-22 04:24:14,0.74
ATTR00000052,U0000126,CH05,ADC00047,last_click,2026-01-19 09:33:17,0.9783
ATTR00000053,U0000127,CH06,ADC00093,first_click,2026-08-27 10:56:14,0.9738
ATTR00000054,U0000129,CH04,ADC00054,first_click,2026-01-12 04:44:04,0.9784
ATTR00000055,U0000135,CH06,ADC00093,last_click,2026-08-13 04:43:59,0.7672
ATTR00000056,U0000138,CH03,ADC00016,last_click,2026-02-21 13:16:20,0.6283
ATTR00000057,U0000141,CH03,,first_click,2026-01-03 07:50:22,0.9055
ATTR00000058,U0000144,CH03,ADC00061,last_click,2026-05-09 13:20:03,0.9517
ATTR00000059,U0000146,CH04,ADC00057,last_click,2026-05-28 05:41:39,0.9352
ATTR00000060,U0000148,CH06,ADC00010,first_click,2026-07-02 19:10:02,0.738
ATTR00000061,U0000150,CH03,ADC00028,first_click,2026-04-03 09:06:00,0.6277
ATTR00000062,U0000152,CH03,ADC00030,first_click,2026-04-01 18:35:41,0.7566
ATTR00000063,U0000154,CH05,ADC00072,first_click,2026-05-27 04:05:42,0.791
ATTR00000064,U0000155,CH06,ADC00049,last_click,2026-04-20 20:24:22,0.8702
ATTR00000065,U0000156,CH04,ADC00084,last_click,2026-04-07 02:01:30,0.9537
ATTR00000066,U0000157,CH04,ADC00027,last_click,2026-07-14 05:36:51,0.7326
ATTR00000067,U0000159,CH03,ADC00100,last_click,2026-01-14 13:04:39,0.9214
ATTR00000068,U0000161,CH05,ADC00097,last_click,2026-05-17 13:42:30,0.8731
ATTR00000069,U0000163,CH03,ADC00016,first_click,2026-02-23 18:03:36,0.6277
ATTR00000070,U0000168,CH03,ADC00086,last_click,2026-01-22 23:26:41,0.9416
ATTR00000071,U0000170,CH04,ADC00058,last_click,2026-08-23 20:16:27,0.7646
ATTR00000072,U0000173,CH04,ADC00054,last_click,2026-01-08 08:24:23,0.7797
ATTR00000073,U0000175,CH04,ADC00013,last_click,2026-05-30 22:52:08,0.9198
ATTR00000074,U0000178,CH04,ADC00014,view_through,2026-03-26 14:02:03,0.9294
ATTR00000075,U0000180,CH04,ADC00012,first_click,2026-04-14 05:56:22,0.9537
ATTR00000076,U0000182,CH03,ADC00075,last_click,2026-03-28 05:27:51,0.8162
ATTR00000077,U0000190,CH04,ADC00058,first_click,2026-08-17 21:38:08,0.6775
ATTR00000078,U0000191,CH04,ADC00055,first_click,2026-02-17 05:02:41,0.8465
ATTR00000079,U0000194,CH03,ADC00089,first_click,2026-05-27 07:02:57,0.7372
ATTR00000080,U0000195,CH05,ADC00021,last_click,2026-05-17 01:27:31,0.641
ATTR00000081,U0000197,CH05,ADC00076,first_click,2026-02-10 19:01:05,0.7426
ATTR00000082,U0000198,CH04,ADC00001,last_click,2026-05-06 06:09:53,0.8506
ATTR00000083,U0000199,CH04,ADC00041,last_click,2026-08-09 07:23:13,0.8593
ATTR00000084,U0000200,CH06,ADC00011,last_click,2026-04-24 17:39:42,0.9351
ATTR00000085,U0000203,CH05,ADC00047,last_click,2026-01-19 17:17:45,0.7953
ATTR00000086,U0000206,CH03,ADC00035,last_click,2026-04-02 01:33:15,0.6463
ATTR00000087,U0000208,CH05,ADC00047,last_click,2026-01-18 14:26:17,0.7548
ATTR00000088,U0000210,CH05,ADC00059,last_click,2026-08-11 09:26:55,0.8788
ATTR00000089,U0000214,CH05,ADC00045,last_click,2026-06-11 02:53:54,0.7836
ATTR00000090,U0000219,CH05,ADC00047,last_click,2026-01-18 09:53:41,0.89
ATTR00000091,U0000223,CH05,ADC00082,last_click,2026-05-05 05:56:06,0.6318
ATTR00000092,U0000226,CH05,ADC00072,last_click,2026-07-09 21:13:43,0.8463
ATTR00000093,U0000227,CH03,ADC00095,first_click,2026-06-14 06:55:43,0.8329
ATTR00000094,U0000228,CH06,ADC00036,last_click,2026-05-17 17:03:59,0.652
ATTR00000095,U0000233,CH03,ADC00008,last_click,2026-02-11 11:06:02,0.8637
ATTR00000096,U0000234,CH04,ADC00066,last_click,2026-06-03 10:23:24,0.7461
ATTR00000097,U0000236,CH03,ADC00085,last_click,2026-04-04 02:16:22,0.9552
ATTR00000098,U0000247,CH05,ADC00009,last_click,2026-05-04 17:57:46,0.8878
ATTR00000099,U0000248,CH05,ADC00047,first_click,2026-01-18 05:41:35,0.7273
ATTR00000100,U0000249,CH05,ADC00042,last_click,2026-02-16 20:12:01,0.9614
ATTR00000101,U0000251,CH04,ADC00099,last_click,2026-04-23 05:36:24,0.8494
ATTR00000102,U0000256,CH03,ADC00034,last_click,2026-03-18 15:38:15,0.831
ATTR00000103,U0000257,CH04,ADC00081,view_through,2026-04-29 10:58:46,0.9046
ATTR00000104,U0000260,CH03,ADC00022,first_click,2026-07-02 06:05:47,0.6251
ATTR00000105,U0000261,CH04,,first_click,2026-01-01 00:51:32,0.9216
ATTR00000106,U0000262,CH05,ADC00068,view_through,2026-03-12 01:26:01,0.8671
ATTR00000107,U0000263,CH04,ADC00015,last_click,2026-02-02 08:32:01,0.877
ATTR00000108,U0000264,CH06,ADC00079,first_click,2026-02-06 00:55:04,0.6835
ATTR00000109,U0000265,CH04,ADC00041,first_click,2026-07-31 18:34:33,0.7969
ATTR00000110,U0000266,CH03,ADC00091,last_click,2026-08-24 01:09:05,0.8105
ATTR00000111,U0000268,CH04,ADC00078,last_click,2026-06-01 06:22:46,0.7211
ATTR00000112,U0000270,CH04,ADC00057,last_click,2026-06-15 04:17:45,0.9084
ATTR00000113,U0000271,CH03,ADC00048,last_click,2026-04-13 04:02:57,0.8868
ATTR00000114,U0000272,CH05,ADC00020,last_click,2026-04-26 09:14:28,0.8412
ATTR00000115,U0000273,CH03,ADC00007,view_through,2026-05-26 07:52:14,0.9068
ATTR00000116,U0000274,CH06,ADC00079,last_click,2026-01-30 14:23:17,0.8818
ATTR00000117,U0000275,CH03,ADC00085,last_click,2026-01-08 21:47:31,0.7331
ATTR00000118,U0000276,CH03,ADC00048,last_click,2026-03-30 07:46:51,0.7504
ATTR00000119,U0000278,CH05,ADC00046,last_click,2026-06-11 01:29:50,0.7482
ATTR00000120,U0000279,CH04,ADC00039,view_through,2026-04-09 17:46:27,0.8968
ATTR00000121,U0000280,CH03,ADC00088,last_click,2026-04-21 18:36:22,0.7466
ATTR00000122,U0000282,CH03,ADC00091,first_click,2026-08-25 09:15:43,0.6219
ATTR00000123,U0000285,CH05,ADC00029,last_click,2026-06-06 20:48:35,0.965
ATTR00000124,U0000286,CH03,ADC00091,first_click,2026-07-30 01:15:30,0.6313
ATTR00000125,U0000288,CH03,ADC00019,last_click,2026-07-12 12:54:00,0.8416
ATTR00000126,U0000291,CH06,ADC00004,last_click,2026-02-17 19:17:14,0.6743
ATTR00000127,U0000292,CH05,ADC00009,first_click,2026-05-13 06:02:38,0.7485
ATTR00000128,U0000294,CH04,ADC00058,last_click,2026-08-26 00:35:58,0.8594
ATTR00000129,U0000297,CH05,ADC00072,first_click,2026-08-06 06:21:24,0.6851
ATTR00000130,U0000299,CH03,ADC00019,last_click,2026-06-29 05:15:12,0.9069
ATTR00000131,U0000300,CH06,ADC00096,last_click,2026-03-22 10:49:21,0.8556
ATTR00000132,U0000301,CH05,ADC00029,last_click,2026-07-10 19:04:16,0.7737
ATTR00000133,U0000302,CH05,,last_click,2026-08-27 00:13:36,0.7798
ATTR00000134,U0000308,CH04,ADC00015,last_click,2026-01-24 18:52:24,0.7359
ATTR00000135,U0000310,CH03,ADC00085,last_click,2026-01-16 07:13:11,0.6502
ATTR00000136,U0000311,CH04,ADC00054,last_click,2026-03-08 03:46:44,0.9313
ATTR00000137,U0000315,CH06,ADC00049,last_click,2026-06-16 13:18:30,0.6621
ATTR00000138,U0000316,CH04,ADC00002,view_through,2026-04-28 01:56:06,0.9653
ATTR00000139,U0000318,CH05,ADC00047,last_click,2026-03-07 20:29:26,0.7329
ATTR00000140,U0000319,CH05,ADC00072,last_click,2026-08-07 01:53:37,0.7971
ATTR00000141,U0000322,CH03,ADC00061,last_click,2026-04-23 10:42:18,0.7169
ATTR00000142,U0000323,CH03,ADC00091,last_click,2026-07-01 12:42:21,0.7896
ATTR00000143,U0000327,CH05,ADC00068,last_click,2026-02-25 18:35:40,0.8468
ATTR00000144,U0000328,CH03,ADC00035,last_click,2026-05-20 05:25:32,0.9236
ATTR00000145,U0000336,CH03,ADC00075,last_click,2026-05-18 02:33:00,0.6603
ATTR00000146,U0000339,CH06,ADC00025,first_click,2026-06-20 17:46:36,0.8734
ATTR00000147,U0000340,CH04,ADC00041,last_click,2026-06-20 07:56:32,0.8621
ATTR00000148,U0000341,CH06,ADC00032,last_click,2026-02-06 18:58:29,0.812
ATTR00000149,U0000347,CH04,ADC00060,first_click,2026-02-14 14:54:36,0.7784
ATTR00000150,U0000349,CH06,ADC00025,first_click,2026-07-28 21:10:32,0.9475
ATTR00000151,U0000351,CH03,ADC00075,last_click,2026-04-05 20:16:36,0.8104
ATTR00000152,U0000352,CH03,ADC00100,first_click,2026-02-01 00:03:05,0.7951
ATTR00000153,U0000357,CH06,ADC00024,last_click,2026-04-17 09:18:02,0.6401
ATTR00000154,U0000359,CH05,ADC00097,view_through,2026-03-13 23:59:23,0.9558
ATTR00000155,U0000360,CH03,ADC00016,last_click,2026-02-24 05:30:12,0.8711
ATTR00000156,U0000361,CH05,ADC00042,last_click,2026-02-14 11:24:20,0.6836
ATTR00000157,U0000363,CH03,ADC00075,last_click,2026-05-21 11:29:46,0.8346
ATTR00000158,U0000364,CH05,ADC00076,last_click,2026-02-15 13:56:08,0.834
ATTR00000159,U0000366,CH06,ADC00096,last_click,2026-03-29 08:29:30,0.6389
ATTR00000160,U0000369,CH03,ADC00085,last_click,2026-03-24 05:40:49,0.8693
ATTR00000161,U0000370,CH05,ADC00082,last_click,2026-03-17 05:14:46,0.9627
ATTR00000162,U0000371,CH06,ADC00036,last_click,2026-07-02 04:03:46,0.9022
ATTR00000163,U0000372,CH04,ADC00058,last_click,2026-08-28 01:37:23,0.8715
ATTR00000164,U0000375,CH04,ADC00058,last_click,2026-07-05 23:40:15,0.6588
ATTR00000165,U0000377,CH05,ADC00009,last_click,2026-05-10 04:47:46,0.6688
ATTR00000166,U0000380,CH03,ADC00019,first_click,2026-07-04 22:06:06,0.7882
ATTR00000167,U0000384,CH05,ADC00059,last_click,2026-08-13 18:27:09,0.7968
ATTR00000168,U0000395,CH05,ADC00059,first_click,2026-07-13 07:31:02,0.6908
ATTR00000169,U0000396,CH05,ADC00059,last_click,2026-07-24 00:30:45,0.9507
ATTR00000170,U0000397,CH04,ADC00054,first_click,2026-01-02 09:54:03,0.7894
ATTR00000171,U0000398,CH04,ADC00014,last_click,2026-02-18 03:23:08,0.8621
ATTR00000172,U0000399,CH05,ADC00072,last_click,2026-07-07 05:36:00,0.7546
ATTR00000173,U0000400,CH04,ADC00087,view_through,2026-02-08 12:34:13,0.7379
ATTR00000174,U0000402,CH04,ADC00054,first_click,2026-01-02 19:46:07,0.6356
ATTR00000175,U0000408,CH05,ADC00046,last_click,2026-06-24 14:47:47,0.7383
ATTR00000176,U0000409,CH04,ADC00002,view_through,2026-03-31 09:18:23,0.9534
ATTR00000177,U0000412,CH05,,first_click,2026-08-19 09:56:14,0.6705
ATTR00000178,U0000413,CH06,ADC00053,first_click,2026-06-21 15:00:21,0.7061
ATTR00000179,U0000415,CH04,ADC00058,last_click,2026-08-28 16:37:00,0.8403
ATTR00000180,U0000417,CH05,ADC00072,last_click,2026-08-09 14:41:02,0.871
ATTR00000181,U0000424,CH04,ADC00013,first_click,2026-04-03 23:45:31,0.7956
ATTR00000182,U0000425,CH03,ADC00019,last_click,2026-08-05 10:32:53,0.9302
ATTR00000183,U0000428,CH03,ADC00061,last_click,2026-02-26 19:39:31,0.6666
ATTR00000184,U0000430,CH03,ADC00090,first_click,2026-07-28 19:29:25,0.9023
ATTR00000185,U0000431,CH05,ADC00047,last_click,2026-01-14 19:37:11,0.9654
ATTR00000186,U0000432,CH03,ADC00090,last_click,2026-07-13 15:42:28,0.8908
ATTR00000187,U0000433,CH03,ADC00030,last_click,2026-04-18 04:44:31,0.6413
ATTR00000188,U0000434,CH06,ADC00005,last_click,2026-04-25 20:57:11,0.9485
ATTR00000189,U0000435,CH06,ADC00079,last_click,2026-02-17 16:27:27,0.935
ATTR00000190,U0000437,CH03,ADC00075,last_click,2026-04-25 05:29:49,0.8527
ATTR00000191,U0000438,CH04,ADC00054,last_click,2026-01-24 01:06:33,0.6593
ATTR00000192,U0000441,CH06,ADC00079,last_click,2026-02-03 19:12:10,0.9345
ATTR00000193,U0000444,CH04,ADC00041,last_click,2026-07-29 20:27:29,0.9546
ATTR00000194,U0000445,CH05,ADC00006,last_click,2026-05-14 07:58:41,0.6778
ATTR00000195,U0000446,CH03,ADC00007,last_click,2026-06-20 10:29:16,0.6524
ATTR00000196,U0000449,CH03,ADC00035,last_click,2026-05-04 12:33:02,0.8972
ATTR00000197,U0000450,CH06,ADC00025,last_click,2026-06-27 12:32:48,0.7497
ATTR00000198,U0000458,CH04,ADC00037,last_click,2026-05-04 14:03:08,0.9514
ATTR00000199,U0000463,CH06,ADC00093,last_click,2026-08-21 12:59:38,0.9782
ATTR00000200,U0000464,CH03,ADC00048,last_click,2026-02-25 09:56:00,0.9087
ATTR00000201,U0000466,CH03,ADC00089,last_click,2026-04-19 08:05:00,0.841
ATTR00000202,U0000467,CH04,ADC00014,first_click,2026-03-12 20:38:35,0.8303
ATTR00000203,U0000468,CH06,ADC00093,first_click,2026-08-19 11:26:58,0.8777
ATTR00000204,U0000470,CH06,ADC00064,first_click,2026-03-21 18:38:46,0.8223
ATTR00000205,U0000474,CH05,ADC00097,first_click,2026-03-26 11:16:59,0.8546
ATTR00000206,U0000475,CH03,ADC00019,first_click,2026-06-11 16:28:57,0.9225
ATTR00000207,U0000477,CH03,ADC00048,last_click,2026-02-14 09:40:18,0.9617
ATTR00000208,U0000479,CH06,ADC00096,first_click,2026-04-26 13:18:02,0.9147
ATTR00000209,U0000480,CH03,ADC00091,last_click,2026-07-17 07:10:30,0.944
ATTR00000210,U0000484,CH05,ADC00043,last_click,2026-06-05 16:01:49,0.7605
ATTR00000211,U0000487,CH04,ADC00063,first_click,2026-07-14 07:36:14,0.912
ATTR00000212,U0000488,CH04,ADC00063,first_click,2026-06-18 23:20:51,0.699
ATTR00000213,U0000490,CH03,ADC00008,first_click,2026-02-23 03:56:35,0.6525
ATTR00000214,U0000491,CH06,ADC00017,last_click,2026-03-11 13:13:22,0.7109
ATTR00000215,U0000492,CH05,ADC00029,first_click,2026-06-23 17:53:27,0.7337
ATTR00000216,U0000493,CH03,ADC00048,last_click,2026-03-14 21:24:46,0.6686
ATTR00000217,U0000495,CH06,ADC00067,last_click,2026-04-07 10:38:42,0.9626
ATTR00000218,U0000496,CH04,ADC00001,first_click,2026-06-07 17:07:35,0.9135
ATTR00000219,U0000498,CH03,ADC00100,last_click,2026-02-26 05:12:37,0.8821
ATTR00000220,U0000499,CH03,ADC00061,last_click,2026-04-14 14:17:38,0.7554
ATTR00000221,U0000502,CH03,ADC00091,last_click,2026-08-17 10:45:42,0.7733
ATTR00000222,U0000505,CH06,ADC00031,last_click,2026-03-16 15:09:51,0.8266
ATTR00000223,U0000510,CH03,ADC00090,last_click,2026-06-13 00:30:00,0.9487
ATTR00000224,U0000511,CH03,ADC00048,last_click,2026-03-27 00:52:39,0.7394
ATTR00000225,U0000515,CH05,ADC00082,last_click,2026-05-14 18:47:27,0.8682
ATTR00000226,U0000518,CH06,ADC00040,last_click,2026-06-03 21:02:12,0.8813
ATTR00000227,U0000520,CH05,ADC00072,last_click,2026-08-03 23:49:49,0.9689
ATTR00000228,U0000522,CH05,ADC00059,first_click,2026-08-05 04:22:39,0.9054
ATTR00000229,U0000526,CH04,ADC00027,last_click,2026-05-24 15:24:06,0.6885
ATTR00000230,U0000528,CH06,ADC00025,last_click,2026-08-03 21:39:39,0.8626
ATTR00000231,U0000534,CH04,ADC00066,first_click,2026-05-29 05:13:59,0.8928
ATTR00000232,U0000535,CH03,ADC00089,first_click,2026-04-16 13:55:03,0.8974
ATTR00000233,U0000544,CH04,ADC00066,last_click,2026-06-02 13:02:04,0.9575
ATTR00000234,U0000546,CH06,ADC00040,last_click,2026-05-13 21:44:17,0.6486
ATTR00000235,U0000548,CH03,ADC00085,last_click,2026-02-15 02:49:32,0.9167
ATTR00000236,U0000554,CH03,ADC00048,first_click,2026-02-05 17:35:25,0.9724
ATTR00000237,U0000555,CH03,ADC00071,last_click,2026-01-27 17:57:02,0.7012
ATTR00000238,U0000556,CH04,ADC00077,first_click,2026-05-06 05:52:45,0.7625
ATTR00000239,U0000558,CH05,ADC00069,last_click,2026-03-28 11:48:33,0.8399
ATTR00000240,U0000561,CH06,ADC00036,last_click,2026-05-30 00:58:07,0.7716
ATTR00000241,U0000565,CH03,ADC00091,first_click,2026-08-14 16:12:07,0.9865
ATTR00000242,U0000567,CH03,ADC00007,last_click,2026-05-20 16:29:31,0.8447
ATTR00000243,U0000568,CH05,ADC00083,view_through,2026-06-10 18:32:03,0.6263
ATTR00000244,U0000569,CH05,ADC00047,first_click,2026-01-20 04:02:21,0.6373
ATTR00000245,U0000571,CH05,ADC00082,last_click,2026-05-20 02:31:34,0.7152
ATTR00000246,U0000576,CH04,ADC00018,last_click,2026-04-21 18:30:45,0.766
ATTR00000247,U0000577,CH06,ADC00040,last_click,2026-05-20 08:38:00,0.8371
ATTR00000248,U0000579,CH03,ADC00019,last_click,2026-08-06 07:55:20,0.8835
ATTR00000249,U0000580,CH04,ADC00027,first_click,2026-07-16 13:21:33,0.8361
ATTR00000250,U0000581,CH04,ADC00038,last_click,2026-07-06 08:46:33,0.8433
ATTR00000251,U0000582,CH06,ADC00067,last_click,2026-05-26 20:16:38,0.879
ATTR00000252,U0000584,CH04,ADC00015,last_click,2026-02-08 05:27:24,0.8172
ATTR00000253,U0000593,CH05,ADC00069,last_click,2026-03-29 03:52:20,0.8778
ATTR00000254,U0000596,CH05,ADC00006,first_click,2026-05-18 15:58:44,0.8622
ATTR00000255,U0000597,CH06,ADC00032,last_click,2026-01-15 14:58:20,0.8447
ATTR00000256,U0000598,CH03,ADC00019,last_click,2026-07-05 08:32:10,0.7633
ATTR00000257,U0000602,CH03,ADC00030,last_click,2026-04-03 00:11:42,0.6872
ATTR00000258,U0000605,CH06,ADC00093,first_click,2026-07-23 08:18:21,0.6203
ATTR00000259,U0000608,CH03,ADC00028,first_click,2026-04-21 15:59:45,0.9028
ATTR00000260,U0000610,CH04,ADC00054,last_click,2026-01-03 01:17:00,0.6656
ATTR00000261,U0000613,CH05,ADC00082,last_click,2026-04-06 12:03:30,0.9211
ATTR00000262,U0000614,CH03,ADC00091,last_click,2026-08-26 00:18:13,0.7493
ATTR00000263,U0000615,CH06,ADC00096,last_click,2026-02-26 07:57:35,0.8963
ATTR00000264,U0000619,CH05,ADC00044,first_click,2026-04-26 19:05:15,0.9055
ATTR00000265,U0000622,CH05,ADC00072,first_click,2026-08-09 12:44:29,0.6759
ATTR00000266,U0000627,CH05,,last_click,2026-08-27 12:32:25,0.8484
ATTR00000267,U0000634,CH03,ADC00022,last_click,2026-06-05 00:26:25,0.7579
ATTR00000268,U0000636,CH03,ADC00008,last_click,2026-02-28 23:41:44,0.7787
ATTR00000269,U0000638,CH05,,first_click,2026-01-02 05:24:19,0.6915
ATTR00000270,U0000640,CH04,ADC00092,last_click,2026-05-17 06:46:37,0.8226
ATTR00000271,U0000642,CH03,ADC00075,last_click,2026-04-14 17:12:54,0.7302
ATTR00000272,U0000644,CH05,ADC00072,last_click,2026-05-19 18:54:48,0.735
ATTR00000273,U0000645,CH05,ADC00029,first_click,2026-05-08 17:08:14,0.6273
ATTR00000274,U0000647,CH03,ADC00089,last_click,2026-05-01 16:49:34,0.6684
ATTR00000275,U0000648,CH03,ADC00061,first_click,2026-02-25 10:26:40,0.8937
ATTR00000276,U0000649,CH06,ADC00053,last_click,2026-05-29 21:31:58,0.915
ATTR00000277,U0000651,CH04,ADC00054,view_through,2026-01-31 00:04:27,0.7807
ATTR00000278,U0000654,CH04,ADC00033,last_click,2026-06-14 15:50:49,0.7075
ATTR00000279,U0000655,CH03,ADC00085,last_click,2026-01-07 23:33:51,0.7037
ATTR00000280,U0000656,CH05,,first_click,2026-08-19 04:07:35,0.6976
ATTR00000281,U0000657,CH04,ADC00063,first_click,2026-06-14 08:21:02,0.8643
ATTR00000282,U0000659,CH04,ADC00014,first_click,2026-02-25 04:16:28,0.8917
ATTR00000283,U0000660,CH03,ADC00091,last_click,2026-08-02 13:46:03,0.7063
ATTR00000284,U0000661,CH03,ADC00016,first_click,2026-02-14 22:23:40,0.7123
ATTR00000285,U0000662,CH06,ADC00032,last_click,2026-01-25 07:33:00,0.8147
ATTR00000286,U0000663,CH05,ADC00069,last_click,2026-04-21 07:22:09,0.9677
ATTR00000287,U0000665,CH05,ADC00042,last_click,2026-02-17 01:59:45,0.6625
ATTR00000288,U0000666,CH05,ADC00068,last_click,2026-03-25 23:14:36,0.829
ATTR00000289,U0000667,CH05,ADC00029,last_click,2026-07-01 07:14:21,0.9781
ATTR00000290,U0000668,CH04,ADC00027,view_through,2026-07-23 14:36:17,0.6713
ATTR00000291,U0000669,CH04,ADC00054,last_click,2026-01-05 05:13:24,0.7571
ATTR00000292,U0000670,CH03,ADC00034,first_click,2026-03-10 10:11:34,0.7048
ATTR00000293,U0000671,CH03,ADC00048,first_click,2026-03-05 23:00:43,0.8751
ATTR00000294,U0000673,CH05,ADC00020,last_click,2026-05-05 23:26:38,0.8617
ATTR00000295,U0000675,CH05,ADC00068,last_click,2026-02-11 13:29:44,0.8169
ATTR00000296,U0000678,CH03,ADC00086,last_click,2026-01-22 14:01:36,0.9862
ATTR00000297,U0000679,CH05,ADC00045,last_click,2026-06-15 18:29:58,0.645
ATTR00000298,U0000682,CH05,ADC00097,last_click,2026-04-15 12:53:21,0.6618
ATTR00000299,U0000683,CH03,ADC00100,last_click,2026-01-16 06:53:34,0.8079
ATTR00000300,U0000684,CH04,ADC00066,first_click,2026-05-23 01:10:29,0.673
ATTR00000301,U0000685,CH03,ADC00028,last_click,2026-05-31 23:47:51,0.6282
ATTR00000302,U0000687,CH05,ADC00047,first_click,2026-02-21 21:38:44,0.8638
ATTR00000303,U0000689,CH05,ADC00074,first_click,2026-06-04 01:22:23,0.7874
ATTR00000304,U0000691,CH03,ADC00075,first_click,2026-04-16 00:47:45,0.7292
ATTR00000305,U0000692,CH05,ADC00068,first_click,2026-03-07 22:26:02,0.8157
ATTR00000306,U0000693,CH03,ADC00008,last_click,2026-02-02 17:10:15,0.9796
ATTR00000307,U0000694,CH04,ADC00041,last_click,2026-08-09 03:43:36,0.8959
ATTR00000308,U0000695,CH03,ADC00028,last_click,2026-06-12 14:47:21,0.9682
ATTR00000309,U0000697,CH06,ADC00031,last_click,2026-03-09 22:59:03,0.6575
ATTR00000310,U0000699,CH03,ADC00091,last_click,2026-08-22 21:58:06,0.85
