activity_id,user_id,activity_date,active_minutes,session_count,play_count,interaction_count,is_valid_active
DA0000000133,U0000016,2026-08-23,19,3,37,3,1
DA0000000134,U0000017,2026-05-14,32,3,73,7,1
DA0000000135,U0000017,2026-05-20,24,1,59,7,1
DA0000000136,U0000017,2026-05-27,33,1,53,6,1
DA0000000137,U0000017,2026-06-12,38,1,51,8,1
DA0000000138,U0000017,2026-07-16,69,1,150,14,1
DA0000000139,U0000017,2026-08-03,14,2,21,3,1
DA0000000140,U0000017,2026-08-24,84,2,101,9,1
DA0000000141,U0000018,2026-04-07,16,6,25,1,1
DA0000000142,U0000018,2026-04-11,28,1,48,4,1
DA0000000143,U0000018,2026-07-22,6,1,13,0,1
DA0000000144,U0000019,2026-08-02,9,1,20,1,1
DA0000000145,U0000021,2026-04-02,15,1,19,1,1
DA0000000146,U0000021,2026-04-08,58,2,147,18,1
DA0000000147,U0000021,2026-04-09,38,1,94,6,1
DA0000000148,U0000021,2026-04-11,7,1,13,1,1
DA0000000149,U0000021,2026-04-20,23,3,39,1,1
DA0000000150,U0000021,2026-05-14,2,1,2,0,0
DA0000000151,U0000022,2026-08-16,20,9,50,3,1
DA0000000152,U0000022,2026-08-18,10,1,25,1,1
DA0000000153,U0000022,2026-08-19,26,1,33,2,1
DA0000000154,U0000022,2026-08-22,71,1,118,14,1
DA0000000155,U0000022,2026-08-24,63,1,162,13,1
DA0000000156,U0000022,2026-08-25,17,1,42,3,1
DA0000000157,U0000022,2026-08-26,42,2,67,8,1
DA0000000158,U0000022,2026-08-27,29,1,69,3,1
DA0000000159,U0000023,2026-05-05,50,1,109,8,1
DA0000000160,U0000023,2026-05-07,7,5,18,1,1
DA0000000161,U0000023,2026-05-11,20,1,35,1,1
DA0000000162,U0000023,2026-05-20,43,2,77,8,1
DA0000000163,U0000023,2026-06-01,21,1,41,3,1
DA0000000164,U0000023,2026-06-03,55,4,81,3,1
DA0000000165,U0000023,2026-06-24,44,3,61,7,1
DA0000000166,U0000023,2026-07-23,20,1,39,5,1
DA0000000167,U0000023,2026-07-29,76,9,114,11,1
DA0000000168,U0000024,2026-03-17,23,3,46,1,1
DA0000000169,U0000024,2026-06-13,14,2,22,3,1
DA0000000170,U0000025,2026-08-23,30,3,34,2,1
DA0000000171,U0000025,2026-08-24,31,2,50,1,1
DA0000000172,U0000025,2026-08-25,25,1,40,5,1
DA0000000173,U0000025,2026-08-26,43,1,93,9,1
DA0000000174,U0000025,2026-08-27,27,1,65,2,1
DA0000000175,U0000025,2026-08-28,67,1,92,3,1
DA0000000176,U0000026,2026-08-20,21,1,30,3,1
DA0000000177,U0000026,2026-08-21,5,1,6,0,1
DA0000000178,U0000026,2026-08-22,44,2,84,6,1
DA0000000179,U0000026,2026-08-23,14,5,30,0,1
DA0000000180,U0000026,2026-08-26,50,1,74,6,1
DA0000000181,U0000027,2026-07-11,11,3,19,0,1
DA0000000182,U0000027,2026-07-13,40,3,48,5,1
DA0000000183,U0000027,2026-07-15,20,1,39,4,1
DA0000000184,U0000027,2026-07-28,25,6,54,5,1
DA0000000185,U0000027,2026-08-09,3,5,7,1,0
DA0000000186,U0000027,2026-08-14,32,3,40,2,1
DA0000000187,U0000027,2026-08-19,29,3,72,3,1
DA0000000188,U0000028,2026-04-23,16,1,34,6,1
DA0000000189,U0000028,2026-04-27,46,5,87,8,1
DA0000000190,U0000028,2026-05-22,55,3,118,18,1
DA0000000191,U0000029,2026-08-15,16,1,30,4,1
DA0000000192,U0000029,2026-08-16,24,3,53,8,1
DA0000000193,U0000029,2026-08-17,2,5,3,0,0
DA0000000194,U0000029,2026-08-18,42,3,77,2,1
DA0000000195,U0000029,2026-08-19,32,1,37,1,1
DA0000000196,U0000029,2026-08-20,31,2,46,7,1
DA0000000197,U0000029,2026-08-21,108,1,169,10,1
DA0000000198,U0000029,2026-08-22,51,1,79,4,1
DA0000000199,U0000029,2026-08-24,50,3,97,3,1
DA0000000200,U0000029,2026-08-25,58,3,90,2,1
DA0000000201,U0000029,2026-08-26,59,2,139,21,1
DA0000000202,U0000029,2026-08-27,33,9,68,7,1
DA0000000203,U0000030,2026-04-23,68,1,121,7,1
DA0000000204,U0000030,2026-05-02,86,2,207,22,1
DA0000000205,U0000030,2026-05-05,20,1,22,1,1
DA0000000206,U0000030,2026-06-05,91,1,162,11,1
DA0000000207,U0000030,2026-06-08,37,2,87,8,1
DA0000000208,U0000030,2026-07-01,35,1,80,10,1
DA0000000209,U0000030,2026-07-11,20,1,25,1,1
DA0000000210,U0000030,2026-07-16,26,2,42,1,1
DA0000000211,U0000030,2026-07-17,50,2,102,10,1
DA0000000212,U0000030,2026-08-09,71,1,165,9,1
DA0000000213,U0000030,2026-08-14,28,2,34,5,1
DA0000000214,U0000031,2026-06-07,15,1,32,2,1
DA0000000215,U0000032,2026-06-26,16,1,21,3,1
DA0000000216,U0000032,2026-07-07,52,1,75,1,1
DA0000000217,U0000032,2026-07-25,60,3,139,13,1
DA0000000218,U0000032,2026-07-26,27,1,60,4,1
DA0000000219,U0000032,2026-07-29,33,2,70,6,1
DA0000000220,U0000032,2026-08-06,28,1,54,7,1
DA0000000221,U0000032,2026-08-11,15,1,23,1,1
DA0000000222,U0000032,2026-08-14,9,3,11,0,1
DA0000000223,U0000032,2026-08-21,25,1,48,7,1
DA0000000224,U0000032,2026-08-22,15,2,30,2,1
DA0000000225,U0000032,2026-08-23,8,1,12,1,1
DA0000000226,U0000033,2026-02-24,5,1,10,1,1
DA0000000227,U0000033,2026-04-26,23,1,35,1,1
DA0000000228,U0000034,2026-05-26,14,4,27,2,1
DA0000000229,U0000034,2026-06-02,15,2,16,2,1
DA0000000230,U0000034,2026-07-13,89,1,197,7,1
DA0000000231,U0000034,2026-08-11,64,1,92,15,1
DA0000000232,U0000034,2026-08-28,148,3,267,44,1
DA0000000233,U0000035,2026-08-04,16,2,29,5,1
DA0000000234,U0000035,2026-08-05,5,2,6,0,1
DA0000000235,U0000035,2026-08-07,18,1,38,6,1
DA0000000236,U0000035,2026-08-08,22,1,37,0,1
DA0000000237,U0000035,2026-08-11,19,4,27,1,1
DA0000000238,U0000035,2026-08-16,45,1,86,10,1
DA0000000239,U0000035,2026-08-21,11,3,25,1,1
DA0000000240,U0000035,2026-08-22,26,5,58,5,1
DA0000000241,U0000036,2026-07-17,53,3,128,16,1
DA0000000242,U0000036,2026-07-18,19,1,45,7,1
DA0000000243,U0000036,2026-07-20,32,4,52,3,1
DA0000000244,U0000036,2026-07-24,23,1,55,3,1
DA0000000245,U0000036,2026-08-12,34,1,49,1,1
DA0000000246,U0000036,2026-08-16,45,5,82,14,1
DA0000000247,U0000036,2026-08-18,54,1,88,2,1
DA0000000248,U0000037,2026-08-05,25,1,60,7,1
DA0000000249,U0000037,2026-08-14,66,3,142,21,1
DA0000000250,U0000037,2026-08-18,33,3,84,8,1
DA0000000251,U0000038,2026-01-30,29,1,45,4,1
DA0000000252,U0000038,2026-02-05,14,1,15,0,1
DA0000000253,U0000038,2026-03-23,136,9,256,22,1
DA0000000254,U0000038,2026-04-13,60,4,149,26,1
DA0000000255,U0000038,2026-05-20,63,4,162,26,1
DA0000000256,U0000038,2026-07-04,28,1,43,1,1
DA0000000257,U0000038,2026-07-21,17,1,38,3,1
DA0000000258,U0000038,2026-07-29,46,1,101,17,1
DA0000000259,U0000038,2026-08-11,14,1,36,2,1
DA0000000260,U0000039,2026-03-04,12,2,17,2,1
DA0000000261,U0000039,2026-03-06,26,1,43,6,1
DA0000000262,U0000039,2026-06-26,30,1,76,2,1
DA0000000263,U0000040,2026-02-21,17,5,34,1,1
DA0000000264,U0000040,2026-03-07,24,2,36,0,1
DA0000000265,U0000040,2026-03-09,50,4,77,9,1
DA0000000266,U0000040,2026-03-10,70,1,153,23,1
DA0000000267,U0000040,2026-05-06,21,6,33,0,1
DA0000000268,U0000040,2026-05-28,26,3,63,8,1
DA0000000269,U0000040,2026-06-03,33,4,76,11,1
DA0000000270,U0000040,2026-07-30,11,1,23,4,1
DA0000000271,U0000040,2026-08-02,12,2,13,0,1
DA0000000272,U0000041,2026-03-26,3,1,5,0,0
DA0000000273,U0000041,2026-05-13,34,1,46,3,1
DA0000000274,U0000041,2026-06-25,33,2,46,3,1
DA0000000275,U0000041,2026-06-30,27,2,48,6,1
DA0000000276,U0000041,2026-07-03,24,4,28,3,1
DA0000000277,U0000041,2026-07-12,29,1,46,3,1
DA0000000278,U0000041,2026-07-21,25,2,59,1,1
DA0000000279,U0000041,2026-07-22,31,1,63,6,1
DA0000000280,U0000041,2026-08-19,34,6,39,3,1
DA0000000281,U0000041,2026-08-23,28,2,31,2,1
DA0000000282,U0000041,2026-08-27,8,1,9,1,1
DA0000000283,U0000042,2026-01-15,72,3,130,3,1
DA0000000284,U0000042,2026-01-17,18,1,27,4,1
DA0000000285,U0000042,2026-01-21,7,5,15,2,1
DA0000000286,U0000042,2026-01-28,86,1,164,14,1
DA0000000287,U0000042,2026-01-31,57,3,123,6,1
DA0000000288,U0000042,2026-02-11,68,1,87,4,1
DA0000000289,U0000042,2026-02-13,49,1,68,6,1
DA0000000290,U0000042,2026-02-27,22,2,56,1,1
DA0000000291,U0000042,2026-03-10,112,7,193,14,1
DA0000000292,U0000042,2026-03-23,69,1,149,24,1
DA0000000293,U0000042,2026-04-09,78,4,114,9,1
DA0000000294,U0000042,2026-04-11,34,3,76,7,1
DA0000000295,U0000042,2026-04-25,53,1,76,3,1
DA0000000296,U0000042,2026-05-31,66,3,76,11,1
DA0000000297,U0000042,2026-06-18,22,1,52,1,1
DA0000000298,U0000042,2026-06-19,24,1,48,4,1
DA0000000299,U0000042,2026-07-20,28,1,64,9,1
DA0000000300,U0000044,2026-04-02,70,2,122,4,1
DA0000000301,U0000045,2026-01-17,11,2,16,0,1
DA0000000302,U0000045,2026-02-06,42,3,85,9,1
DA0000000303,U0000045,2026-04-08,44,4,109,11,1
DA0000000304,U0000045,2026-04-21,19,2,21,0,1
DA0000000305,U0000045,2026-05-17,27,7,52,2,1
DA0000000306,U0000045,2026-06-15,11,2,19,2,1
DA0000000307,U0000045,2026-08-19,11,5,19,1,1
DA0000000308,U0000046,2026-07-06,9,1,19,2,1
DA0000000309,U0000046,2026-07-08,64,5,145,3,1
DA0000000310,U0000046,2026-07-19,67,1,149,23,1
DA0000000311,U0000046,2026-07-23,25,3,53,7,1
DA0000000312,U0000046,2026-07-31,28,1,67,1,1
DA0000000313,U0000046,2026-08-21,15,1,33,3,1
DA0000000314,U0000046,2026-08-26,47,1,52,9,1
DA0000000315,U0000047,2026-08-15,18,1,33,3,1
DA0000000316,U0000047,2026-08-16,46,2,116,9,1
DA0000000317,U0000047,2026-08-21,3,3,4,0,0
DA0000000318,U0000048,2026-01-15,21,6,30,2,1
DA0000000319,U0000048,2026-01-21,15,6,30,3,1
DA0000000320,U0000048,2026-01-28,26,2,40,5,1
DA0000000321,U0000048,2026-02-13,15,3,16,0,1
DA0000000322,U0000048,2026-02-15,32,3,72,6,1
DA0000000323,U0000048,2026-02-16,1,1,1,0,0
DA0000000324,U0000048,2026-04-21,32,1,48,7,1
DA0000000325,U0000048,2026-05-03,36,1,80,5,1
DA0000000326,U0000048,2026-06-16,64,1,108,7,1
DA0000000327,U0000048,2026-06-24,40,1,49,3,1
DA0000000328,U0000048,2026-06-25,13,3,16,2,1
DA0000000329,U0000048,2026-07-04,24,2,47,4,1
DA0000000330,U0000049,2026-08-24,6,4,9,0,1
DA0000000331,U0000049,2026-08-25,27,2,57,1,1
DA0000000332,U0000049,2026-08-27,5,3,11,1,1
DA0000000333,U0000050,2026-03-01,21,4,46,2,1
DA0000000334,U0000050,2026-03-04,28,1,33,5,1
DA0000000335,U0000050,2026-03-20,118,3,290,8,1
DA0000000336,U0000050,2026-04-18,26,1,66,7,1
DA0000000337,U0000050,2026-04-22,7,1,13,0,1
DA0000000338,U0000050,2026-05-17,14,1,18,2,1
DA0000000339,U0000050,2026-05-26,72,2,138,11,1
DA0000000340,U0000050,2026-06-02,25,2,46,7,1
DA0000000341,U0000050,2026-07-19,31,2,78,3,1
DA0000000342,U0000050,2026-07-30,6,1,10,0,1
DA0000000343,U0000050,2026-08-07,73,1,177,20,1
DA0000000344,U0000050,2026-08-18,44,2,93,8,1
DA0000000345,U0000051,2026-01-27,44,1,73,11,1
DA0000000346,U0000051,2026-02-07,78,2,188,31,1
DA0000000347,U0000051,2026-02-19,87,3,118,18,1
DA0000000348,U0000051,2026-03-21,13,1,27,0,1
DA0000000349,U0000051,2026-03-22,19,2,21,1,1
DA0000000350,U0000051,2026-04-09,27,4,53,7,1
DA0000000351,U0000051,2026-05-07,35,3,39,1,1
DA0000000352,U0000051,2026-05-18,2,2,3,0,0
DA0000000353,U0000051,2026-05-21,20,4,43,1,1
DA0000000354,U0000051,2026-05-25,59,1,77,11,1
DA0000000355,U0000051,2026-05-28,24,7,57,9,1
DA0000000356,U0000051,2026-06-13,14,1,32,1,1
DA0000000357,U0000051,2026-07-18,65,3,121,3,1
DA0000000358,U0000051,2026-07-27,8,1,9,0,1
DA0000000359,U0000051,2026-08-03,35,1,68,3,1
DA0000000360,U0000051,2026-08-14,11,2,23,0,1
DA0000000361,U0000052,2026-08-13,48,1,120,7,1
DA0000000362,U0000052,2026-08-14,17,1,18,2,1
DA0000000363,U0000052,2026-08-15,48,5,69,6,1
DA0000000364,U0000052,2026-08-17,9,3,12,0,1
DA0000000365,U0000052,2026-08-18,27,1,57,4,1
DA0000000366,U0000052,2026-08-24,80,3,110,16,1
DA0000000367,U0000052,2026-08-28,15,1,31,5,1
DA0000000368,U0000053,2026-05-25,13,3,31,1,1
DA0000000369,U0000053,2026-06-01,35,4,45,5,1
DA0000000370,U0000053,2026-06-07,26,4,45,6,1
DA0000000371,U0000053,2026-06-09,10,1,19,2,1
DA0000000372,U0000053,2026-06-13,58,1,81,9,1
DA0000000373,U0000053,2026-07-13,10,1,19,3,1
DA0000000374,U0000053,2026-07-22,9,3,21,2,1
DA0000000375,U0000053,2026-07-24,60,1,93,4,1
DA0000000376,U0000053,2026-07-29,22,6,55,3,1
DA0000000377,U0000053,2026-08-11,25,1,55,2,1
DA0000000378,U0000053,2026-08-24,29,2,37,2,1
DA0000000379,U0000054,2026-05-08,20,1,48,4,1
DA0000000380,U0000054,2026-06-06,5,3,11,0,1
DA0000000381,U0000054,2026-06-24,28,3,52,7,1
DA0000000382,U0000055,2026-02-18,17,6,43,3,1
DA0000000383,U0000055,2026-02-20,22,2,24,1,1
DA0000000384,U0000055,2026-02-24,39,1,55,3,1
DA0000000385,U0000055,2026-03-29,11,1,22,0,1
DA0000000386,U0000055,2026-04-01,47,1,72,2,1
DA0000000387,U0000055,2026-04-02,84,1,191,11,1
DA0000000388,U0000055,2026-04-11,10,2,14,2,1
DA0000000389,U0000055,2026-04-30,33,1,37,6,1
DA0000000390,U0000055,2026-06-06,11,1,16,0,1
DA0000000391,U0000055,2026-06-27,43,5,60,4,1
DA0000000392,U0000055,2026-07-21,27,1,44,2,1
DA0000000393,U0000055,2026-08-13,68,1,77,4,1
DA0000000394,U0000055,2026-08-22,65,2,97,6,1
DA0000000395,U0000056,2026-01-25,36,2,48,1,1
DA0000000396,U0000056,2026-01-29,27,1,34,2,1
DA0000000397,U0000056,2026-01-31,35,3,45,1,1
DA0000000398,U0000056,2026-02-01,22,1,26,1,1
DA0000000399,U0000056,2026-02-06,32,3,62,6,1
DA0000000400,U0000056,2026-02-26,64,1,154,6,1
DA0000000401,U0000056,2026-05-06,27,1,49,6,1
DA0000000402,U0000056,2026-05-11,28,1,42,1,1
DA0000000403,U0000056,2026-06-14,32,1,62,2,1
DA0000000404,U0000056,2026-07-28,38,1,86,2,1
DA0000000405,U0000056,2026-08-14,26,2,54,2,1
DA0000000406,U0000057,2026-02-16,21,3,31,0,1
DA0000000407,U0000057,2026-02-24,8,2,14,0,1
DA0000000408,U0000057,2026-03-04,46,3,78,8,1
DA0000000409,U0000057,2026-06-18,4,4,4,0,0
DA0000000410,U0000058,2026-01-17,28,1,53,7,1
DA0000000411,U0000058,2026-01-18,40,1,76,12,1
DA0000000412,U0000058,2026-01-24,51,1,120,4,1
DA0000000413,U0000058,2026-01-31,25,2,49,7,1
DA0000000414,U0000058,2026-02-11,27,3,48,5,1
DA0000000415,U0000058,2026-03-01,35,1,67,10,1
DA0000000416,U0000058,2026-03-30,8,1,18,1,1
DA0000000417,U0000058,2026-04-04,37,2,75,7,1
DA0000000418,U0000058,2026-04-21,27,2,34,1,1
DA0000000419,U0000058,2026-05-06,9,6,17,2,1
DA0000000420,U0000058,2026-06-01,34,1,75,4,1
DA0000000421,U0000059,2026-08-21,30,1,58,5,1
DA0000000422,U0000059,2026-08-22,48,1,81,9,1
DA0000000423,U0000059,2026-08-23,25,4,61,10,1
DA0000000424,U0000059,2026-08-24,29,3,74,5,1
DA0000000425,U0000059,2026-08-25,19,1,28,4,1
DA0000000426,U0000059,2026-08-27,18,1,28,4,1
DA0000000427,U0000059,2026-08-28,22,1,25,2,1
DA0000000428,U0000060,2026-07-23,5,1,5,0,1
DA0000000429,U0000060,2026-08-04,46,3,63,2,1
DA0000000430,U0000060,2026-08-16,21,1,52,3,1
DA0000000431,U0000061,2026-06-24,55,2,104,10,1
DA0000000432,U0000061,2026-06-28,20,1,23,1,1
DA0000000433,U0000061,2026-06-30,36,2,60,8,1
DA0000000434,U0000061,2026-07-12,24,1,34,2,1
DA0000000435,U0000061,2026-07-19,21,1,27,2,1
DA0000000436,U0000061,2026-08-10,42,3,101,4,1
DA0000000437,U0000061,2026-08-14,76,2,171,16,1
DA0000000438,U0000061,2026-08-24,15,4,33,3,1
DA0000000439,U0000061,2026-08-26,38,6,54,1,1
DA0000000440,U0000061,2026-08-28,33,2,80,10,1
DA0000000441,U0000062,2026-05-27,45,2,81,2,1
DA0000000442,U0000062,2026-06-09,3,1,3,0,0
DA0000000443,U0000062,2026-06-23,13,3,27,1,1
DA0000000444,U0000062,2026-07-23,25,2,50,7,1
DA0000000445,U0000062,2026-07-26,68,1,142,5,1
DA0000000446,U0000062,2026-07-27,43,1,63,7,1
DA0000000447,U0000062,2026-08-05,21,1,46,2,1
DA0000000448,U0000063,2026-04-27,35,2,83,8,1
DA0000000449,U0000063,2026-05-02,26,1,44,7,1
DA0000000450,U0000063,2026-05-10,55,1,65,5,1
DA0000000451,U0000063,2026-06-14,16,2,29,3,1
DA0000000452,U0000063,2026-06-25,27,1,48,2,1
DA0000000453,U0000063,2026-07-03,40,6,57,6,1
DA0000000454,U0000063,2026-07-04,52,3,121,5,1
DA0000000455,U0000063,2026-07-11,8,2,10,0,1
DA0000000456,U0000063,2026-07-12,8,1,18,1,1
DA0000000457,U0000063,2026-07-19,33,1,66,4,1
DA0000000458,U0000063,2026-08-04,37,1,62,7,1
DA0000000459,U0000063,2026-08-07,8,1,10,0,1
DA0000000460,U0000063,2026-08-14,29,1,36,3,1
DA0000000461,U0000063,2026-08-28,42,1,63,5,1
DA0000000462,U0000064,2026-02-01,27,1,31,3,1
DA0000000463,U0000064,2026-02-04,41,3,79,13,1
DA0000000464,U0000064,2026-02-12,53,1,105,8,1
DA0000000465,U0000064,2026-04-24,36,2,88,14,1
DA0000000466,U0000064,2026-06-16,21,4,41,1,1
DA0000000467,U0000064,2026-07-12,39,1,86,5,1
DA0000000468,U0000065,2026-02-10,5,1,12,0,1
DA0000000469,U0000065,2026-03-10,41,1,62,10,1
DA0000000470,U0000065,2026-03-18,9,1,11,1,1
DA0000000471,U0000065,2026-03-23,15,1,33,2,1
DA0000000472,U0000065,2026-06-01,31,1,60,5,1
DA0000000473,U0000065,2026-06-04,46,3,88,13,1
DA0000000474,U0000065,2026-06-23,24,1,60,7,1
DA0000000475,U0000065,2026-07-21,58,1,85,3,1
DA0000000476,U0000065,2026-07-25,29,1,55,8,1
DA0000000477,U0000065,2026-07-28,23,5,32,1,1
DA0000000478,U0000065,2026-08-09,17,1,20,1,1
DA0000000479,U0000066,2026-07-18,18,4,36,6,1
