creator_id,primary_category_id,follower_count,published_content_count,quality_score,creator_type,snapshot_date
C000086,CAT12,193648,1521,0.5696,个人,2026-08-28
C000087,CAT09,474842,3017,0.536,个人,2026-08-28
C000088,CAT12,440350,3457,0.6121,个人,2026-08-28
C000089,CAT04,176045,141,0.5673,个人,2026-08-28
C000090,CAT04,1154910,1137,0.4931,机构,2026-08-28
C000091,CAT03,763447,183,0.4564,个人,2026-08-28
C000092,CAT03,921525,3505,0.5146,个人,2026-08-28
C000093,CAT01,124772,3336,0.643,个人,2026-08-28
C000094,CAT01,606386,3438,0.4286,个人,2026-08-28
C000095,CAT03,223773,3481,0.7892,个人,2026-08-28
C000096,CAT09,716457,3640,0.3157,媒体,2026-08-28
C000097,CAT09,47730,1366,0.3455,个人,2026-08-28
C000098,CAT05,911267,344,0.5668,媒体,2026-08-28
C000099,CAT08,587222,414,0.4876,个人,2026-08-28
C000100,CAT12,1154650,1838,0.6361,个人,2026-08-28
C000101,CAT07,232241,613,0.4749,个人,2026-08-28
C000102,CAT05,1103747,351,0.2332,机构,2026-08-28
C000103,CAT09,711702,1853,0.5755,个人,2026-08-28
C000104,CAT09,618463,775,0.7161,个人,2026-08-28
C000105,CAT08,144002,3495,0.98,个人,2026-08-28
C000106,CAT06,315974,2842,0.6581,个人,2026-08-28
C000107,CAT11,558431,779,0.5211,个人,2026-08-28
C000108,CAT09,971535,3175,0.5667,个人,2026-08-28
C000109,CAT03,289981,400,0.3839,个人,2026-08-28
C000110,CAT08,347458,1980,0.8423,个人,2026-08-28
C000111,CAT01,965370,2941,0.7003,个人,2026-08-28
C000112,CAT03,5472,1029,0.8027,个人,2026-08-28
C000113,CAT12,168088,553,0.5159,个人,2026-08-28
C000114,CAT08,901229,2464,0.6189,个人,2026-08-28
C000115,CAT06,346234,1670,0.5434,个人,2026-08-28
C000116,CAT04,206936,1283,0.449,个人,2026-08-28
C000117,CAT06,1031265,324,0.4484,机构,2026-08-28
C000118,CAT10,234848,1474,0.4484,个人,2026-08-28
C000119,CAT07,708807,2427,0.7364,个人,2026-08-28
C000120,CAT03,496785,2925,0.5688,个人,2026-08-28
C000121,CAT02,282645,3791,0.4659,媒体,2026-08-28
C000122,CAT03,774023,403,0.7586,个人,2026-08-28
C000123,CAT02,461274,1216,0.6446,个人,2026-08-28
C000124,CAT06,59472,2669,0.6352,个人,2026-08-28
C000125,CAT09,213967,1281,0.6052,个人,2026-08-28
C000126,CAT08,215562,3551,0.6449,个人,2026-08-28
C000127,CAT11,1164238,2339,0.7298,个人,2026-08-28
C000128,CAT04,187961,839,0.7924,媒体,2026-08-28
C000129,CAT03,1088006,418,0.6216,个人,2026-08-28
C000130,CAT03,427437,627,0.2973,个人,2026-08-28
C000131,CAT03,663567,1976,0.5647,个人,2026-08-28
C000132,CAT05,179519,3136,0.98,个人,2026-08-28
C000133,CAT11,995015,2416,0.8637,个人,2026-08-28
C000134,CAT11,150159,180,0.5149,机构,2026-08-28
C000135,CAT12,716840,3802,0.726,个人,2026-08-28
C000136,CAT11,721401,391,0.5397,个人,2026-08-28
C000137,CAT04,449747,1376,0.4548,个人,2026-08-28
C000138,CAT04,1149386,2109,0.4904,媒体,2026-08-28
C000139,CAT06,422217,1519,0.3674,个人,2026-08-28
C000140,CAT03,3796,1671,0.7071,个人,2026-08-28
C000141,CAT04,239017,2740,0.2531,个人,2026-08-28
C000142,CAT04,743356,1574,0.578,个人,2026-08-28
C000143,CAT05,935851,3860,0.7205,个人,2026-08-28
C000144,CAT04,497101,1335,0.6055,个人,2026-08-28
C000145,CAT04,697876,3428,0.9194,媒体,2026-08-28
C000146,CAT12,178067,2845,0.718,个人,2026-08-28
C000147,CAT04,695430,2004,0.557,个人,2026-08-28
C000148,CAT06,909458,2400,0.7443,个人,2026-08-28
C000149,CAT01,174720,2625,0.7183,个人,2026-08-28
C000150,CAT06,297395,3872,0.5396,个人,2026-08-28
C000151,CAT12,985140,871,0.4674,个人,2026-08-28
C000152,CAT05,402637,1088,0.6599,个人,2026-08-28
C000153,CAT08,869727,1563,0.8725,个人,2026-08-28
C000154,CAT08,1005648,2475,0.4185,个人,2026-08-28
C000155,CAT11,1172113,2597,0.4049,个人,2026-08-28
C000156,CAT11,1014316,27,0.4597,个人,2026-08-28
C000157,CAT10,623141,2729,0.7376,个人,2026-08-28
C000158,CAT03,620586,551,0.5207,个人,2026-08-28
C000159,CAT12,636882,2331,0.5451,媒体,2026-08-28
C000160,CAT06,951875,635,0.4135,个人,2026-08-28
C000161,CAT07,1199208,353,0.562,个人,2026-08-28
C000162,CAT01,1072769,1257,0.5013,个人,2026-08-28
C000163,CAT07,637033,2591,0.4169,个人,2026-08-28
C000164,CAT04,142358,51,0.46,个人,2026-08-28
C000165,CAT06,1110313,3188,0.4745,个人,2026-08-28
C000166,CAT02,1176256,227,0.6262,个人,2026-08-28
C000167,CAT07,1007594,89,0.6573,个人,2026-08-28
C000168,CAT10,454328,3772,0.421,个人,2026-08-28
C000169,CAT02,966620,891,0.5384,个人,2026-08-28
C000170,CAT03,692156,566,0.8671,个人,2026-08-28
C000171,CAT01,518926,2211,0.6136,个人,2026-08-28
C000172,CAT11,303371,3191,0.5165,个人,2026-08-28
C000173,CAT01,393415,2153,0.6188,个人,2026-08-28
C000174,CAT04,227961,2314,0.5542,个人,2026-08-28
C000175,CAT05,818715,236,0.5717,个人,2026-08-28
C000176,CAT06,403791,2389,0.4219,个人,2026-08-28
C000177,CAT04,278819,1190,0.4873,个人,2026-08-28
C000178,CAT05,599920,1420,0.6954,个人,2026-08-28
C000179,CAT03,360348,2334,0.6331,个人,2026-08-28
C000180,CAT06,20926,2596,0.884,个人,2026-08-28
C000181,CAT06,135792,3285,0.561,个人,2026-08-28
C000182,CAT08,34062,2461,0.205,个人,2026-08-28
C000183,CAT02,673959,1540,0.6217,个人,2026-08-28
C000184,CAT05,566010,675,0.7593,个人,2026-08-28
C000185,CAT03,914152,336,0.7065,个人,2026-08-28
C000186,CAT02,338678,1627,0.7912,个人,2026-08-28
C000187,CAT08,549857,101,0.6575,个人,2026-08-28
C000188,CAT09,868271,1931,0.5803,个人,2026-08-28
C000189,CAT07,1192768,3460,0.3217,机构,2026-08-28
C000190,CAT10,1169680,2430,0.5712,个人,2026-08-28
C000191,CAT05,1175097,1564,0.736,个人,2026-08-28
C000192,CAT01,1012746,3751,0.3258,个人,2026-08-28
C000193,CAT04,943514,1109,0.7862,个人,2026-08-28
C000194,CAT06,1155340,3769,0.8479,个人,2026-08-28
C000195,CAT02,943327,3640,0.6349,个人,2026-08-28
C000196,CAT07,1064449,780,0.386,个人,2026-08-28
C000197,CAT03,1059424,1571,0.3818,个人,2026-08-28
C000198,CAT07,912609,587,0.4216,个人,2026-08-28
C000199,CAT11,678710,3461,0.4232,个人,2026-08-28
C000200,CAT08,983361,2195,0.2913,机构,2026-08-28
C000201,CAT04,937415,3688,0.5794,个人,2026-08-28
C000202,CAT03,265569,79,0.913,媒体,2026-08-28
C000203,CAT09,760635,851,0.3674,个人,2026-08-28
C000204,CAT11,5926,1702,0.4016,个人,2026-08-28
C000205,CAT12,1171804,2516,0.7839,个人,2026-08-28
C000206,CAT02,949186,1045,0.2751,个人,2026-08-28
C000207,CAT08,248141,2585,0.5507,机构,2026-08-28
C000208,CAT06,484573,1733,0.3478,个人,2026-08-28
C000209,CAT08,515329,423,0.4792,个人,2026-08-28
C000210,CAT05,643521,477,0.6506,个人,2026-08-28
C000211,CAT10,351888,863,0.8356,个人,2026-08-28
C000212,CAT05,1061804,11,0.3322,机构,2026-08-28
C000213,CAT12,1058430,1410,0.6489,机构,2026-08-28
C000214,CAT11,855763,2166,0.5303,个人,2026-08-28
C000215,CAT11,194771,1532,0.5619,个人,2026-08-28
C000216,CAT01,549314,3165,0.6596,个人,2026-08-28
C000217,CAT05,999137,1885,0.5952,个人,2026-08-28
C000218,CAT01,74763,3321,0.5577,个人,2026-08-28
C000219,CAT02,1159093,2098,0.7453,机构,2026-08-28
C000220,CAT04,321618,1879,0.4316,个人,2026-08-28
C000221,CAT10,449913,2590,0.4973,个人,2026-08-28
C000222,CAT04,1138682,3618,0.6031,个人,2026-08-28
C000223,CAT10,177517,2601,0.372,个人,2026-08-28
C000224,CAT09,492025,3961,0.6915,个人,2026-08-28
C000225,CAT12,1175891,3109,0.3332,个人,2026-08-28
C000226,CAT07,1197965,1222,0.7883,机构,2026-08-28
C000227,CAT05,375445,2026,0.4687,个人,2026-08-28
C000228,CAT03,904858,3073,0.9113,个人,2026-08-28
C000229,CAT11,631370,608,0.5305,个人,2026-08-28
C000230,CAT08,151096,1361,0.5426,个人,2026-08-28
C000231,CAT03,641515,2506,0.7493,个人,2026-08-28
C000232,CAT10,289383,2528,0.4584,个人,2026-08-28
C000233,CAT12,977142,2978,0.6328,个人,2026-08-28
C000234,CAT10,233866,2183,0.4245,个人,2026-08-28
C000235,CAT11,892807,3365,0.5989,个人,2026-08-28
C000236,CAT08,577705,2660,0.3889,个人,2026-08-28
C000237,CAT07,650302,138,0.544,个人,2026-08-28
C000238,CAT11,1169678,3033,0.5841,个人,2026-08-28
C000239,CAT12,365920,1390,0.4266,个人,2026-08-28
C000240,CAT05,769175,2654,0.5766,个人,2026-08-28
C000241,CAT07,614301,1612,0.7674,媒体,2026-08-28
C000242,CAT04,281102,1265,0.4197,机构,2026-08-28
C000243,CAT11,544127,39,0.3131,个人,2026-08-28
C000244,CAT03,917758,2888,0.7126,个人,2026-08-28
C000245,CAT10,1091619,3304,0.15,个人,2026-08-28
C000246,CAT02,65239,1399,0.5543,个人,2026-08-28
C000247,CAT01,586069,116,0.4563,个人,2026-08-28
C000248,CAT07,713333,1202,0.3017,个人,2026-08-28
C000249,CAT12,1169448,3989,0.4399,个人,2026-08-28
C000250,CAT04,643559,316,0.4856,个人,2026-08-28
C000251,CAT11,583472,2211,0.7803,个人,2026-08-28
C000252,CAT03,965864,808,0.3042,个人,2026-08-28
C000253,CAT07,1198080,58,0.6595,个人,2026-08-28
C000254,CAT11,710879,1569,0.8491,个人,2026-08-28
C000255,CAT04,1157007,1727,0.8735,个人,2026-08-28
C000256,CAT09,968976,1573,0.6021,机构,2026-08-28
C000257,CAT07,834982,2936,0.6088,个人,2026-08-28
C000258,CAT10,883680,1928,0.271,个人,2026-08-28
C000259,CAT05,1090930,3893,0.5508,个人,2026-08-28
C000260,CAT08,602078,2369,0.3764,个人,2026-08-28
C000261,CAT10,112600,1239,0.8678,媒体,2026-08-28
C000262,CAT07,776952,438,0.6576,个人,2026-08-28
C000263,CAT12,460103,1384,0.56,个人,2026-08-28
C000264,CAT03,412562,303,0.5571,个人,2026-08-28
C000265,CAT06,336500,2387,0.4253,个人,2026-08-28
C000266,CAT01,790589,1605,0.4444,媒体,2026-08-28
C000267,CAT01,1136320,1957,0.4006,个人,2026-08-28
C000268,CAT01,1191450,1559,0.5032,个人,2026-08-28
C000269,CAT05,870014,1030,0.6783,个人,2026-08-28
C000270,CAT02,81621,2120,0.3007,个人,2026-08-28
C000271,CAT08,547689,3705,0.3907,媒体,2026-08-28
C000272,CAT11,797275,1665,0.4075,媒体,2026-08-28
C000273,CAT03,992326,2157,0.446,个人,2026-08-28
C000274,CAT08,1178135,1368,0.5786,个人,2026-08-28
C000275,CAT11,759393,3197,0.4788,个人,2026-08-28
C000276,CAT12,420734,2064,0.644,个人,2026-08-28
C000277,CAT11,573529,3580,0.9518,个人,2026-08-28
C000278,CAT06,722016,262,0.7933,个人,2026-08-28
C000279,CAT12,620939,194,0.4502,个人,2026-08-28
C000280,CAT10,1063887,2642,0.5432,个人,2026-08-28
C000281,CAT08,16965,55,0.5412,个人,2026-08-28
C000282,CAT11,20482,3276,0.619,个人,2026-08-28
C000283,CAT07,260215,1908,0.4226,个人,2026-08-28
C000284,CAT12,859038,344,0.5232,个人,2026-08-28
C000285,CAT02,905011,2897,0.388,个人,2026-08-28
C000286,CAT12,543356,1037,0.8459,个人,2026-08-28
C000287,CAT12,652118,1242,0.2704,个人,2026-08-28
C000288,CAT08,683083,2153,0.6075,个人,2026-08-28
C000289,CAT02,375846,3940,0.6192,个人,2026-08-28
C000290,CAT11,213922,124,0.6786,个人,2026-08-28
C000291,CAT10,1060889,675,0.6595,个人,2026-08-28
C000292,CAT09,275606,2890,0.3105,个人,2026-08-28
C000293,CAT11,1134590,1472,0.5964,个人,2026-08-28
C000294,CAT05,480861,3061,0.2724,个人,2026-08-28
C000295,CAT01,1057239,3585,0.4938,个人,2026-08-28
C000296,CAT05,640747,2157,0.531,个人,2026-08-28
C000297,CAT06,892798,2842,0.4398,机构,2026-08-28
C000298,CAT09,744382,1525,0.7069,个人,2026-08-28
C000299,CAT05,697991,3991,0.5058,个人,2026-08-28
C000300,CAT02,794209,727,0.7169,个人,2026-08-28
C000301,CAT06,819762,1110,0.5153,个人,2026-08-28
C000302,CAT04,517169,2074,0.6321,媒体,2026-08-28
C000303,CAT11,83880,1417,0.2845,个人,2026-08-28
C000304,CAT05,1100484,2513,0.632,个人,2026-08-28
C000305,CAT02,1110862,1390,0.551,个人,2026-08-28
C000306,CAT04,1025776,3744,0.98,个人,2026-08-28
C000307,CAT06,195980,2498,0.7015,媒体,2026-08-28
C000308,CAT01,656565,1091,0.3741,个人,2026-08-28
C000309,CAT11,566478,2943,0.4705,机构,2026-08-28
C000310,CAT02,981570,1269,0.6599,个人,2026-08-28
C000311,CAT10,325199,1805,0.7528,个人,2026-08-28
C000312,CAT12,104961,981,0.2882,个人,2026-08-28
C000313,CAT09,316626,3092,0.258,个人,2026-08-28
C000314,CAT06,541835,667,0.8142,个人,2026-08-28
C000315,CAT01,389575,1209,0.598,个人,2026-08-28
C000316,CAT12,1080654,1682,0.3949,个人,2026-08-28
C000317,CAT08,510573,651,0.6338,个人,2026-08-28
C000318,CAT10,1053639,619,0.8243,个人,2026-08-28
C000319,CAT12,1159894,2571,0.881,个人,2026-08-28
C000320,CAT02,141049,1773,0.615,个人,2026-08-28
C000321,CAT08,392136,2005,0.4582,个人,2026-08-28
C000322,CAT06,357903,3621,0.2943,个人,2026-08-28
C000323,CAT08,79734,2098,0.7238,媒体,2026-08-28
C000324,CAT05,524272,1601,0.5198,个人,2026-08-28
C000325,CAT09,732641,516,0.7698,个人,2026-08-28
C000326,CAT01,355309,881,0.7375,个人,2026-08-28
C000327,CAT09,440165,498,0.458,个人,2026-08-28
C000328,CAT08,1109237,1923,0.3235,个人,2026-08-28
C000329,CAT12,1010174,3473,0.8466,个人,2026-08-28
C000330,CAT12,1140036,610,0.6331,机构,2026-08-28
C000331,CAT09,539741,336,0.7877,个人,2026-08-28
C000332,CAT05,304391,3627,0.4192,个人,2026-08-28
C000333,CAT12,979478,1112,0.4645,个人,2026-08-28
C000334,CAT03,418518,3005,0.7587,个人,2026-08-28
C000335,CAT11,1054298,518,0.5654,媒体,2026-08-28
C000336,CAT12,592262,827,0.5514,个人,2026-08-28
C000337,CAT12,1090004,2006,0.4476,个人,2026-08-28
C000338,CAT04,1135053,2895,0.343,个人,2026-08-28
C000339,CAT09,495725,26,0.3247,个人,2026-08-28
C000340,CAT10,816879,3327,0.8518,个人,2026-08-28
C000341,CAT02,1080583,2669,0.3841,机构,2026-08-28
C000342,CAT02,914691,982,0.7446,个人,2026-08-28
C000343,CAT11,1112659,317,0.5116,个人,2026-08-28
C000344,CAT05,62152,587,0.3061,个人,2026-08-28
C000345,CAT02,1093607,182,0.6722,个人,2026-08-28
C000346,CAT08,461071,2257,0.4611,个人,2026-08-28
C000347,CAT10,222928,106,0.5981,个人,2026-08-28
C000348,CAT08,481394,2396,0.4077,个人,2026-08-28
C000349,CAT07,939756,551,0.7633,个人,2026-08-28
C000350,CAT05,536021,3245,0.4979,个人,2026-08-28
C000351,CAT10,809702,2037,0.5038,媒体,2026-08-28
C000352,CAT09,731519,2726,0.6037,个人,2026-08-28
C000353,CAT12,269659,2554,0.5597,个人,2026-08-28
C000354,CAT08,1001446,589,0.8308,个人,2026-08-28
C000355,CAT04,644013,1256,0.4993,个人,2026-08-28
C000356,CAT06,419924,468,0.3084,个人,2026-08-28
C000357,CAT12,1190725,3655,0.3337,个人,2026-08-28
C000358,CAT12,716449,1140,0.5623,个人,2026-08-28
C000359,CAT02,101170,881,0.7116,个人,2026-08-28
C000360,CAT10,220124,1252,0.98,个人,2026-08-28
C000361,CAT10,802973,281,0.498,个人,2026-08-28
C000362,CAT12,1155457,2596,0.4831,机构,2026-08-28
C000363,CAT03,1013415,3852,0.3152,个人,2026-08-28
C000364,CAT05,860973,691,0.6423,个人,2026-08-28
C000365,CAT11,1190072,334,0.4274,个人,2026-08-28
C000366,CAT09,350271,2021,0.4302,个人,2026-08-28
C000367,CAT09,1071022,3373,0.5924,个人,2026-08-28
C000368,CAT05,323513,2742,0.3262,个人,2026-08-28
C000369,CAT02,325782,2469,0.3715,媒体,2026-08-28
C000370,CAT02,755598,874,0.5684,个人,2026-08-28
C000371,CAT02,1162617,2605,0.6375,机构,2026-08-28
C000372,CAT06,95174,3661,0.7221,媒体,2026-08-28
C000373,CAT08,797356,2037,0.63,个人,2026-08-28
C000374,CAT07,934438,3536,0.6411,个人,2026-08-28
C000375,CAT04,152135,2323,0.57,机构,2026-08-28
C000376,CAT07,894012,2877,0.7917,机构,2026-08-28
C000377,CAT01,996440,2306,0.5053,个人,2026-08-28
C000378,CAT03,18446,3552,0.429,个人,2026-08-28
C000379,CAT07,173215,729,0.523,个人,2026-08-28
C000380,CAT12,1115480,3749,0.6355,个人,2026-08-28
C000381,CAT02,1015541,1367,0.5214,机构,2026-08-28
C000382,CAT05,899582,363,0.5151,个人,2026-08-28
C000383,CAT10,1179285,3616,0.6278,个人,2026-08-28
C000384,CAT12,945040,264,0.4611,个人,2026-08-28
C000385,CAT03,674754,99,0.6452,机构,2026-08-28
C000386,CAT07,1052724,3007,0.5752,个人,2026-08-28
C000387,CAT03,469551,1004,0.5,个人,2026-08-28
C000388,CAT09,233677,2277,0.6965,个人,2026-08-28
C000389,CAT05,568703,2571,0.3915,机构,2026-08-28
C000390,CAT06,918404,2161,0.366,个人,2026-08-28
C000391,CAT06,424317,1255,0.4007,机构,2026-08-28
C000392,CAT05,643867,1112,0.768,个人,2026-08-28
C000393,CAT03,593703,1506,0.5401,个人,2026-08-28
C000394,CAT09,971559,1325,0.34,机构,2026-08-28
C000395,CAT09,173667,3672,0.7964,个人,2026-08-28
C000396,CAT10,1152905,3094,0.3675,个人,2026-08-28
C000397,CAT08,23581,2723,0.4419,个人,2026-08-28
C000398,CAT04,636494,3400,0.4523,个人,2026-08-28
C000399,CAT05,185727,1186,0.752,个人,2026-08-28
C000400,CAT11,345012,2006,0.3437,个人,2026-08-28
C000401,CAT09,992593,1768,0.6189,媒体,2026-08-28
C000402,CAT02,571532,2291,0.6191,个人,2026-08-28
C000403,CAT12,610460,3221,0.5332,个人,2026-08-28
C000404,CAT06,1085483,1394,0.6752,个人,2026-08-28
C000405,CAT11,41901,3351,0.8973,个人,2026-08-28
C000406,CAT06,191823,3708,0.4555,个人,2026-08-28
C000407,CAT10,226084,1574,0.4251,个人,2026-08-28
C000408,CAT06,203340,3132,0.3,个人,2026-08-28
C000409,CAT09,629146,1049,0.9282,个人,2026-08-28
C000410,CAT04,1055220,1164,0.638,个人,2026-08-28
C000411,CAT02,1070690,2637,0.6208,个人,2026-08-28
C000412,CAT03,425731,3722,0.5822,个人,2026-08-28
C000413,CAT11,358511,472,0.8382,个人,2026-08-28
C000414,CAT08,551802,2841,0.7527,个人,2026-08-28
C000415,CAT11,238694,3216,0.5283,机构,2026-08-28
C000416,CAT10,1100447,1392,0.6921,个人,2026-08-28
C000417,CAT08,230707,3661,0.3837,个人,2026-08-28
C000418,CAT05,197465,3770,0.9366,个人,2026-08-28
C000419,CAT11,712150,589,0.8231,个人,2026-08-28
C000420,CAT09,82694,2819,0.46,个人,2026-08-28
C000421,CAT04,324186,796,0.4878,个人,2026-08-28
C000422,CAT06,1127368,595,0.6181,个人,2026-08-28
C000423,CAT12,289629,1672,0.7409,个人,2026-08-28
C000424,CAT05,241703,3442,0.2952,个人,2026-08-28
C000425,CAT03,949455,1076,0.66,机构,2026-08-28
C000426,CAT10,772533,3663,0.837,个人,2026-08-28
C000427,CAT12,1174574,3989,0.5273,个人,2026-08-28
C000428,CAT12,719649,494,0.3938,个人,2026-08-28
C000429,CAT10,1030616,1179,0.4071,个人,2026-08-28
C000430,CAT03,915515,2721,0.5128,个人,2026-08-28
C000431,CAT07,1049227,947,0.5954,机构,2026-08-28
C000432,CAT04,96988,1738,0.3809,个人,2026-08-28
C000433,CAT09,21845,3171,0.5247,个人,2026-08-28
C000434,CAT10,35911,1618,0.933,机构,2026-08-28
C000435,CAT01,879377,3384,0.6317,个人,2026-08-28
C000436,CAT07,1148142,3424,0.6469,个人,2026-08-28
C000437,CAT09,910611,1027,0.6147,个人,2026-08-28
C000438,CAT07,361199,1737,0.6256,个人,2026-08-28
C000439,CAT03,365101,117,0.2958,个人,2026-08-28
C000440,CAT10,1057215,3240,0.6067,个人,2026-08-28
C000441,CAT06,1150347,2652,0.4555,机构,2026-08-28
C000442,CAT04,820177,3960,0.5645,个人,2026-08-28
C000443,CAT06,1184720,77,0.4519,个人,2026-08-28
C000444,CAT01,563083,2351,0.4046,机构,2026-08-28
C000445,CAT04,561298,1965,0.5213,个人,2026-08-28
C000446,CAT08,330294,1179,0.3735,个人,2026-08-28
C000447,CAT07,360980,188,0.7672,个人,2026-08-28
C000448,CAT11,1079169,1465,0.8317,个人,2026-08-28
C000449,CAT01,480834,2491,0.4502,个人,2026-08-28
C000450,CAT06,1143071,2464,0.5591,机构,2026-08-28
C000451,CAT02,975006,733,0.5072,个人,2026-08-28
C000452,CAT11,1045298,2734,0.4903,个人,2026-08-28
C000453,CAT12,390421,2197,0.6231,个人,2026-08-28
C000454,CAT12,14444,808,0.392,个人,2026-08-28
C000455,CAT02,1146077,3362,0.5028,个人,2026-08-28
C000456,CAT01,387411,678,0.5626,个人,2026-08-28
C000457,CAT02,362674,3867,0.7332,个人,2026-08-28
C000458,CAT01,342932,2783,0.5328,个人,2026-08-28
C000459,CAT12,833319,155,0.4041,个人,2026-08-28
C000460,CAT04,158712,3408,0.5314,个人,2026-08-28
C000461,CAT06,1095513,3850,0.5847,个人,2026-08-28
C000462,CAT02,967793,3520,0.4707,个人,2026-08-28
C000463,CAT06,51969,3894,0.5174,个人,2026-08-28
C000464,CAT02,618744,202,0.6142,个人,2026-08-28
C000465,CAT11,743150,2821,0.3757,个人,2026-08-28
C000466,CAT02,1134635,3927,0.6394,个人,2026-08-28
