ad_campaign_id,ad_campaign_name,ad_account_id,channel_id,objective,budget,start_date,end_date,status
ADC00026,拉新计划026,AA0101,CH03,激活,189899,2026-05-29,2026-06-29,completed
ADC00027,拉新计划027,AA0201,CH04,激活,128491,2026-05-22,2026-08-02,completed
ADC00028,拉新计划028,AA0101,CH03,注册,169677,2026-03-22,2026-06-20,completed
ADC00029,拉新计划029,AA0302,CH05,激活,137551,2026-05-03,2026-07-25,completed
ADC00030,拉新计划030,AA0102,CH03,注册,74718,2026-03-31,2026-05-07,completed
ADC00031,拉新计划031,AA0401,CH06,注册,112685,2026-03-08,2026-04-07,completed
ADC00032,拉新计划032,AA0402,CH06,激活,199888,2026-01-11,2026-03-14,completed
ADC00033,拉新计划033,AA0202,CH04,激活,91669,2026-05-06,2026-06-16,completed
ADC00034,拉新计划034,AA0102,CH03,注册,58225,2026-03-04,2026-04-20,completed
ADC00035,拉新计划035,AA0101,CH03,注册,116320,2026-04-01,2026-06-15,completed
ADC00036,拉新计划036,AA0402,CH06,注册,122832,2026-05-12,2026-08-07,completed
ADC00037,拉新计划037,AA0202,CH04,七日留存,158506,2026-03-30,2026-06-08,completed
ADC00038,拉新计划038,AA0201,CH04,激活,42195,2026-06-12,2026-07-10,completed
ADC00039,拉新计划039,AA0201,CH04,激活,190797,2026-03-07,2026-04-26,completed
ADC00040,拉新计划040,AA0401,CH06,注册,206930,2026-05-08,2026-07-01,completed
ADC00041,拉新计划041,AA0202,CH04,激活,237970,2026-06-14,2026-08-14,completed
ADC00042,拉新计划042,AA0302,CH05,激活,186366,2026-02-12,2026-04-03,completed
ADC00043,拉新计划043,AA0302,CH05,注册,85886,2026-05-14,2026-06-09,completed
ADC00044,拉新计划044,AA0301,CH05,注册,164337,2026-04-21,2026-05-27,completed
ADC00045,拉新计划045,AA0301,CH05,七日留存,185571,2026-04-27,2026-06-21,completed
ADC00046,拉新计划046,AA0301,CH05,激活,35298,2026-05-14,2026-06-28,completed
ADC00047,拉新计划047,AA0301,CH05,注册,54444,2026-01-06,2026-03-22,completed
ADC00048,拉新计划048,AA0101,CH03,注册,84606,2026-01-21,2026-04-19,completed
ADC00049,拉新计划049,AA0401,CH06,注册,167648,2026-04-19,2026-07-18,completed
ADC00050,拉新计划050,AA0401,CH06,七日留存,228125,2026-02-14,2026-04-23,completed
ADC00051,拉新计划051,AA0202,CH04,注册,58795,2026-05-28,2026-07-03,completed
ADC00052,拉新计划052,AA0201,CH04,激活,110371,2026-03-01,2026-03-30,completed
ADC00053,拉新计划053,AA0402,CH06,注册,81333,2026-05-08,2026-07-04,completed
ADC00054,拉新计划054,AA0202,CH04,激活,78922,2026-01-02,2026-03-13,completed
ADC00055,拉新计划055,AA0201,CH04,注册,239276,2026-01-29,2026-03-27,completed
ADC00056,拉新计划056,AA0201,CH04,注册,232275,2026-02-28,2026-04-16,completed
ADC00057,拉新计划057,AA0201,CH04,激活,247364,2026-05-09,2026-06-24,completed
ADC00058,拉新计划058,AA0201,CH04,注册,115556,2026-06-16,2026-08-28,active
ADC00059,拉新计划059,AA0301,CH05,激活,134982,2026-06-07,2026-08-16,completed
ADC00060,拉新计划060,AA0201,CH04,激活,55084,2026-02-12,2026-03-13,completed
ADC00061,拉新计划061,AA0102,CH03,激活,145037,2026-02-21,2026-05-09,completed
ADC00062,拉新计划062,AA0202,CH04,激活,151310,2026-02-28,2026-04-17,completed
ADC00063,拉新计划063,AA0202,CH04,注册,153514,2026-06-04,2026-07-19,completed
ADC00064,拉新计划064,AA0401,CH06,七日留存,204874,2026-03-08,2026-04-06,completed
ADC00065,拉新计划065,AA0301,CH05,激活,235092,2026-02-19,2026-04-08,completed
ADC00066,拉新计划066,AA0202,CH04,注册,120743,2026-04-12,2026-06-17,completed
ADC00067,拉新计划067,AA0402,CH06,激活,94903,2026-03-09,2026-05-26,completed
ADC00068,拉新计划068,AA0301,CH05,激活,129408,2026-02-11,2026-03-27,completed
ADC00069,拉新计划069,AA0301,CH05,七日留存,250021,2026-03-02,2026-05-23,completed
ADC00070,拉新计划070,AA0201,CH04,注册,255137,2026-04-03,2026-05-09,completed
ADC00071,拉新计划071,AA0101,CH03,注册,52988,2026-01-15,2026-04-05,completed
ADC00072,拉新计划072,AA0302,CH05,注册,95831,2026-05-15,2026-08-10,completed
ADC00073,拉新计划073,AA0201,CH04,激活,159673,2026-05-27,2026-07-10,completed
ADC00074,拉新计划074,AA0302,CH05,注册,104337,2026-04-17,2026-06-07,completed
ADC00075,拉新计划075,AA0101,CH03,激活,176772,2026-03-27,2026-05-31,completed
ADC00076,拉新计划076,AA0301,CH05,注册,37275,2026-02-06,2026-03-14,completed
ADC00077,拉新计划077,AA0202,CH04,激活,96135,2026-03-23,2026-06-09,completed
ADC00078,拉新计划078,AA0202,CH04,注册,246579,2026-05-15,2026-07-08,completed
ADC00079,拉新计划079,AA0402,CH06,激活,156156,2026-01-15,2026-03-30,completed
ADC00080,拉新计划080,AA0301,CH05,激活,247137,2026-04-05,2026-06-03,completed
ADC00081,拉新计划081,AA0201,CH04,注册,156922,2026-03-20,2026-05-20,completed
ADC00082,拉新计划082,AA0301,CH05,注册,77397,2026-03-15,2026-05-21,completed
ADC00083,拉新计划083,AA0302,CH05,注册,83763,2026-05-18,2026-06-22,completed
ADC00084,拉新计划084,AA0202,CH04,注册,69425,2026-02-16,2026-05-02,completed
ADC00085,拉新计划085,AA0102,CH03,激活,89912,2026-01-07,2026-04-05,completed
ADC00086,拉新计划086,AA0101,CH03,激活,221283,2026-01-20,2026-03-01,completed
ADC00087,拉新计划087,AA0201,CH04,注册,129307,2026-02-02,2026-03-21,completed
ADC00088,拉新计划088,AA0101,CH03,激活,55905,2026-04-21,2026-05-16,completed
ADC00089,拉新计划089,AA0102,CH03,七日留存,222334,2026-04-15,2026-06-06,completed
ADC00090,拉新计划090,AA0101,CH03,注册,41011,2026-05-30,2026-08-09,completed
ADC00091,拉新计划091,AA0101,CH03,注册,146764,2026-06-18,2026-08-28,active
ADC00092,拉新计划092,AA0202,CH04,注册,192262,2026-03-16,2026-05-19,completed
ADC00093,拉新计划093,AA0402,CH06,七日留存,182268,2026-06-20,2026-08-28,active
ADC00094,拉新计划094,AA0401,CH06,七日留存,84603,2026-02-01,2026-03-28,completed
ADC00095,拉新计划095,AA0102,CH03,注册,149030,2026-06-07,2026-07-04,completed
ADC00096,拉新计划096,AA0402,CH06,注册,142909,2026-02-26,2026-05-01,completed
ADC00097,拉新计划097,AA0302,CH05,七日留存,94362,2026-03-05,2026-05-24,completed
ADC00098,拉新计划098,AA0302,CH05,注册,37979,2026-05-13,2026-06-20,completed
ADC00099,拉新计划099,AA0201,CH04,注册,90092,2026-04-04,2026-06-23,completed
ADC00100,拉新计划100,AA0101,CH03,七日留存,211433,2026-01-11,2026-04-03,completed
